49,Формирование культурных границ,Нет,идентичность/границы,границепостроение,коллективные/институциональные,аналог в политике
50,Размывание культурных границ,Да,идентичность/границы,гибридизация,коллективные/постепенные,аналог в культурной антропологии
51,Создание культурного канона личности,Нет,символы,иконизация,коллективные/институциональные,аналог в медиа
52,Развенчание культурного канона личности,Да,символы,деконструкция,коллективные/латентные,аналог в критике
53,Формирование культурной памяти,Нет,память/наследие,символическая фиксация,коллективные/институциональные,аналог в М. Хальбваксе
54,Эрозия культурной памяти,Да,память/наследие,культурное забвение,коллективные/латентные,новый
55,Создание культурного стереотипа,Нет,значения,категоризация,коллективные/латентные,аналог в когнитивной социологии
56,Разрушение стереотипа,Да,значения,декатегоризация,коллективные/латентные,аналог в критике
57,Формирование культурной моды,Да,символы,цикл моды,коллективные/латентные,аналог в культурологии
58,Исчезновение культурной моды,Да,символы,устаревание,коллективные/латентные,аналог в истории моды
59,Формирование культурной политики,Нет,институты,государственное регулирование,коллективные/институциональные,аналог в политике
60,Кризис культурной политики,Нет,институты,делегитимация,коллективные/институциональные,новый
61,Создание культурного центра,Нет,институты,инфраструктурная концентрация,коллективные/институциональные,аналог в урбанистике
62,Закрытие культурного центра,Нет,институты,деинституционализация,коллективные/институциональные,аналог в истории культуры
63,Формирование культурной политики города,Нет,институты,локальная культурная стратегия,коллективные/институциональные,новый
64,Рост культурной дипломатии,Нет,институты,soft power,коллективные/институциональные,аналог в международных отношениях
65,Кризис культурной дипломатии,Нет,институты,делегитимация,коллективные/институциональные,новый
66,Формирование культурного капитала города,Нет,пространство,урбанизация культуры,коллективные/институциональные,аналог в урбанистике
67,Эрозия культурного капитала города,Да,пространство,деградация среды,коллективные/постепенные,новый
68,Создание культурного события,Нет,время/ритм,ритуализация,коллективные/институциональные,аналог в антропологии
69,Распад культурного события,Да,время/ритм,декультурализация,коллективные/латентные,аналог в культурологии
70,Формирование культурной сцены,Нет,структура,поле позиций,коллективные/неформальные,аналог в Бурдьё
71,Смена культурной сцены,Нет,структура,переформатирование,коллективные/неформальные,новый
72,Формирование культурной индустрии,Нет,экономика/обмен,коммодификация,коллективные/институциональные,аналог в социологии культуры
73,Деконструкция культурной индустрии,Нет,экономика/обмен,распад индустрии,коллективные/институциональные,новый
74,Формирование культурного капитала личности,Нет,идентичность/границы,ресурсная ценность,индивидуальные/коллективные,аналог в Бурдьё
75,Эрозия культурного капитала личности,Да,идентичность/границы,обесценивание,индивидуальные/коллективные,новый
76,Формирование культурной памяти общины,Нет,память/наследие,коллективная фиксация,коллективные/институциональные,аналог в антропологии
77,Забвение культурной памяти общины,Да,память/наследие,культурная амнезия,коллективные/латентные,аналог в культурной социологии
78,Формирование культурных стереотипов о группе,Нет,значения,категоризация,коллективные/латентные,аналог в когнитивной социологии
79,Разрушение стереотипов о группе,Да,значения,декатегоризация,коллективные/латентные,аналог в критике
80,Формирование культурного пантеона,Нет,символы,героизация,коллективные/институциональные,аналог в истории
81,Дегероизация пантеона,Да,символы,развенчание,коллективные/латентные,аналог в критике
82,Формирование культурной элиты,Нет,структура,стратификация,коллективные/институциональные,аналог в Бурдьё
83,Смена культурной элиты,Нет,структура,ротация,коллективные/институциональные,аналог в истории
84,Рост культурного туризма,Нет,экономика/обмен,коммодификация опыта,коллективные/постепенные,аналог в туризме
85,Кризис культурного туризма,Нет,экономика/обмен,упадок потоков,коллективные/каскадные,новый
86,Формирование культурного бренда,Нет,идентичность/границы,маркетизация,коллективные/институциональные,аналог в маркетинге
87,Эрозия культурного бренда,Да,идентичность/границы,размывание,коллективные/латентные,новый
88,Формирование культурного поля науки,Нет,структура,интеллектуализация,коллективные/институциональные,аналог в Бурдьё
89,Смена культурного поля науки,Нет,структура,реконфигурация,коллективные/институциональные,новый
90,Формирование культурной сцены искусства,Нет,структура,позиционирование,коллективные/неформальные,аналог в культурной социологии
91,Смена культурной сцены искусства,Нет,структура,сдвиг,коллективные/неформальные,новый
92,Формирование культурной сцены медиа,Нет,структура,медиатизация,коллективные/институциональные,новый
93,Кризис культурной сцены медиа,Нет,структура,делегитимация,коллективные/институциональные,новый
94,Формирование культурного поля религии,Нет,структура,сакрализация,коллективные/институциональные,аналог в социологии религии
95,Смена культурного поля религии,Нет,структура,секуляризация,коллективные/институциональные,аналог в культурологии
96,Формирование культурного поля спорта,Нет,структура,институционализация,коллективные/институциональные,аналог в социологии спорта
97,Кризис культурного поля спорта,Нет,структура,делегитимация,коллективные/институциональные,новый
98,Формирование культурных символов нации,Нет,символы,национальная репрезентация,коллективные/институциональные,аналог в национализмах
99,Эрозия культурных символов нации,Да,символы,размывание значения,коллективные/латентные,новый
100,Формирование культурных стереотипов нации,Нет,значения,категоризация,коллективные/латентные,аналог в когнитивной социологии
101,Разрушение культурных стереотипов нации,Да,значения,декатегоризация,коллективные/латентные,аналог в культурной критике
102,Создание культурного канона нации,Нет,нормы,легитимация,коллективные/институциональные,аналог в истории
103,Развенчание культурного канона нации,Да,нормы,делегитимация,коллективные/латентные,новый
104,Формирование культурной памяти нации,Нет,память/наследие,символическая фиксация,коллективные/институциональные,аналог в социологии памяти
105,Эрозия культурной памяти нации,Да,память/наследие,забвение,коллективные/латентные,новый
106,Создание культурного пантеона нации,Нет,символы,героизация,коллективные/институциональные,аналог в национальных исследованиях
107,Развенчание культурного пантеона нации,Да,символы,дегероизация,коллективные/латентные,новый
108,Формирование культурного ритуала нации,Нет,поведение,ритуализация,коллективные/институциональные,аналог в культурной антропологии
109,Упадок культурного ритуала нации,Да,поведение,деритуализация,коллективные/латентные,новый
110,Формирование культурной индустрии нации,Нет,экономика/обмен,коммодификация,коллективные/институциональные,аналог в культурной индустрии
111,Кризис культурной индустрии нации,Нет,экономика/обмен,деинституционализация,коллективные/институциональные,новый
112,Формирование культурного бренда нации,Нет,идентичность/границы,маркетизация,коллективные/институциональные,аналог в маркетинге
113,Эрозия культурного бренда нации,Да,идентичность/границы,размывание,коллективные/латентные,новый
114,Формирование культурной политики нации,Нет,институты,регуляция,коллективные/институциональные,аналог в политике
115,Кризис культурной политики нации,Нет,институты,делегитимация,коллективные/институциональные,новый
116,Создание культурных мифов нации,Нет,значения,мифологизация,коллективные/латентные,аналог в национализмах
117,Разрушение культурных мифов нации,Да,значения,демифологизация,коллективные/латентные,аналог в культурной критике
118,Формирование культурного наследия,Нет,память/наследие,коллективная фиксация,коллективные/институциональные,аналог в истории культуры
119,Забвение культурного наследия,Да,память/наследие,культурная амнезия,коллективные/латентные,новый
120,Формирование культурного пространства,Нет,пространство,структурная репрезентация,коллективные/институциональные,аналог в урбанистике
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Эрозия культурного пространства,Да,пространство,размывание структур,коллективные/латентные,новый
122,Формирование культурного времени (эпохи),Нет,время/ритм,эпохализация,коллективные/постепенные,аналог в истории культуры
123,Смена культурной эпохи,Нет,время/ритм,структурный разрыв,коллективные/каскадные,аналог в историографии
124,Создание культурного символического порядка,Нет,структура,структурная семиотика,коллективные/институциональные,аналог в структурализме
125,Разрушение символического порядка,Нет,структура,деконструкция,коллективные/латентные,аналог в постструктурализме
126,Формирование культурного поля медиапроизводства,Нет,структура,медиатизация,коллективные/институциональные,аналог в культурных исследованиях
127,Смена медиаполя,Нет,структура,переформатирование,коллективные/институциональные,новый
128,Формирование культурного кластера,Нет,структура,географическая концентрация,коллективные/институциональные,аналог в урбанистике
129,Распад культурного кластера,Нет,структура,децентрализация,коллективные/институциональные,новый
130,Формирование культурной сцены цифровых медиа,Нет,структура,цифровая медиатизация,коллективные/институциональные,новый
131,Кризис культурной сцены цифровых медиа,Нет,структура,перегруз,коллективные/институциональные,новый
132,Создание культурных артефактов,Нет,тело/материя,материализация,индивидуальные/коллективные,аналог в археологии
133,Утрата культурных артефактов,Нет,тело/материя,разрушение,коллективные/каскадные,аналог в истории
134,Формирование культурного дискурса,Нет,дискурс,репрезентация,коллективные/институциональные,аналог в культурных исследованиях
135,Эрозия культурного дискурса,Да,дискурс,фрагментация,коллективные/латентные,новый
136,Формирование культурных границ онлайна,Нет,идентичность/границы,цифровая сегрегация,коллективные/институциональные,новый
137,Размывание границ онлайна и офлайна,Да,идентичность/границы,гибридизация,коллективные/постепенные,новый
138,Формирование глобальной культурной сцены,Нет,структура,транснационализация,коллективные/институциональные,аналог в глобализационных исследованиях
139,Фрагментация глобальной культурной сцены,Нет,структура,плюрализация,коллективные/латентные,новый
140,Рост культурной коммерциализации,Нет,экономика/обмен,коммодификация,коллективные/постепенные,аналог в культурной индустрии
141,Рост культурного пиратства,Да,экономика/обмен,теневая культура,коллективные/латентные,аналог в цифровой социологии
142,Формирование культурных инноваций,Нет,содержание,новаторство,индивидуальные/коллективные,аналог в социологии инноваций
143,Институционализация культурных инноваций,Нет,институты,легитимация,коллективные/институциональные,новый
144,Рост культурных конфликтов,Нет,отношения,ценностные столкновения,коллективные/каскадные,аналог в конфликтологии
145,Разрешение культурных конфликтов,Да,отношения,медиация,коллективные/институциональные,аналог в культурной дипломатии
146,Формирование культурных символов протеста,Нет,символы,оппозиционная семиотика,коллективные/латентные,аналог в социологии социальных движений
147,Коммодификация символов протеста,Да,символы,маркетизация,коллективные/институциональные,новый
148,Формирование культурного мифа о протесте,Нет,значения,мифологизация,коллективные/латентные,новый
149,Развенчание мифа о протесте,Да,значения,демифологизация,коллективные/латентные,новый
150,Формирование культурных сетей,Нет,структура,сетевизация,коллективные/институциональные,аналог в digital sociology
151,Фрагментация культурных сетей,Нет,структура,децентрализация,коллективные/институциональные,новый
152,Формирование культурного языка,Нет,дискурс,семиотическая артикуляция,коллективные/институциональные,аналог в лингвистике
153,Упадок культурного языка,Да,дискурс,эрозия,коллективные/латентные,новый
154,Формирование культурной цензуры,Нет,нормы,контроль,коллективные/институциональные,аналог в политике
155,Эрозия культурной цензуры,Да,нормы,либерализация,коллективные/институциональные,новый
156,Формирование культурной автономии,Нет,структура,саморегуляция,коллективные/институциональные,аналог в социологии автономии
157,Сжатие культурной автономии,Нет,структура,ограничение,коллективные/институциональные,новый
158,Формирование культурного пространства онлайна,Нет,пространство,цифровизация,коллективные/институциональные,новый
159,Фрагментация культурного пространства онлайна,Нет,пространство,разделение,коллективные/институциональные,новый
160,Формирование культурных инновационных хабов,Нет,структура,кластеризация,коллективные/институциональные,аналог в инновационных исследованиях
161,Распад культурных инновационных хабов,Нет,структура,децентрализация,коллективные/институциональные,новый
