27,Размывание девиантной стигмы,Да,символы,нейтрализация,коллективные/латентные,новый
28,Создание субкультурного символа,Нет,символы,репрезентация,коллективные/неформальные,аналог в культурных исследованиях
29,Переход субкультурного символа в массовую культуру,Да,символы,коммодификация,коллективные/институциональные,аналог в культурологии
30,Формирование девиантного нарратива,Нет,дискурс,репрезентация,коллективные/латентные,аналог в культурной социологии
31,Разрушение девиантного нарратива,Да,дискурс,критика,коллективные/латентные,новый
32,Формирование института профилактики девиаций,Нет,институты,регуляция,коллективные/институциональные,аналог в соц. политике
33,Эрозия института профилактики девиаций,Да,институты,делегитимация,коллективные/латентные,новый
34,Создание цифрового контроля девиаций,Нет,технология/инфраструктура,надзор,коллективные/институциональные,аналог в цифровой социологии
35,Сбой цифрового контроля девиаций,Да,технология/инфраструктура,неэффективность,коллективные/институциональные,новый
36,Формирование девиантных сетей онлайн,Нет,структура,сетевизация,коллективные/неформальные,аналог в digital sociology
37,Распад девиантных сетей онлайн,Нет,структура,децентрализация,коллективные/латентные,новый
38,Формирование черного рынка,Нет,экономика/обмен,теневая экономика,коллективные/неформальные,аналог в экономике
39,Ликвидация черного рынка,Нет,экономика/обмен,регуляция,коллективные/институциональные,аналог в криминологии
40,Формирование девиантной экономики,Нет,экономика/обмен,альтернативный обмен,коллективные/неформальные,новый
41,Упадок девиантной экономики,Нет,экономика/обмен,регрессия,коллективные/латентные,новый
42,Формирование уличной банды,Нет,структура,самоорганизация,коллективные/неформальные,аналог в криминологии
43,Распад уличной банды,Нет,структура,децентрализация,коллективные/неформальные,новый
44,Формирование девиантной солидарности,Нет,отношения,взаимоподдержка,коллективные/неформальные,аналог в субкультурных исследованиях
45,Распад девиантной солидарности,Нет,отношения,атомизация,коллективные/латентные,новый
46,Создание девиантного символического капитала,Нет,символы,альтернативная ценность,коллективные/неформальные,аналог в Бурдьё
47,Коммодификация девиантного капитала,Да,символы,маркетизация,коллективные/институциональные,новый
48,Формирование практик сопротивления,Нет,поведение,оппозиция,коллективные/латентные,аналог в теории движений
49,Крах практик сопротивления,Нет,поведение,подавление,коллективные/институциональные,аналог в конфликтологии
50,Формирование девиантной сцены,Нет,пространство,сегрегация,коллективные/неформальные,аналог в урбанистике
51,Разрушение девиантной сцены,Нет,пространство,десегрегация,коллективные/институциональные,новый
52,Создание практик самоконтроля,Нет,поведение,саморегуляция,индивидуальные/постепенные,аналог в психологии
53,Утрата практик самоконтроля,Да,поведение,регрессия,индивидуальные/латентные,новый
54,Формирование практик легализации девиаций,Нет,институты,нормализация,коллективные/институциональные,аналог в социологии права
55,Отмена практик легализации,Да,институты,рестигматизация,коллективные/институциональные,новый
56,Формирование цифровых девиантных идентичностей,Нет,идентичность/границы,онлайн-самоопределение,индивидуальные/коллективные,аналог в digital sociology
57,Размывание цифровых идентичностей,Да,идентичность/границы,гибридизация,коллективные/латентные,новый
58,Формирование девиантного наследия,Нет,память/наследие,коллективная память,коллективные/латентные,аналог в культурологии
59,Стирание девиантного наследия,Да,память/наследие,забвение,коллективные/латентные,новый
60,Формирование института ресоциализации,Нет,институты,возврат,коллективные/институциональные,аналог в соц. политике
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формирование девиантного акта,Нет,поведение,нарушение нормы,индивидуальные/дискретные,аналог в криминологии
2,Повторение девиантного акта,Да,поведение,паттернизация,индивидуальные/цикличные,аналог в социологии привычек
3,Прекращение девиантного акта,Да,поведение,социализация,индивидуальные/постепенные,аналог в ресоциализации
4,Формирование девиантной идентичности,Нет,идентичность/границы,самоопределение,индивидуальные/коллективные,аналог в символическом интеракционизме
5,Стирание девиантной идентичности,Да,идентичность/границы,десигматизация,индивидуальные/постепенные,аналог в ресоциализации
6,Формирование субкультуры,Нет,структура,групповая солидарность,коллективные/неформальные,аналог в культурной социологии
7,Распад субкультуры,Нет,структура,децентрализация,коллективные/латентные,аналог в урбанистике
8,Формирование девиантного ярлыка,Нет,нормы,стигматизация,коллективные/институциональные,аналог в теории ярлыков
9,Снятие девиантного ярлыка,Да,нормы,десигматизация,коллективные/институциональные,аналог в ресоциализации
10,Формирование девиантного статуса,Нет,структура,иерархизация,коллективные/институциональные,аналог в стратификации
11,Утрата девиантного статуса,Да,структура,реинтеграция,коллективные/институциональные,аналог в восстановительном праве
12,Формирование преступной группы,Нет,структура,организация,коллективные/неформальные,аналог в криминологии
13,Распад преступной группы,Нет,структура,децентрализация,коллективные/латентные,аналог в криминологии
14,Формирование девиантной карьеры,Нет,поведение,накопление опыта,индивидуальные/постепенные,аналог в социологии профессий
15,Прекращение девиантной карьеры,Да,поведение,ресоциализация,индивидуальные/постепенные,аналог в криминологии
16,Формирование вторичной девиации,Нет,поведение,реакция на ярлык,индивидуальные/цикличные,аналог в теории Лемерта
17,Прекращение вторичной девиации,Да,поведение,десигматизация,индивидуальные/постепенные,новый
18,Формирование института социального контроля,Нет,институты,регуляция,коллективные/институциональные,аналог в праве
19,Эрозия института социального контроля,Да,институты,делегитимация,коллективные/латентные,аналог в аномии
20,Создание тюремного института,Нет,институты,изоляция,коллективные/институциональные,аналог в пенологии
21,Реформа тюремного института,Да,институты,ресоциализация,коллективные/институциональные,аналог в криминологии
22,Создание реабилитационного центра,Нет,институты,ресоциализация,коллективные/институциональные,аналог в социальной работе
23,Закрытие реабилитационного центра,Нет,институты,деинституционализация,коллективные/институциональные,новый
24,Формирование моральной паники,Нет,дискурс,эскалация,коллективные/каскадные,аналог в медиа-исследованиях
25,Угасание моральной паники,Да,дискурс,дестабилизация,коллективные/латентные,новый
26,Формирование девиантной стигмы,Нет,символы,негативная маркировка,коллективные/институциональные,аналог в культурной социологии
27,Размывание девиантной стигмы,Да,символы,нейтрализация,коллективные/латентные,новый
28,Создание субкультурного символа,Нет,символы,репрезентация,коллективные/неформальные,аналог в культурных исследованиях
29,Переход субкультурного символа в массовую культуру,Да,символы,коммодификация,коллективные/институциональные,аналог в культурологии
30,Формирование девиантного нарратива,Нет,дискурс,репрезентация,коллективные/латентные,аналог в культурной социологии
31,Разрушение девиантного нарратива,Да,дискурс,критика,коллективные/латентные,новый
32,Формирование института профилактики девиаций,Нет,институты,регуляция,коллективные/институциональные,аналог в соц. политике
33,Эрозия института профилактики девиаций,Да,институты,делегитимация,коллективные/латентные,новый
34,Создание цифрового контроля девиаций,Нет,технология/инфраструктура,надзор,коллективные/институциональные,аналог в цифровой социологии
35,Сбой цифрового контроля девиаций,Да,технология/инфраструктура,неэффективность,коллективные/институциональные,новый
36,Формирование девиантных сетей онлайн,Нет,структура,сетевизация,коллективные/неформальные,аналог в digital sociology
37,Распад девиантных сетей онлайн,Нет,структура,децентрализация,коллективные/латентные,новый
38,Формирование черного рынка,Нет,экономика/обмен,теневая экономика,коллективные/неформальные,аналог в экономике
39,Ликвидация черного рынка,Нет,экономика/обмен,регуляция,коллективные/институциональные,аналог в криминологии
40,Формирование девиантной экономики,Нет,экономика/обмен,альтернативный обмен,коллективные/неформальные,новый
41,Упадок девиантной экономики,Нет,экономика/обмен,регрессия,коллективные/латентные,новый
42,Формирование уличной банды,Нет,структура,самоорганизация,коллективные/неформальные,аналог в криминологии
43,Распад уличной банды,Нет,структура,децентрализация,коллективные/неформальные,новый
44,Формирование девиантной солидарности,Нет,отношения,взаимоподдержка,коллективные/неформальные,аналог в субкультурных исследованиях
45,Распад девиантной солидарности,Нет,отношения,атомизация,коллективные/латентные,новый
46,Создание девиантного символического капитала,Нет,символы,альтернативная ценность,коллективные/неформальные,аналог в Бурдьё
47,Коммодификация девиантного капитала,Да,символы,маркетизация,коллективные/институциональные,новый
48,Формирование практик сопротивления,Нет,поведение,оппозиция,коллективные/латентные,аналог в теории движений
49,Крах практик сопротивления,Нет,поведение,подавление,коллективные/институциональные,аналог в конфликтологии
50,Формирование девиантной сцены,Нет,пространство,сегрегация,коллективные/неформальные,аналог в урбанистике
51,Разрушение девиантной сцены,Нет,пространство,десегрегация,коллективные/институциональные,новый
52,Создание практик самоконтроля,Нет,поведение,саморегуляция,индивидуальные/постепенные,аналог в психологии
53,Утрата практик самоконтроля,Да,поведение,регрессия,индивидуальные/латентные,новый
54,Формирование практик легализации девиаций,Нет,институты,нормализация,коллективные/институциональные,аналог в социологии права
55,Отмена практик легализации,Да,институты,рестигматизация,коллективные/институциональные,новый
56,Формирование цифровых девиантных идентичностей,Нет,идентичность/границы,онлайн-самоопределение,индивидуальные/коллективные,аналог в digital sociology
57,Размывание цифровых идентичностей,Да,идентичность/границы,гибридизация,коллективные/латентные,новый
58,Формирование девиантного наследия,Нет,память/наследие,коллективная память,коллективные/латентные,аналог в культурологии
59,Стирание девиантного наследия,Да,память/наследие,забвение,коллективные/латентные,новый
60,Формирование института ресоциализации,Нет,институты,возврат,коллективные/институциональные,аналог в соц. политике
61,Создание девиантного онлайн-сообщества,Нет,структура,сетевизация,коллективные/неформальные,аналог в digital sociology
62,Распад онлайн-сообщества,Нет,структура,децентрализация,коллективные/латентные,новый
63,Формирование радикальной субкультуры,Нет,структура,идеологизация,коллективные/латентные,аналог в политсоциологии
64,Деградация радикальной субкультуры,Нет,структура,распад,коллективные/латентные,новый
65,Формирование практик сопротивления закону,Нет,поведение,оппозиция,коллективные/латентные,аналог в конфликтологии
66,Срыв сопротивления закону,Нет,поведение,подавление,коллективные/институциональные,новый
67,Создание практик нейтрализации девиаций,Нет,дискурс,рационализация,индивидуальные/коллективные,аналог в теориях техники нейтрализации
68,Утрата практик нейтрализации,Да,дискурс,неэффективность,индивидуальные/латентные,новый
69,Формирование девиантного поведения в школе,Нет,поведение,школьная девиация,индивидуальные/коллективные,аналог в социологии образования
70,Преодоление школьной девиации,Да,поведение,ресоциализация,индивидуальные/институциональные,аналог в педагогике
71,Формирование криминальной карьеры,Нет,поведение,накопление опыта,индивидуальные/постепенные,аналог в криминологии
72,Прерывание криминальной карьеры,Да,поведение,ресоциализация,индивидуальные/институциональные,аналог в пенологии
73,Формирование института пробации,Нет,институты,надзор и поддержка,коллективные/институциональные,аналог в праве
74,Кризис пробации,Да,институты,сбой контроля,коллективные/институциональные,новый
75,Формирование девиантного авторитета,Нет,отношения,легитимация,коллективные/неформальные,аналог в социологии власти
76,Утрата девиантного авторитета,Да,отношения,делегитимация,коллективные/неформальные,новый
77,Создание практик "девиантной гордости",Нет,значения,репрезентация,коллективные/латентные,аналог в культурных исследованиях
78,Размывание девиантной гордости,Да,значения,стигматизация,коллективные/латентные,новый
79,Формирование девиантных медиа-репрезентаций,Нет,дискурс,визуализация,коллективные/институциональные,аналог в медиа-исследованиях
80,Эрозия медиа-репрезентаций,Да,дискурс,забвение,коллективные/латентные,новый
81,Формирование практик девиантного юмора,Нет,символы,иронизация,коллективные/неформальные,аналог в культурных исследованиях
82,Упадок девиантного юмора,Нет,символы,утрата,коллективные/латентные,новый
83,Формирование девиантного ритуала,Нет,поведение,ритуализация,коллективные/неформальные,аналог в антропологии
84,Утрата девиантного ритуала,Да,поведение,деритуализация,коллективные/латентные,новый
85,Формирование практик саморазрушения,Нет,поведение,аутоагрессия,индивидуальные/латентные,аналог в психиатрии
86,Прекращение практик саморазрушения,Да,поведение,психотерапия,индивидуальные/постепенные,аналог в психологии
87,Создание института поддержки девиантов,Нет,институты,ресоциализация,коллективные/институциональные,аналог в социальной политике
88,Кризис института поддержки,Да,институты,сбой,коллективные/институциональные,новый
89,Формирование девиантного пространства (гетто),Нет,пространство,сегрегация,коллективные/институциональные,аналог в урбанистике
90,Десегрегация девиантного пространства,Да,пространство,интеграция,коллективные/институциональные,аналог в политике
91,Создание девиантного времени (ночные практики),Нет,время/ритм,темпорализация,коллективные/латентные,аналог в культурной социологии
92,Утрата девиантного времени,Да,время/ритм,нормализация,коллективные/институциональные,новый
93,Формирование девиантных сетей доверия,Нет,отношения,социальный капитал,коллективные/неформальные,аналог в социологии
94,Распад сетей доверия,Нет,отношения,атомизация,коллективные/неформальные,новый
95,Создание девиантного нарратива протеста,Нет,значения,оппозиция,коллективные/латентные,аналог в социологии движений
96,Разрушение нарратива протеста,Да,значения,деградация,коллективные/латентные,новый
97,Формирование практик криминальной романтизации,Нет,значения,мифологизация,коллективные/латентные,аналог в культурных исследованиях
98,Демифологизация криминала,Да,значения,деконструкция,коллективные/институциональные,новый
99,Формирование института надзора,Нет,институты,контроль,коллективные/институциональные,аналог в Фуко
100,Кризис института надзора,Да,институты,делегитимация,коллективные/институциональные,новый
101,Создание девиантных практик искусства,Нет,символы,альтернативная эстетика,индивидуальные/коллективные,аналог в арт-социологии
102,Коммодификация девиантного искусства,Да,символы,маркетизация,коллективные/институциональные,новый
103,Формирование онлайн-девиаций (киберпреступность),Нет,поведение,цифровая девиация,индивидуальные/коллективные,аналог в digital sociology
104,Утрата кибердевиаций,Да,поведение,цифровой контроль,коллективные/институциональные,новый
105,Формирование девиантного института медиации,Нет,институты,примирение,коллективные/институциональные,новый
106,Кризис института медиации,Да,институты,недоверие,коллективные/институциональные,новый
107,Создание практик "серой зоны",Нет,экономика/обмен,теневой обмен,коллективные/неформальные,новый
108,Регулирование серой зоны,Да,экономика/обмен,легализация,коллективные/институциональные,новый
109,Формирование практик наркотической субкультуры,Нет,поведение,употребление,коллективные/неформальные,аналог в субкультурных исследованиях
110,Распад наркотической субкультуры,Нет,структура,децентрализация,коллективные/латентные,новый
111,Формирование практик уличного искусства (граффити),Нет,символы,альтернативная визуальность,индивидуальные/коллективные,аналог в урбанистике
112,Коммодификация уличного искусства,Да,символы,маркетизация,коллективные/институциональные,новый
113,Формирование практик тюремной субкультуры,Нет,структура,иерархия,коллективные/неформальные,аналог в криминологии
114,Эрозия тюремной субкультуры,Да,структура,размывание,коллективные/латентные,новый
115,Формирование практик онлайн-анонимности,Нет,идентичность/границы,маскирование,индивидуальные/коллективные,аналог в digital sociology
116,Утрата онлайн-анонимности,Да,идентичность/границы,прозрачность,коллективные/институциональные,новый
117,Создание девиантных практик моды,Нет,символы,альтернативная эстетика,индивидуальные/коллективные,аналог в культурологии
118,Коммодификация девиантной моды,Да,символы,маркетизация,коллективные/институциональные,новый
119,Формирование института альтернативной медицины,Нет,институты,девиация от нормы,коллективные/институциональные,аналог в медсоциологии
120,Кризис альтернативной медицины,Да,институты,делегитимация,коллективные/институциональные,новый
121,Формирование института восстановления справедливости,Нет,институты,реституция,коллективные/институциональные,аналог в restorative justice
122,Кризис института восстановления справедливости,Да,институты,делегитимация,коллективные/институциональные,новый
123,Формирование практик девиантного потребления,Нет,поведение,альтернативные практики,индивидуальные/коллективные,аналог в культурологии
124,Упадок девиантного потребления,Нет,поведение,исчезновение,индивидуальные/коллективные,новый
125,Создание практик "культурной девиации",Нет,содержание,альтернативная культура,коллективные/неформальные,аналог в cultural studies
126,Интеграция культурной девиации в мейнстрим,Да,содержание,нормализация,коллективные/институциональные,аналог в культурологии
127,Формирование девиантных онлайн-ритуалов,Нет,поведение,цифровая ритуализация,коллективные/неформальные,новый
128,Эрозия онлайн-ритуалов,Да,поведение,деритуализация,коллективные/латентные,новый
129,Создание практик девиантного протеста,Нет,поведение,оппозиция,коллективные/коллективные,аналог в теории движений
130,Подавление практик протеста,Нет,поведение,репрессия,коллективные/институциональные,аналог в политсоциологии
131,Формирование символов девиации в искусстве,Нет,символы,репрезентация,индивидуальные/коллективные,аналог в арт-социологии
132,Коммодификация символов девиации,Да,символы,маркетизация,коллективные/институциональные,новый
133,Формирование нарратива девиантной романтики,Нет,значения,мифологизация,коллективные/латентные,аналог в криминальной социологии
134,Развенчание девиантной романтики,Да,значения,деконструкция,коллективные/институциональные,новый
135,Формирование девиантных практик риска,Нет,поведение,опасное поведение,индивидуальные/коллективные,аналог в risk studies
136,Прекращение практик риска,Да,поведение,самоконтроль,индивидуальные/постепенные,аналог в психологии
137,Создание института цифрового мониторинга девиаций,Нет,технология/инфраструктура,надзор,коллективные/институциональные,аналог в цифровой социологии
138,Кризис цифрового мониторинга,Да,технология/инфраструктура,сбой,коллективные/институциональные,новый
139,Формирование сетей девиантной солидарности онлайн,Нет,структура,сетевизация,коллективные/неформальные,новый
140,Распад онлайн-солидарности,Нет,структура,атомизация,коллективные/латентные,новый
141,Создание практик легализации субкультур,Нет,институты,нормализация,коллективные/институциональные,новый
142,Отмена легализации субкультур,Да,институты,рестигматизация,коллективные/институциональные,новый
143,Формирование практик сопротивления цензуре,Нет,поведение,оппозиция,коллективные/латентные,аналог в медиа-социологии
144,Подавление сопротивления цензуре,Нет,поведение,репрессия,коллективные/институциональные,новый
145,Создание девиантного культурного наследия,Нет,память/наследие,альтернативная память,коллективные/латентные,аналог в культурологии
146,Стирание девиантного культурного наследия,Да,память/наследие,забвение,коллективные/латентные,новый
147,Формирование практик сетевого криминала,Нет,поведение,киберпреступность,коллективные/неформальные,аналог в digital criminology
148,Утрата сетевого криминала,Да,поведение,цифровой контроль,коллективные/институциональные,новый
149,Формирование практик девиантной самоидентификации,Нет,идентичность/границы,самоопределение,индивидуальные/коллективные,новый
150,Размывание девиантной самоидентификации,Да,идентичность/границы,гибридизация,индивидуальные/коллективные,новый
151,Создание института альтернативных сообществ,Нет,институты,параллельные структуры,коллективные/неформальные,новый
152,Распад альтернативных сообществ,Нет,институты,децентрализация,коллективные/латентные,новый
153,Формирование практик символического сопротивления,Нет,символы,альтернативная репрезентация,коллективные/латентные,новый
154,Эрозия символического сопротивления,Да,символы,коммодификация,коллективные/институциональные,новый
155,Создание девиантного публичного дискурса,Нет,дискурс,репрезентация,коллективные/институциональные,новый
156,Разрушение девиантного публичного дискурса,Да,дискурс,критика,коллективные/институциональные,новый
157,Формирование практик "теневого лидерства",Нет,структура,иерархия,коллективные/неформальные,аналог в криминологии
158,Утрата теневого лидерства,Да,структура,делегитимация,коллективные/неформальные,новый
159,Создание практик ресоциализации через искусство,Нет,функция,арт-терапия,индивидуальные/коллективные,аналог в социальной работе
160,Кризис арт-ресоциализации,Да,функция,недоверие,индивидуальные/коллективные,новый
