52,Разворот внутрь сущности,Да,структура,интраонтологический сдвиг,индивидуальные/континуальные/неформальные,уникален
53,Флуктуация сущего,Да,состояние,переменная стабильность,индивидуальные/латентные/неформальные,аналог в квантовой теории
54,Инверсия субстрата,Нет,тело/материя,онтологическая подмена,индивидуальные/неформальные/экзогенные,уникален
55,Модуляция онтологических ролей,Да,функция,смена онтологического назначения,индивидуальные/дискретные/неформальные,аналог в онтологическом моделировании
56,Дефрагментация бытия,Да,структура,реставрация целостности,индивидуальные/неформальные/постепенные,уникален
57,Синтез сущностей,Да,структура,онтологическая комбинаторика,индивидуальные/постепенные/неформальные,аналог в системном мышлении
58,Онтологическая экспансия,Нет,пространство,расширение пределов бытия,индивидуальные/каскадные/латентные,уникален
59,Трансцендентализация сущности,Нет,значения,вывод за пределы феномена,индивидуальные/неформальные/экзогенные,аналог в кантианстве
60,Извлечение онтологического ядра,Да,структура,выделение основания,индивидуальные/дискретные/неформальные,уникален
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
61,Онтологическая активация,Да,состояние,ввод в зону бытия,индивидуальные/дискретные/неформальные,аналог в актуализации потенции
62,Метафизическая десакрализация,Да,значения,развоплощение сакрального,индивидуальные/дискретные/неформальные,аналог в секуляризации
63,Резонанс онтологических полей,Да,структура,взаимодействие онтослоёв,индивидуальные/континуальные/латентные,уникален
64,Переход из виртуального в актуальное,Да,функция,онтологическая материализация,индивидуальные/постепенные/неформальные,аналог в информационной теории
65,Конституирование онто-объекта,Да,структура,создание единицы бытия,индивидуальные/дискретные/неформальные,аналог в теории объектов
66,Перенос онтологического центра,Да,структура,смена точки устойчивости,индивидуальные/дискретные/неформальные,уникален
67,Онтологическая фазовая смена,Нет,состояние,скачок между режимами,индивидуальные/мгновенные/неформальные,аналог в синергетике
68,Отвязка от субстанции,Да,структура,превалирование реляции,индивидуальные/неформальные/дискретные,аналог в антисубстанциальной онтологии
69,Унификация модусов,Да,структура,слияние форм существования,индивидуальные/дискретные/неформальные,аналог в моноизмe
70,Разделение модусов,Да,структура,разведение бытийных измерений,индивидуальные/дискретные/неформальные,аналог в дуализме
71,Онтологическая голография,Да,структура,часть содержит целое,индивидуальные/континуальные/латентные,аналог в теории холограмм
72,Эксгибиция сущего,Да,дискурс,обнажение онтологического содержания,индивидуальные/неформальные/дискретные,аналог в феноменологии
73,Реинтерпретация основания,Да,структура,переоценка фундамента,индивидуальные/дискретные/неформальные,аналог в метафизике
74,Репликация сущности,Нет,структура,создание копий бытия,институциональные/экзогенные/дискретные,аналог в ИИ/цифровых двойниках
75,Перевоплощение,Нет,тело/материя,смена носителя,индивидуальные/континуальные/латентные,аналог в мифологических и духовных традициях
76,Аффирмация множественности,Да,структура,мультионтология,индивидуальные/неформальные/дискретные,аналог в постструктурализме
77,Онтологическое зеркалирование,Да,отношения,взаимная репрезентация,индивидуальные/неформальные/постепенные,аналог в Lacan'овской оптике
78,Переход к пост-онтологии,Нет,структура,отказ от классических категорий,индивидуальные/латентные/экзогенные,уникален
79,Онтологическая компрессия,Нет,структура,свёртка уровней реальности,индивидуальные/мгновенные/латентные,аналог в символической форме
80,Генерация онтологического пространства,Нет,пространство,создание новой среды,индивидуальные/каскадные/экзогенные,аналог в архитектонологии
81,Трансонтологическая навигация,Да,отношения,переход между онто-средами,индивидуальные/континуальные/неформальные,уникален
82,Онтологический дипфейк,Нет,структура,маскировка бытия,институциональные/латентные/неформальные,аналог в симуляции
83,Обратимость в небытие,Нет,состояние,онтологическая реверсия,индивидуальные/мгновенные/латентные,аналог в философии ничто
84,Сингуляризация времени,Да,время/ритм,онтологическая остановка,индивидуальные/неформальные/дискретные,аналог в мистических переживаниях
85,Онтологическое шифрование,Да,структура,закрытие реальности,индивидуальные/латентные/дискретные,аналог в эзотерике
86,Устранение онтологического шума,Да,структура,чистота присутствия,индивидуальные/неформальные/дискретные,аналог в минимализме
87,Онтологическая фильтрация,Да,структура,отбор допустимых форм,индивидуальные/неформальные/необходимые,аналог в логике модальностей
88,Эволюция формы бытия,Нет,структура,онтогенез сущего,индивидуальные/постепенные/неформальные,аналог в космогонии
89,Развертывание возможного,Да,функция,активация потенции,индивидуальные/постепенные/неформальные,аналог в Арто/Бергсоне
90,Инверсия наблюдаемого/скрытого,Да,дискурс,онтологическая обнажённость,индивидуальные/неформальные/дискретные,аналог в аналитической феноменологии
91,Резонанс между сущностями,Да,отношения,энергетическое взаимодействие,индивидуальные/континуальные/неформальные,аналог в эзотерических системах
92,Скачок в мета-бытие,Нет,структура,онтологический выход,индивидуальные/экзогенные/неформальные,уникален
93,Имплозия сущности,Нет,структура,онтологический коллапс,индивидуальные/латентные/неформальные,аналог в теориях сингулярности
94,Синтез дискретного и непрерывного,Да,структура,онтологическое объединение,индивидуальные/неформальные/дискретные,аналог в математической онтологии
95,Онтологическая саморефлексия,Да,идентичность/границы,сущность осознаёт себя,индивидуальные/латентные/неформальные,аналог в йогической философии
96,Протоколирование бытия,Да,технология/инфраструктура,онтологическая инженерия,институциональные/необходимые/дискретные,аналог в онтологических моделях
97,Мета-онтологическое расширение,Нет,структура,ввод новых измерений,индивидуальные/экзогенные/дискретные,уникален
98,Сброс онтологической конструкции,Нет,структура,деконструкция,индивидуальные/мгновенные/латентные,аналог в постмодерне
99,Тотализация реальности,Нет,структура,гиперонтология,институциональные/каскадные/неформальные,аналог в метафизических системах
100,Реперсонализация сущего,Да,идентичность/границы,обращение к субъекту,индивидуальные/постепенные/неформальные,аналог в персонализме
101,Формирование онто-алгоритма,Да,структура,процедурная онтология,институциональные/необходимые/постепенные,аналог в цифровых онтологиях
102,Программирование бытия,Нет,функция,онтологический дизайн,институциональные/необходимые/экзогенные,уникален
103,Эмпиризация абстрактного,Да,тело/материя,перевод в чувственное,индивидуальные/экзогенные/постепенные,аналог в эмбодимент-подходах
104,Переход к сущности сущности,Нет,структура,глубинная онтология,индивидуальные/латентные/неформальные,аналог у Гуссерля
105,Протяжение онто-времени,Да,время/ритм,экстенсия бытия,индивидуальные/континуальные/неформальные,аналог в Бергсоне
106,Рассеивание сущего,Нет,структура,онтологическая энтропия,индивидуальные/латентные/неформальные,аналог в космологии
107,Выделение опорной сущности,Да,структура,определение центра,индивидуальные/неформальные/дискретные,аналог в фундаментализме
108,Кристаллизация бытия,Да,состояние,фиксация формы,индивидуальные/дискретные/неформальные,аналог в архетипировании
109,Превращение реального в символ,Да,значения,семиотизация онтологии,индивидуальные/дискретные/неформальные,аналог в структурализме
110,Изменение топологии бытия,Да,пространство,деформация координатной системы,индивидуальные/континуальные/неформальные,аналог в топологической философии
111,Слияние с пустотой,Нет,состояние,онто-ноль,индивидуальные/латентные/неформальные,аналог в дзэн
112,Отражение в инаковом,Да,отношения,онтологический перенос,индивидуальные/неформальные/дискретные,аналог в экзистенциализме
113,Перекрестное бытие,Да,структура,пересечение модусов,индивидуальные/континуальные/латентные,уникален
114,Превращение виртуального в мета-сущность,Нет,функция,онтологический сдвиг в синтез,индивидуальные/экзогенные/дискретные,уникален
115,Онтологический отскок,Нет,структура,ритмическая реакция бытия,индивидуальные/каскадные/мгновенные,уникален
116,Перепрошивка онтологических аксиом,Нет,структура,сброс и переопределение,индивидуальные/экзогенные/дискретные,уникален
117,Уплотнение онто-времени,Да,время/ритм,сжатие потока,индивидуальные/латентные/неформальные,аналог в субъективной психологии
118,Метафизическая осцилляция,Да,структура,вибрация модусов,индивидуальные/континуальные/неформальные,аналог в спекулятивной метафизике
119,Придание веса сущему,Да,функция,эпистемический гравитон,индивидуальные/неформальные/дискретные,уникален
120,Создание точки бытия,Нет,структура,онтологический узел,индивидуальные/неформальные/мгновенные,уникален
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Синхронизация с бытием,Да,поведение,онтологическая сонастройка,индивидуальные/постепенные/неформальные,аналог в духовных практиках
122,Континуализация сущего,Да,структура,перевод дискретного в поток,индивидуальные/континуальные/неформальные,аналог в феноменологии времени
123,Упразднение субстанции,Нет,структура,ликвидация фиксированных сущностей,индивидуальные/дискретные/экзогенные,аналог в буддизме
124,Выстраивание онтологического каркаса,Да,структура,создание рамки реальности,индивидуальные/неформальные/необходимые,аналог в метамоделировании
125,Онтологический рекурс,Нет,структура,самообращение бытия,индивидуальные/латентные/неформальные,уникален
126,Ввод онто-переменных,Да,структура,переменные измерения бытия,индивидуальные/неформальные/дискретные,уникален
127,Перевод сущности в ритуал,Да,поведение,онтологизация действия,индивидуальные/постепенные/институциональные,аналог в сакральных системах
128,Инверсная манифестация,Нет,состояние,присутствие через отсутствие,индивидуальные/латентные/неформальные,аналог в апофатике
129,Реализация абстрактного,Да,тело/материя,воплощение идеи,индивидуальные/постепенные/неформальные,аналог в платонизме
130,Отзеркаливание бытия в языке,Да,дискурс,лингво-онтологическая сцепка,индивидуальные/дискретные/неформальные,аналог в аналитической философии
131,Обособление слоя реальности,Да,пространство,сегментация онтосферы,индивидуальные/дискретные/неформальные,аналог в слоистых онтологиях
132,Формирование онто-генома,Нет,структура,код реальности,индивидуальные/экзогенные/неформальные,уникален
133,Транспозиция субстратов,Да,тело/материя,смена онтологического носителя,индивидуальные/неформальные/дискретные,уникален
134,Инициация сущего,Нет,состояние,онтологическое рождение,индивидуальные/мгновенные/неформальные,аналог в мифопоэтике
135,Смена рамки устойчивости,Да,структура,онтологическая перерегулировка,индивидуальные/дискретные/неформальные,аналог в теории систем
136,Множественное воплощение,Нет,тело/материя,одновременные манифестации,индивидуальные/латентные/неформальные,аналог в многомировых моделях
137,Дефигурация сущности,Нет,структура,распад онто-формы,индивидуальные/латентные/неформальные,аналог в деконструкции
138,Проявление онто-функции,Да,функция,обнаружение назначения,индивидуальные/дискретные/неформальные,аналог в философии технологии
139,Мета-связывание сущего,Да,структура,создание онто-гиперсвязи,индивидуальные/континуальные/неформальные,уникален
140,Голографическая декомпрессия,Нет,структура,распаковка реальности,индивидуальные/экзогенные/дискретные,аналог в сингулярных теориях
141,Переход от имени к существу,Да,значения,онтологическая номинализация,индивидуальные/неформальные/дискретные,аналог в герменевтике
142,Смещение уровня бытийной фокусировки,Да,структура,изменение точки онто-наблюдения,индивидуальные/дискретные/неформальные,уникален
143,Разомкнутость онтологии,Да,структура,допуск трансформации,индивидуальные/континуальные/неформальные,аналог в открытых системах
144,Перевод из присутствия в действие,Да,поведение,онтологическая динамика,индивидуальные/постепенные/неформальные,аналог в экзистенциальной практике
145,Онтологическое очищение,Да,структура,удаление примесей,индивидуальные/дискретные/неформальные,аналог в даосизме
146,Метафизическая суперпозиция,Нет,структура,многослойное бытие,индивидуальные/латентные/неформальные,аналог в квантовой метафизике
147,Молчаливое утверждение бытия,Да,дискурс,онтология тишины,индивидуальные/латентные/неформальные,аналог в созерцательных традициях
148,Переход в предел бытия,Нет,состояние,онтологическая граница,индивидуальные/экзогенные/неформальные,аналог в трансцендентализме
149,Миграция онто-кодов,Нет,структура,перенос онтологической архитектуры,институциональные/латентные/неформальные,аналог в цифровой онтологии
150,Когерентное обрамление сущего,Да,структура,согласование элементов реальности,индивидуальные/постепенные/неформальные,аналог в системном мышлении
