
51,Деконструкция текста,Нет,структура,разбор текста до элементов,индивидуальные/неформальные/дискретные,аналог у Деррида
52,Реинтерпретация текста,Да,значения,новое прочтение,индивидуальные/неформальные/дискретные,аналог в герменевтике
53,Фиксация жанра,Да,нормы,закрепление формы текста,институциональные/постепенные/неформальные,аналог в литературоведении
54,Смена жанра,Да,нормы,переход формы текста,индивидуальные/неформальные/дискретные,аналог в литературных практиках
55,Игра с жанром,Да,нормы,нарушение ожиданий,индивидуальные/неформальные/дискретные,аналог в постмодерне
56,Метафора текста,Да,значения,прочтение текста как образа,индивидуальные/неформальные/дискретные,аналог в поэтике
57,Переход к символу,Да,символы,объективация смысла,индивидуальные/неформальные/дискретные,аналог в семиотике
58,Символическая редукция,Да,символы,сведение к знаку,индивидуальные/неформальные/дискретные,аналог в структурализме
59,Языковая метафизика,Нет,значения,выход за пределы языка,индивидуальные/неформальные/экзогенные,аналог у Витгенштейна
60,Эстетизация языка,Да,дискурс,создание красоты речи,индивидуальные/неформальные/дискретные,аналог в поэтике
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
61,Языковая метафора,Да,значения,перевод понятий через образ,индивидуальные/неформальные/дискретные,аналог в когнитивной лингвистике
62,Аллегоризация,Да,значения,создание многослойного образа,индивидуальные/неформальные/дискретные,аналог в литературе
63,Идиоматизация,Да,структура,закрепление устойчивых выражений,коллективные/неформальные/постепенные,аналог в фразеологии
64,Деидиоматизация,Да,структура,распад устойчивого выражения,индивидуальные/неформальные/дискретные,аналог в языковых изменениях
65,Языковая метонимия,Да,значения,перенос по смежности,индивидуальные/неформальные/дискретные,аналог в риторике
66,Синекдоха,Да,значения,часть вместо целого,индивидуальные/неформальные/дискретные,аналог в поэтике
67,Эвфемизация,Да,значения,смягчение выражения,индивидуальные/неформальные/дискретные,аналог в социолингвистике
68,Дисфемизация,Да,значения,усиление грубости,индивидуальные/неформальные/дискретные,аналог в социолингвистике
69,Создание каламбура,Да,значения,игра на многозначности,индивидуальные/неформальные/дискретные,аналог в юморе
70,Риторическая фигура,Да,структура,отклонение ради эффекта,индивидуальные/неформальные/дискретные,аналог в риторике
71,Нарушение грамматической нормы,Нет,нормы,игра с ошибкой,индивидуальные/неформальные/дискретные,аналог в языковом авангарде
72,Словообразование,Да,структура,создание новой лексемы,индивидуальные/неформальные/дискретные,аналог в морфологии
73,Деконструкция значения,Нет,значения,разрушение семантики,индивидуальные/неформальные/дискретные,аналог у Деррида
74,Реконструкция значения,Да,значения,восстановление смысла,индивидуальные/неформальные/дискретные,аналог в герменевтике
75,Языковая рефлексия,Да,структура,осмысление грамматики и лексики,индивидуальные/неформальные/дискретные,аналог в метаязыке
76,Языковое кодирование,Да,структура,превращение опыта в знаки,индивидуальные/неформальные/дискретные,аналог в психолингвистике
77,Языковое декодирование,Да,структура,перевод знаков в опыт,индивидуальные/неформальные/дискретные,аналог в психолингвистике
78,Семантический перенос,Да,значения,смещение значения к новому объекту,индивидуальные/неформальные/дискретные,аналог в когнитивной семантике
79,Языковая адаптация,Да,структура,подстройка под новую среду,индивидуальные/неформальные/постепенные,аналог в билингвизме
80,Культурная апроприация через язык,Нет,значения,заимствование чужих форм,коллективные/экзогенные/неформальные,аналог в культурологии
81,Создание лингвистического барьера,Нет,отношения,исключение через язык,коллективные/неформальные/дискретные,аналог в социолингвистике
82,Снятие лингвистического барьера,Да,отношения,интеграция через язык,коллективные/неформальные/постепенные,аналог в межкультурной коммуникации
83,Языковая стандартизация,Да,нормы,создание правил,институциональные/постепенные/необходимые,аналог в нормировании
84,Дестандартизация языка,Нет,нормы,снятие правил,индивидуальные/неформальные/дискретные,аналог в языковых революциях
85,Языковая гибридизация,Да,структура,смешение кодов,коллективные/неформальные/постепенные,аналог в креольских языках
86,Языковая диглоссия,Нет,структура,разделение на высокий и низкий код,коллективные/латентные/неформальные,аналог в социолингвистике
87,Инверсивное высказывание,Да,структура,переворачивание смысла,индивидуальные/неформальные/дискретные,аналог в иронии
88,Прагматическая импровизация,Да,дискурс,создание уникальной формы под ситуацию,индивидуальные/неформальные/дискретные,аналог в живой речи
89,Языковая импровизация,Да,структура,нестандартные комбинации,индивидуальные/неформальные/дискретные,аналог в поэтической речи
90,Фонетическая трансформация,Да,тело/материя,изменение звучания,индивидуальные/неформальные/дискретные,аналог в фонологии
91,Фонологизация,Да,структура,развитие фонемной системы,коллективные/постепенные/неформальные,аналог в исторической лингвистике
92,Дефонологизация,Нет,структура,потеря фонемных различий,коллективные/латентные/неформальные,аналог в языковых изменениях
93,Просодическая трансформация,Да,время/ритм,изменение интонации,индивидуальные/неформальные/дискретные,аналог в фонетике
94,Ритмизация речи,Да,время/ритм,создание паттерна,индивидуальные/неформальные/дискретные,аналог в поэтической речи
95,Монологизация,Да,дискурс,сведение к одному голосу,индивидуальные/неформальные/дискретные,аналог у Бахтина
96,Диалогизация,Да,дискурс,создание множественности голосов,индивидуальные/неформальные/дискретные,аналог у Бахтина
97,Полилогизация,Да,дискурс,создание полифонии,коллективные/неформальные/дискретные,аналог в дискурсивных практиках
98,Языковая архаизация,Нет,нормы,возврат к старым формам,индивидуальные/латентные/неформальные,аналог в культурных движениях
99,Инновационное словообразование,Да,структура,экспериментальная лексика,индивидуальные/неформальные/дискретные,аналог в авангардной поэзии
100,Семантический коллапс,Нет,значения,утрата различий,индивидуальные/латентные/неформальные,аналог в постструктурализме
101,Репрезентация,Да,значения,выражение через знак,индивидуальные/неформальные/дискретные,аналог у Соссюра
102,Дерепрезентация,Нет,значения,снятие значения,индивидуальные/латентные/неформальные,аналог в деконструкции
103,Семантическая фрагментация,Да,значения,разделение на микросмыслы,индивидуальные/неформальные/дискретные,аналог в постмодерне
104,Семантическая интеграция,Да,значения,объединение микросмыслов,индивидуальные/неформальные/постепенные,аналог в системной лингвистике
105,Языковая виртуализация,Да,технология/инфраструктура,цифровое воплощение языка,индивидуальные/экзогенные/неформальные,аналог в digital linguistics
106,Языковая материализация,Да,тело/материя,закрепление в артефакте,индивидуальные/неформальные/дискретные,аналог в письменности
107,Гибридизация жанров,Да,структура,смешение текстовых форм,индивидуальные/неформальные/дискретные,аналог в постмодернизме
108,Пародирование,Да,дискурс,подражание с искажением,индивидуальные/неформальные/дискретные,аналог в сатире
109,Сатиризация,Да,дискурс,осмеяние объекта,индивидуальные/неформальные/дискретные,аналог в сатире
110,Иронизирование,Да,дискурс,двойной план смысла,индивидуальные/неформальные/дискретные,аналог в риторике
111,Языковая десимволизация,Нет,символы,утрата символической силы,индивидуальные/латентные/неформальные,аналог в прагматике
112,Ресимволизация,Да,символы,возврат силы символа,индивидуальные/неформальные/дискретные,аналог в мифотворчестве
113,Акт самоназвания,Да,идентичность/границы,указание на себя,индивидуальные/неформальные/дискретные,аналог в лингвистике эго
114,Акт инаковости,Да,идентичность/границы,обозначение Другого,индивидуальные/неформальные/дискретные,аналог в социальной философии
115,Языковое кодирование власти,Нет,нормы,иерархия через дискурс,коллективные/институциональные/неформальные,аналог у Фуко
116,Языковое сопротивление,Да,дискурс,оппозиция через речь,индивидуальные/неформальные/дискретные,аналог в критической лингвистике
117,Лингвистическая субверсия,Нет,дискурс,подрыв нормы,индивидуальные/неформальные/дискретные,аналог в постструктурализме
118,Лингвистическая нормализация,Да,нормы,возврат к стандарту,институциональные/неформальные/дискретные,аналог в политике языка
119,Языковая манипуляция,Нет,дискурс,скрытое влияние,индивидуальные/неформальные/дискретные,аналог в пропаганде
120,Металингвистическая игра,Да,структура,ирония над самим языком,индивидуальные/неформальные/дискретные,аналог в постмодерне
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Дискурсивная гегемония,Нет,дискурс,доминирование языка над мышлением,коллективные/институциональные/каскадные,аналог у Фуко
122,Дискурсивная деконструкция,Да,дискурс,разбор власти языка,индивидуальные/неформальные/дискретные,аналог в постструктурализме
123,Формирование нарратива,Да,дискурс,сборка фактов в историю,индивидуальные/неформальные/постепенные,аналог в герменевтике
124,Разрыв нарратива,Нет,дискурс,сбой повествования,индивидуальные/неформальные/дискретные,аналог в постмодерне
125,Языковая мифологизация,Да,символы,создание мифа через язык,коллективные/неформальные/постепенные,аналог у Бартa
126,Демифологизация языка,Да,символы,развенчание мифов,индивидуальные/неформальные/дискретные,аналог в критике идеологий
127,Языковое обобщение,Да,значения,сведение к универсалиям,индивидуальные/неформальные/дискретные,аналог в логике
128,Языковая детализация,Да,значения,усиление различий,индивидуальные/неформальные/дискретные,аналог в аналитической философии
129,Фонетическая игра,Да,тело/материя,создание смысла через звук,индивидуальные/неформальные/дискретные,аналог в поэтике
130,Семантическая инновация,Да,значения,новое значение без формы,индивидуальные/неформальные/дискретные,аналог в неологизме
131,Семантическая стагнация,Нет,значения,остановка развития значения,индивидуальные/латентные/неформальные,аналог в архаике
132,Прагматическая адаптация,Да,дискурс,подстройка под контекст,индивидуальные/неформальные/дискретные,аналог в прагматике
133,Прагматическая фиксация,Да,дискурс,закрепление нормы употребления,институциональные/неформальные/постепенные,аналог в юрислингвистике
134,Лингвистическая игра с властью,Нет,дискурс,использование языка для доминирования,индивидуальные/неформальные/дискретные,аналог в критической теории
135,Лингвистическая активация памяти,Да,память/наследие,вызов прошлого через слово,индивидуальные/неформальные/дискретные,аналог в мемориальной культуре
136,Забвение через язык,Нет,память/наследие,стирание воспоминаний,индивидуальные/латентные/неформальные,аналог в политике памяти
137,Языковая интерференция,Да,структура,наложение кодов,индивидуальные/неформальные/дискретные,аналог в билингвизме
138,Языковая изоляция,Нет,отношения,замыкание группы в своём коде,коллективные/неформальные/дискретные,аналог в этнолингвистике
139,Языковая экспансия,Да,отношения,распространение языка,коллективные/неформальные/каскадные,аналог в социолингвистике
140,Языковая редукция,Да,отношения,сжатие сферы применения,коллективные/постепенные/неформальные,аналог в языковой политике
141,Институционализация грамматики,Да,нормы,создание правил описания,институциональные/необходимые/постепенные,аналог в лингвистике
142,Разрыв с грамматикой,Нет,нормы,сознательное нарушение правил,индивидуальные/неформальные/дискретные,аналог в языковом авангарде
143,Семантический креолизм,Да,значения,смешение смыслов,коллективные/неформальные/постепенные,аналог в пиджинах
144,Десемантизация дискурса,Нет,значения,потеря смысловой плотности,индивидуальные/латентные/неформальные,аналог в масс-медиа
145,Ресемантизация,Да,значения,наполнение новым смыслом,индивидуальные/неформальные/дискретные,аналог в идеологических практиках
146,Языковая магизация,Нет,символы,вера в силу слова,индивидуальные/неформальные/латентные,аналог в магических практиках
147,Языковая демагизация,Да,символы,развенчание магического языка,индивидуальные/неформальные/дискретные,аналог в науке
148,Риторическая нормализация,Да,дискурс,возврат к обычному стилю,индивидуальные/неформальные/дискретные,аналог в риторике
149,Экспериментализация языка,Да,структура,поиск новых способов выражения,индивидуальные/неформальные/дискретные,аналог в авангарде
150,Языковая интеграция,Да,структура,сведение различных кодов,коллективные/неформальные/постепенные,аналог в глобализации языка
