138,Переход от знания к действию,Да,функция,перенос в практику,индивидуальные/постепенные/неформальные,аналог в прагматизме
139,Освобождение знания,Да,институты,деколонизация эпистемики,коллективные/институциональные/постепенные,аналог в критической теории
140,Выявление семантических ловушек,Да,дискурс,филологический анализ,индивидуальные/дискретные/неформальные,аналог в аналитической философии
141,Рефрейминг аксиом,Да,структура,смещение основания,индивидуальные/неформальные/дискретные,уникален
142,Инверсия онтологической оптики,Нет,структура,эпистемологическая парадоксализация,индивидуальные/латентные/экзогенные,уникален
143,Перекодировка знания,Да,дискурс,смена эпистемологического языка,индивидуальные/неформальные/дискретные,уникален
144,Синхронизация эпистемических модулей,Да,структура,когнитивная когеренция,индивидуальные/неформальные/дискретные,аналог в нейронауке
145,Переход от анализа к созерцанию,Да,поведение,эпистемический стиль,индивидуальные/континуальные/неформальные,аналог в мистике
146,Формализация сомнения,Да,структура,логическая верификация скепсиса,индивидуальные/неформальные/дискретные,уникален
147,Формирование критической позиции,Да,поведение,самостоятельная эпистемическая роль,индивидуальные/постепенные/неформальные,аналог в философском мышлении
148,Нарративизация знания,Да,дискурс,смысловая организация,индивидуальные/постепенные/неформальные,аналог в storytelling
149,Расщепление источников,Да,институты,мультифокусное мышление,индивидуальные/неформальные/дискретные,уникален
150,Устранение ложных тотальностей,Да,структура,принцип эпистемической демифологизации,индивидуальные/неформальные/дискретные,уникален
