43,Феноменологическая аналогия,Да,структура,нахождение общности,индивидуальные/неформальные/дискретные,аналог в герменевтике
44,Синхронность опыта,Да,время/ритм,одновременность событий,индивидуальные/неформальные/дискретные,аналог в феноменологии времени
45,Диахронность опыта,Да,время/ритм,последовательность событий,индивидуальные/неформальные/дискретные,аналог в феноменологии времени
46,Феноменологическая саморефлексия,Да,структура,наблюдение над переживанием,индивидуальные/неформальные/дискретные,аналог в философии сознания
47,Схватывание сущности,Да,структура,выделение инвариантного,индивидуальные/неформальные/дискретные,аналог у Гуссерля
48,Феноменологическая данность Другого,Да,отношения,переживание чужого Я,индивидуальные/неформальные/дискретные,аналог у Гуссерля
49,Феноменологическая эмпатия,Да,отношения,вчувствование в чужой опыт,индивидуальные/неформальные/дискретные,аналог в психологии
50,Феноменологическая интерсубъективность,Да,отношения,согласование опыта,коллективные/неформальные/постепенные,аналог у Гуссерля
51,Феноменологическая очевидность Другого,Да,отношения,данность присутствия,индивидуальные/неформальные/мгновенные,аналог в социальной философии
52,Феноменологическая символизация,Да,символы,перевод опыта в знак,индивидуальные/неформальные/дискретные,аналог в семиотике
53,Феноменологическая десимволизация,Да,символы,снятие знаковой оболочки,индивидуальные/неформальные/дискретные,аналог в герменевтике
54,Феноменологическая репрезентация,Да,содержание,воссоздание феномена,индивидуальные/неформальные/дискретные,аналог в философии сознания
55,Феноменологическая дерепрезентация,Нет,содержание,разрушение образа,индивидуальные/неформальные/дискретные,аналог в деконструкции
56,Феноменологическая очевидность мира,Да,структура,данность как фон,индивидуальные/неформальные/континуальные,аналог у Гуссерля
57,Феноменологическая инаковость,Да,структура,данность иного как иного,индивидуальные/неформальные/дискретные,аналог у Левинаса
58,Феноменологическое вопрошание,Да,структура,открытие феномена через вопрос,индивидуальные/неформальные/дискретные,аналог в герменевтике
59,Феноменологическая самоданность,Да,структура,переживание себя как феномена,индивидуальные/неформальные/дискретные,аналог в философии сознания
60,Феноменологическая прозрачность,Да,структура,непосредственность опыта,индивидуальные/неформальные/континуальные,аналог у Гуссерля
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Феноменологическая открытость,Да,состояние,готовность к любому данному,индивидуальные/неформальные/дискретные,аналог у Гуссерля
122,Феноменологическая закрытость,Нет,состояние,блокировка опыта,индивидуальные/латентные/неформальные,аналог в психопатологии
123,Феноменологическая прозрачность Я,Да,идентичность/границы,переживание себя как открытого,индивидуальные/неформальные/дискретные,аналог в экзистенциальной психологии
124,Феноменологическая непрозрачность Я,Нет,идентичность/границы,ощущение скрытости,индивидуальные/латентные/неформальные,аналог в психоанализе
125,Феноменологическая артикуляция,Да,структура,выражение опыта словами,индивидуальные/неформальные/дискретные,аналог в философии языка
126,Феноменологическая неартикулируемость,Нет,структура,невозможность выразить,индивидуальные/латентные/неформальные,аналог в мистике
127,Феноменологическая данность боли,Да,состояние,переживание страдания как непосредственного,индивидуальные/неформальные/мгновенные,аналог в феноменологии тела
128,Феноменологическая данность радости,Да,состояние,переживание полноты,индивидуальные/неформальные/мгновенные,аналог в экзистенциальной феноменологии
129,Феноменологическая данность страха,Нет,состояние,переживание тревоги,индивидуальные/латентные/неформальные,аналог у Хайдеггера
130,Феноменологическая данность любви,Да,отношения,переживание соединённости,индивидуальные/неформальные/мгновенные,аналог в феноменологии Другого
131,Феноменологическая данность смерти,Нет,состояние,переживание конечности,индивидуальные/латентные/неформальные,аналог у Хайдеггера
132,Феноменологическая данность рождения,Да,состояние,переживание начала,индивидуальные/неформальные/дискретные,аналог в философии жизни
133,Феноменологическая инаковость времени,Да,время/ритм,переживание иного времени,индивидуальные/неформальные/дискретные,аналог в мистике
134,Феноменологическая инаковость пространства,Да,пространство,переживание иного пространства,индивидуальные/неформальные/дискретные,аналог в религиозном опыте
135,Феноменологическая инаковость Другого,Да,отношения,переживание чуждости,индивидуальные/неформальные/дискретные,аналог у Левинаса
136,Феноменологическая инаковость Я,Нет,идентичность/границы,распад самости,индивидуальные/латентные/неформальные,аналог в психопатологии
137,Феноменологическая рефлексия,Да,структура,обращение внимания на акт сознания,индивидуальные/неформальные/дискретные,аналог у Гуссерля
138,Феноменологическая дорефлексия,Нет,структура,опыт до анализа,индивидуальные/латентные/неформальные,аналог в дофилософском опыте
139,Феноменологическая артикуляция мира,Да,структура,описание целостного горизонта,индивидуальные/неформальные/дискретные,аналог в герменевтике
140,Феноменологическая деартикуляция мира,Нет,структура,распад целостности горизонта,индивидуальные/латентные/неформальные,аналог в кризисах восприятия
141,Феноменологическая очевидность истины,Да,значения,данность как самоочевидное,индивидуальные/неформальные/мгновенные,аналог в философии истины
142,Феноменологическая неопределённость истины,Нет,значения,размывание критерия,индивидуальные/латентные/неформальные,аналог в постструктурализме
143,Феноменологическая множественность смыслов,Да,значения,одновременность интерпретаций,индивидуальные/неформальные/дискретные,аналог в герменевтике
144,Феноменологическая единственность смысла,Да,значения,сведение к одной интерпретации,индивидуальные/неформальные/дискретные,аналог в логике
145,Феноменологическая очевидность феномена,Да,содержание,переживание как безусловное,индивидуальные/неформальные/мгновенные,аналог у Гуссерля
146,Феноменологическая инаковость феномена,Да,содержание,переживание чуждости опыта,индивидуальные/неформальные/дискретные,аналог в экзистенциальной психологии
147,Феноменологическая очевидность структуры,Да,структура,переживание упорядоченности,индивидуальные/неформальные/дискретные,аналог в феноменологии сознания
148,Феноменологическая инаковость структуры,Нет,структура,переживание хаоса,индивидуальные/латентные/неформальные,аналог в кризисных состояниях
149,Феноменологическая полнота,Да,состояние,переживание завершённости,индивидуальные/неформальные/мгновенные,аналог в мистическом опыте
150,Феноменологическая пустота,Нет,состояние,переживание отсутствия,индивидуальные/латентные/неформальные,аналог в буддийской феноменологии
