73,Плагиат,Нет,нормы,присвоение чужого,индивидуальные/латентные/неформальные,аналог в этике науки
74,Самоплагиат,Нет,нормы,повтор публикаций,индивидуальные/латентные/неформальные,аналог в нарушениях науки
75,Репликация эксперимента,Да,функция,проверка воспроизводимости,индивидуальные/институциональные/дискретные,аналог в научном методе
76,Кризис воспроизводимости,Нет,нормы,невозможность повторить результаты,коллективные/неформальные/дискретные,аналог в психологии
77,Мета-анализ,Да,структура,сведение множества исследований,индивидуальные/неформальные/дискретные,аналог в evidence-based подходе
78,Предрегистрация исследования,Да,нормы,заранее фиксированный дизайн,институциональные/неформальные/дискретные,аналог в open science
79,Данные в открытом доступе,Да,технология/инфраструктура,свободное хранение,коллективные/институциональные/постепенные,аналог в репозиториях
80,Этический комитет,Да,нормы,контроль экспериментов,институциональные/неформальные/дискретные,аналог в биоэтике
81,Финансирование науки,Да,экономика/обмен,распределение ресурсов,институциональные/неформальные/постепенные,аналог в грантовой системе
82,Грантовая система,Да,экономика/обмен,выбор проектов,институциональные/неформальные/дискретные,аналог в исследовательской политике
83,Приватизация знания,Нет,экономика/обмен,превращение в товар,коллективные/неформальные/постепенные,аналог в капитализме
84,Коллективная авторство,Да,отношения,многоавторские тексты,коллективные/неформальные/дискретные,аналог в коллаборациях
85,Научная школа,Да,память/наследие,преемственность подхода,коллективные/неформальные/постепенные,аналог в традиции
86,Научная мода,Нет,нормы,временное увлечение темой,коллективные/латентные/неформальные,аналог в социологии науки
87,Публикационный бум,Нет,нормы,резкий рост количества статей,коллективные/латентные/неформальные,аналог в scientometrics
88,Информационный шум,Нет,содержание,избыточные публикации,коллективные/латентные/неформальные,аналог в инфосфере
89,Формирование канона,Да,память/наследие,выбор ключевых текстов,коллективные/институциональные/постепенные,аналог в академической традиции
90,Разрушение канона,Да,память/наследие,отмена значимости,коллективные/неформальные/дискретные,аналог в постмодерне
91,Научный консенсус,Да,нормы,согласие по вопросам,коллективные/неформальные/постепенные,аналог в академическом сообществе
92,Научный конфликт,Да,нормы,борьба интерпретаций,коллективные/неформальные/дискретные,аналог в истории науки
93,Фальсификация данных,Нет,нормы,сознательное искажение,индивидуальные/латентные/неформальные,аналог в нарушениях науки
94,Ретракция статьи,Да,нормы,официальное снятие,институциональные/неформальные/дискретные,аналог в издательской практике
95,Академический скандал,Нет,отношения,публичный конфликт,коллективные/латентные/неформальные,аналог в медиаполе
96,Академическая мобильность,Да,отношения,переход между институтами,индивидуальные/неформальные/постепенные,аналог в карьере
97,Академическая иммиграция,Да,отношения,переезд ради науки,индивидуальные/неформальные/постепенные,аналог в глобальной науке
98,Академическая эмиграция,Да,отношения,отток кадров,коллективные/неформальные/постепенные,аналог в brain drain
99,Кадровый дефицит,Нет,отношения,недостаток специалистов,коллективные/латентные/неформальные,аналог в демографии науки
100,Академическая социализация,Да,нормы,включение в сообщество,индивидуальные/неформальные/постепенные,аналог в университетской культуре
101,Академическая стратификация,Нет,нормы,иерархия статусов,коллективные/неформальные/постепенные,аналог в социологии науки
102,Гендерная асимметрия в науке,Нет,нормы,неравенство доступа,коллективные/латентные/неформальные,аналог в социологии
103,Диверсификация кадров,Да,нормы,расширение участия,коллективные/неформальные/постепенные,аналог в DEI-политике
104,Эпистемическое сообщество,Да,отношения,сеть специалистов,коллективные/неформальные/постепенные,аналог в международных исследованиях
105,Институционализация науки,Да,нормы,закрепление в организациях,институциональные/неформальные/постепенные,аналог в истории науки
106,Деинституционализация науки,Нет,нормы,распад структур,коллективные/латентные/неформальные,аналог в кризисах науки
107,Научная экспансия,Да,отношения,выход в новые области,коллективные/неформальные/постепенные,аналог в мультидисциплинарности
108,Научная редукция,Да,структура,сведение сложного к простому,индивидуальные/неформальные/дискретные,аналог в аналитической философии
109,Мультипарадигмальность,Да,структура,сосуществование нескольких рамок,коллективные/неформальные/постепенные,аналог в социальной науке
110,Метатеория,Да,структура,теория о теориях,индивидуальные/неформальные/дискретные,аналог в философии науки
111,Метанаука,Да,структура,исследование науки как процесса,индивидуальные/неформальные/дискретные,аналог в STS
112,Эвристическая программа,Да,структура,долгосрочная стратегия исследований,индивидуальные/неформальные/постепенные,аналог у Лакатоса
113,Прогрессивная программа,Да,нормы,расширяющая объяснения,индивидуальные/неформальные/постепенные,аналог у Лакатоса
114,Дегрессивная программа,Нет,нормы,теряющая объяснительную силу,индивидуальные/неформальные/постепенные,аналог у Лакатоса
115,Эвристическая аномалия,Да,содержание,необъяснимый результат,индивидуальные/неформальные/дискретные,аналог в исследованиях
116,Эвристическая революция,Нет,нормы,смена исследовательской программы,коллективные/каскадные/дискретные,аналог в истории науки
117,Эвристическая инерция,Нет,нормы,сохранение старых схем,коллективные/латентные/неформальные,аналог в консерватизме науки
118,Адаптация науки к обществу,Да,отношения,учёт социальных факторов,коллективные/неформальные/постепенные,аналог в STS
119,Автономизация науки,Да,отношения,выделение в независимую сферу,коллективные/неформальные/постепенные,аналог в истории
120,Деавтономизация науки,Нет,отношения,поглощение другими сферами,коллективные/латентные/неформальные,аналог в кризисах науки
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Технологизация науки,Да,технология/инфраструктура,внедрение инструментов в исследование,коллективные/институциональные/постепенные,аналог в лабораторной науке
122,Автоматизация исследований,Да,функция,использование машинных процедур,индивидуальные/экзогенные/постепенные,аналог в data science
123,Алгоритмизация науки,Да,структура,представление процедур в виде алгоритмов,индивидуальные/неформальные/дискретные,аналог в вычислительной философии
124,Информатизация науки,Да,технология/инфраструктура,цифровая обработка данных,коллективные/институциональные/постепенные,аналог в big data
125,Визуализация данных,Да,содержание,графическое представление фактов,индивидуальные/неформальные/дискретные,аналог в наукометрии
126,Симуляция,Да,структура,создание искусственных миров,индивидуальные/экзогенные/дискретные,аналог в компьютерных науках
127,Виртуализация науки,Нет,структура,перенос исследований в цифровую среду,коллективные/неформальные/постепенные,аналог в онлайн-науке
128,Квантовая метафоризация,Да,значения,перенос понятий квантовой физики,индивидуальные/неформальные/дискретные,аналог в философии науки
129,Синтетическая методология,Да,структура,объединение разных подходов,индивидуальные/неформальные/дискретные,аналог в метатеории
130,Эволюция научного языка,Да,дискурс,изменение терминологии,коллективные/неформальные/постепенные,аналог в истории науки
131,Создание новых дисциплин,Да,структура,отделение новых направлений,коллективные/неформальные/дискретные,аналог в истории науки
132,Интеграция дисциплин,Да,структура,объединение областей,коллективные/неформальные/постепенные,аналог в междисциплинарности
133,Фрагментация науки,Нет,структура,распад на узкие области,коллективные/латентные/неформальные,аналог в гиперспециализации
134,Реформа научных институтов,Да,нормы,изменение организационных рамок,коллективные/институциональные/дискретные,аналог в политике науки
135,Кризис легитимности науки,Нет,нормы,утрата доверия,коллективные/латентные/неформальные,аналог в обществознании
136,Реинтеграция науки и общества,Да,отношения,восстановление доверия,коллективные/неформальные/постепенные,аналог в STS
137,Популяризация науки,Да,дискурс,донесение знаний массам,коллективные/неформальные/постепенные,аналог в science communication
138,Медиатизация науки,Да,дискурс,включение в медиа,коллективные/неформальные/дискретные,аналог в science journalism
139,Эстетизация науки,Да,дискурс,создание образа красоты,индивидуальные/неформальные/дискретные,аналог в научной визуализации
140,Мифологизация науки,Нет,символы,создание научных мифов,коллективные/неформальные/постепенные,аналог в культуре
141,Демифологизация науки,Да,символы,развенчание мифов,индивидуальные/неформальные/дискретные,аналог в критической философии
142,Сциентистский утопизм,Нет,значения,вера в науку как абсолют,коллективные/латентные/неформальные,аналог в просвещении
143,Технофобия науки,Нет,нормы,страх перед технологиями,коллективные/латентные/неформальные,аналог в культурологии
144,Технофилия науки,Да,нормы,приветствие технологий,коллективные/неформальные/дискретные,аналог в футурологии
145,Этическая рефлексия науки,Да,нормы,осмысление последствий,индивидуальные/неформальные/дискретные,аналог в биоэтике
146,Прогностическая функция науки,Да,функция,создание сценариев будущего,индивидуальные/неформальные/дискретные,аналог в футурологии
147,Ретроспективная функция науки,Да,функция,реконструкция прошлого,индивидуальные/неформальные/дискретные,аналог в археологии
148,Сценарное моделирование,Да,структура,построение альтернативных траекторий,индивидуальные/неформальные/дискретные,аналог в прогнозировании
149,Глобализация науки,Да,отношения,включение в мировую сеть,коллективные/неформальные/постепенные,аналог в глобальных исследованиях
150,Локализация науки,Да,отношения,привязка к культурному контексту,коллективные/неформальные/постепенные,аналог в антропологии науки
