93,Экзистенциальная инаковость,Да,идентичность/границы,переживание уникальности,индивидуальные/неформальные/дискретные,аналог у Левинаса
94,Экзистенциальная типичность,Нет,идентичность/границы,переживание себя как «они»,индивидуальные/латентные/неформальные,аналог у Хайдеггера
95,Экзистенциальное становление,Да,структура,процесс самосозидания,индивидуальные/неформальные/постепенные,аналог у Сартра
96,Экзистенциальная стагнация,Нет,структура,остановка становления,индивидуальные/латентные/неформальные,аналог в кризисах
97,Экзистенциальное возвышение,Да,состояние,выход за пределы обыденного,индивидуальные/неформальные/мгновенные,аналог в мистике
98,Экзистенциальное падение,Нет,состояние,утрата подлинности,индивидуальные/латентные/неформальные,аналог у Хайдеггера
99,Экзистенциальная мужественность,Да,состояние,готовность к риску,индивидуальные/неформальные/дискретные,аналог у Тиллиха
100,Экзистенциальная слабость,Нет,состояние,уклонение от вызова,индивидуальные/латентные/неформальные,аналог в психологии
101,Экзистенциальное страдание,Нет,состояние,переживание боли бытия,индивидуальные/латентные/неформальные,аналог в литературе
102,Экзистенциальное утешение,Да,состояние,снятие страдания,индивидуальные/неформальные/дискретные,аналог в терапии
103,Экзистенциальное самопреодоление,Да,структура,выход за пределы слабости,индивидуальные/неформальные/дискретные,аналог у Ницше
104,Экзистенциальная самопотеря,Нет,структура,распад идентичности,индивидуальные/латентные/неформальные,аналог у Хайдеггера
105,Экзистенциальное испытание,Да,состояние,проверка силы Я,индивидуальные/неформальные/дискретные,аналог у Киркегора
106,Экзистенциальная капитуляция,Нет,состояние,отказ от борьбы,индивидуальные/латентные/неформальные,аналог в кризисах
107,Экзистенциальная интуиция,Да,структура,схватывание сути бытия,индивидуальные/неформальные/дискретные,аналог в философии
108,Экзистенциальное недоумение,Да,состояние,потрясение перед непостижимым,индивидуальные/неформальные/мгновенные,аналог у Ясперса
109,Экзистенциальная потеря опоры,Нет,состояние,ощущение пустоты,индивидуальные/латентные/неформальные,аналог в кризисах
110,Экзистенциальная находка опоры,Да,состояние,обретение точки опоры,индивидуальные/неформальные/дискретные,аналог в терапии
111,Экзистенциальное молчание перед бытием,Да,состояние,остановка речи перед тайной,индивидуальные/неформальные/мгновенные,аналог у Хайдеггера
112,Экзистенциальный диалог с бытием,Да,состояние,обращение к тайне,индивидуальные/неформальные/дискретные,аналог у Ясперса
113,Экзистенциальное осмысление,Да,значения,создание личного понимания,индивидуальные/неформальные/дискретные,аналог в философии
114,Экзистенциальная потеря смысла времени,Нет,время/ритм,исчезновение будущего,индивидуальные/латентные/неформальные,аналог в депрессии
115,Экзистенциальное вживание,Да,отношения,переживание чужого изнутри,индивидуальные/неформальные/дискретные,аналог в эмпатии
116,Экзистенциальная инаковость Другого,Да,отношения,переживание радикальной чуждости,индивидуальные/неформальные/дискретные,аналог у Левинаса
117,Экзистенциальная инаковость мира,Нет,структура,переживание чуждости реальности,индивидуальные/латентные/неформальные,аналог в психопатологии
118,Экзистенциальное доверие к миру,Да,структура,принятие реальности,индивидуальные/неформальные/дискретные,аналог в философии жизни
119,Экзистенциальное одиночество в мире,Нет,отношения,ощущение разрыва,индивидуальные/латентные/неформальные,аналог у Ялома
120,Экзистенциальная сопричастность миру,Да,отношения,переживание соединённости,индивидуальные/неформальные/дискретные,аналог у Мерло-Понти
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Экзистенциальное слияние,Нет,отношения,утрата различия между Я и миром,индивидуальные/латентные/неформальные,аналог в мистике
122,Экзистенциальное разграничение,Да,отношения,утверждение своей отдельности,индивидуальные/неформальные/дискретные,аналог в философии свободы
123,Экзистенциальная самость,Да,идентичность/границы,утверждение уникального Я,индивидуальные/неформальные/дискретные,аналог у Сартра
124,Экзистенциальная потеря самости,Нет,идентичность/границы,растворение Я,индивидуальные/латентные/неформальные,аналог в психопатологии
125,Экзистенциальная подлинность Я,Да,идентичность/границы,жизнь в соответствии с собой,индивидуальные/неформальные/постепенные,аналог у Хайдеггера
126,Экзистенциальная неподлинность Я,Нет,идентичность/границы,жизнь в несобственном,индивидуальные/латентные/неформальные,аналог у Хайдеггера
127,Экзистенциальная забота о Другом,Да,отношения,ответственность за чужое бытие,индивидуальные/неформальные/дискретные,аналог у Левинаса
128,Экзистенциальное безразличие,Нет,отношения,равнодушие к Другому,индивидуальные/латентные/неформальные,аналог в экзистенциальной психологии
129,Экзистенциальная открытость смерти,Да,состояние,признание её присутствия,индивидуальные/неформальные/дискретные,аналог у Хайдеггера
130,Экзистенциальное отрицание смерти,Нет,состояние,вытеснение её мысли,индивидуальные/латентные/неформальные,аналог в психоанализе
131,Экзистенциальное принятие жизни,Да,состояние,утверждение бытия,индивидуальные/неформальные/дискретные,аналог в философии жизни
132,Экзистенциальное отрицание жизни,Нет,состояние,отказ от утверждения,индивидуальные/латентные/неформальные,аналог в нигилизме
133,Экзистенциальное вдохновение творчеством,Да,функция,создание нового смысла,индивидуальные/неформальные/дискретные,аналог у Камю
134,Экзистенциальная стагнация творчества,Нет,функция,утрата продуктивности,индивидуальные/латентные/неформальные,аналог в кризисах художников
135,Экзистенциальная вера в Бога,Да,значения,доверие к трансцендентному,индивидуальные/неформальные/дискретные,аналог у Киркегора
136,Экзистенциальное отрицание Бога,Да,значения,жизнь без трансцендентного,индивидуальные/неформальные/дискретные,аналог у Сартра
137,Экзистенциальный диалог с Богом,Да,дискурс,обращение к Абсолюту,индивидуальные/неформальные/дискретные,аналог в религиозной философии
138,Экзистенциальное молчание Бога,Нет,дискурс,переживание отсутствия ответа,индивидуальные/латентные/неформальные,аналог у Камю
139,Экзистенциальная молитва,Да,дискурс,акт доверия,индивидуальные/неформальные/дискретные,аналог у Киркегора
140,Экзистенциальная потеря веры,Нет,значения,распад доверия,индивидуальные/латентные/неформальные,аналог у Ницше
141,Экзистенциальная находка веры,Да,значения,обретение доверия,индивидуальные/неформальные/дискретные,аналог в религиозной философии
142,Экзистенциальное испытание веры,Да,значения,кризис доверия,индивидуальные/неформальные/дискретные,аналог у Киркегора
143,Экзистенциальная открытость трансценденции,Да,структура,готовность к запредельному,индивидуальные/неформальные/дискретные,аналог у Ясперса
144,Экзистенциальное замыкание в имманентности,Нет,структура,отказ от выхода за пределы,индивидуальные/латентные/неформальные,аналог в секуляризме
145,Экзистенциальная полнота бытия,Да,состояние,переживание завершённости,индивидуальные/неформальные/мгновенные,аналог у Ясперса
146,Экзистенциальная пустота бытия,Нет,состояние,переживание отсутствия смысла,индивидуальные/латентные/неформальные,аналог у Камю
147,Экзистенциальное свидетельство,Да,дискурс,выражение подлинного опыта,индивидуальные/неформальные/дискретные,аналог у Ясперса
148,Экзистенциальное молчание,Да,дискурс,отказ от лжи,индивидуальные/неформальные/дискретные,аналог у Камю
149,Экзистенциальное мужество быть,Да,состояние,принятие бытия несмотря на ничто,индивидуальные/неформальные/дискретные,аналог у Тиллиха
150,Экзистенциальное растворение,Нет,состояние,исчезновение в небытии,индивидуальные/латентные/неформальные,аналог в мистике
