50,Моральная медиация,Да,отношения,помощь в согласовании ценностей,индивидуальные/неформальные/дискретные,аналог в конфликтологии
51,Переход к достоинству,Да,значения,человекоцентрическая установка,индивидуальные/постепенные/неформальные,аналог в гуманизме
52,Моральное насыщение,Нет,состояние,усталость от норм,индивидуальные/латентные/неформальные,уникален
53,Радикализация моральной нормы,Нет,нормы,максимализм,индивидуальные/дискретные/неформальные,аналог в фанатизме
54,Моральная интуиция,Да,поведение,безрефлексивное распознавание,индивидуальные/мгновенные/неформальные,аналог в интуитивной этике
55,Подмена нормы эстетикой,Нет,нормы,этический эвфемизм,индивидуальные/латентные/неформальные,аналог в consumer ethics
56,Выход к трансцендентному,Нет,значения,мораль как выход за пределы,индивидуальные/неформальные/экзогенные,аналог в теоэтике
57,Огрубление морали,Нет,дискурс,редукция сложности,индивидуальные/неформальные/дискретные,аналог в поп-этике
58,Создание морального прецедента,Да,институты,нормативный пример,институциональные/неформальные/дискретные,аналог в юриспруденции
59,Смена морального кодекса,Да,нормы,этический апгрейд,индивидуальные/неформальные/дискретные,аналог в поколенческой этике
60,Очищение мотива,Да,поведение,намеренческая рефлексия,индивидуальные/дискретные/неформальные,аналог в духовных практиках
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
61,Моральная переадресация,Да,отношения,перевод ответственности,индивидуальные/неформальные/дискретные,аналог в диалоге
62,Переход от наказания к восстановлению,Да,институты,ресторативная справедливость,институциональные/постепенные/неформальные,аналог в медиации
63,Осмысление последствий,Да,поведение,взвешивание действия,индивидуальные/дискретные/неформальные,аналог в утилитаризме
64,Нормативная компрессия,Нет,нормы,упрощение морали,индивидуальные/неформальные/латентные,аналог в бюрократии
65,Моральное контекстуирование,Да,значения,привязка нормы к ситуации,индивидуальные/неформальные/дискретные,аналог в ситуационной этике
66,Принятие трагичности выбора,Да,состояние,распознавание неразрешимости,индивидуальные/неформальные/дискретные,аналог в трагедийной философии
67,Этика исключения,Нет,отношения,создание зоны не-нормы,институциональные/латентные/экзогенные,аналог в критической теории
68,Моральная иммунизация,Нет,поведение,невосприимчивость к оценке,индивидуальные/латентные/неформальные,аналог в цинизме
69,Моделирование этической ситуации,Да,функция,создание мысленного эксперимента,индивидуальные/неформальные/дискретные,аналог в этике Троллейбуса
70,Моральное воображение,Да,состояние,проектирование альтернатив,индивидуальные/неформальные/континуальные,аналог в утопической этике
71,Рефлексивная этика,Да,нормы,переоценка своей позиции,индивидуальные/дискретные/неформальные,аналог у Сартра
72,Анализ скрытых мотивов,Да,поведение,вскрытие этических оснований,индивидуальные/дискретные/неформальные,аналог в психоанализе
73,Моральный отказ от власти,Да,поведение,снижение иерархичности,индивидуальные/неформальные/дискретные,аналог в анархической этике
74,Системная солидаризация,Да,отношения,этика сопричастности,индивидуальные/постепенные/неформальные,аналог в социальной философии
75,Отказ от морализаторства,Да,дискурс,антидоминантный стиль,индивидуальные/неформальные/дискретные,аналог в диалогической этике
76,Конфликт моральных систем,Нет,институты,столкновение кодексов,институциональные/каскадные/дискретные,аналог в кросс-культурной этике
77,Формализация поведения,Да,поведение,создание кодекса,институциональные/необходимые/дискретные,аналог в корпоративной этике
78,Этика извинения,Да,поведение,признание вины,индивидуальные/неформальные/дискретные,аналог в межличностной этике
79,Моральный саботаж,Нет,поведение,умышленное отклонение от нормы,индивидуальные/латентные/неформальные,аналог в философии бунта
80,Этическая уязвимость,Да,состояние,признание чувствительности,индивидуальные/неформальные/дискретные,аналог в эмпатической этике
81,Принятие чужой позиции,Да,отношения,моральная перспектива,индивидуальные/неформальные/дискретные,аналог в этике Другого
82,Переход от страха к добру,Да,состояние,мотивационный сдвиг,индивидуальные/неформальные/континуальные,аналог в этике храбрости
83,Символическая мораль,Да,дискурс,репрезентация нормы через образ,индивидуальные/неформальные/дискретные,аналог в ритуалах
84,Моральный отказ от морали,Нет,нормы,отказ от внешнего этического давления,индивидуальные/неформальные/дискретные,аналог в аморализме
85,Формирование ценностной иерархии,Да,значения,структурирование приоритетов,индивидуальные/неформальные/постепенные,аналог в value-based ethics
86,Этика свидетельствования,Да,поведение,заявление через поступок,индивидуальные/неформальные/дискретные,аналог в исторической памяти
87,Моральное дистанцирование,Да,поведение,снятие себя с позиции судьи,индивидуальные/неформальные/дискретные,аналог в постмодернизме
88,Создание морального контрастана,Нет,дискурс,парадоксальный вызов,индивидуальные/экзогенные/неформальные,аналог в провокационной этике
89,Поддержание морального ритма,Да,поведение,этическая устойчивость,индивидуальные/неформальные/постепенные,аналог в self-regulation
90,Этика признания,Да,отношения,подтверждение ценности другого,индивидуальные/неформальные/дискретные,аналог у Хоннета
91,Переход от морали к справедливости,Да,значения,изменение фокуса,индивидуальные/неформальные/дискретные,аналог в правовой философии
92,Осознанное нарушение нормы,Нет,поведение,этический саботаж,индивидуальные/дискретные/неформальные,аналог в гражданском неповиновении
93,Критика этической системы,Да,нормы,метаэтический анализ,индивидуальные/неформальные/дискретные,аналог в философии морали
94,Переход к моральному доверию,Да,поведение,установление основы взаимодействия,индивидуальные/неформальные/постепенные,аналог в этике общения
95,Отказ от бинарности добра и зла,Да,значения,этический плюрализм,индивидуальные/неформальные/дискретные,аналог в диалектике
96,Нормативная экспликация,Да,дискурс,разъяснение нормы,институциональные/необходимые/дискретные,аналог в правовых системах
97,Фрагментация морального субъекта,Нет,идентичность/границы,расщепление внутренней нормы,индивидуальные/латентные/неформальные,аналог в постструктурализме
98,Переход к автономной этике,Да,нормы,самозаданность морального закона,индивидуальные/дискретные/неформальные,аналог у Канта
99,Моральная деконструкция,Нет,структура,разбор этического нарратива,индивидуальные/неформальные/дискретные,аналог у Деррида
100,Моральное убеждение,Да,поведение,устойчивость к внешнему давлению,индивидуальные/неформальные/дискретные,аналог в этике добродетели
101,Вовлечение в моральный конфликт,Нет,отношения,втягивание в ситуацию выбора,индивидуальные/экзогенные/неформальные,аналог в конфликтологии
102,Моральное самоограничение,Да,поведение,сдерживание ради другого,индивидуальные/неформальные/постепенные,аналог в альтруизме
103,Оспаривание морального консенсуса,Да,дискурс,подрыв очевидностей,индивидуальные/неформальные/дискретные,аналог в критической этике
104,Формирование кодекса чести,Да,нормы,локальная нормативность,институциональные/неформальные/дискретные,аналог в военной/деловой этике
105,Обнажение лицемерия,Да,дискурс,вскрытие двойных стандартов,индивидуальные/неформальные/дискретные,аналог в социальной критике
106,Переход к безусловной ценности,Да,значения,ценность как аксиома,индивидуальные/неформальные/дискретные,аналог в персоналистике
107,Интернационализация нормы,Да,нормы,перенос в глобальный масштаб,институциональные/постепенные/дискретные,аналог в международной этике
108,Выделение морального ядра,Да,структура,фокус на главной норме,индивидуальные/неформальные/дискретные,аналог в минималистской этике
109,Переход к моральному слушанию,Да,поведение,пассивная этика,индивидуальные/неформальные/континуальные,аналог у Левинаса
110,Этика ухода,Да,поведение,тихий протест,индивидуальные/латентные/неформальные,аналог в философии "ухода"
111,Устранение морального насилия,Да,поведение,освобождение от принуждения,индивидуальные/постепенные/неформальные,аналог в психотерапии
112,Демонстративное следование норме,Да,поведение,моральная витрина,индивидуальные/неформальные/дискретные,аналог в virtue signaling
113,Моральный застой,Нет,состояние,отсутствие изменений,индивидуальные/латентные/неформальные,аналог в моральной рутине
114,Моральное восстановление,Да,состояние,возврат к чувствительности,индивидуальные/постепенные/неформальные,аналог в этике исцеления
115,Снятие нормы,Нет,нормы,временное прекращение действия,институциональные/латентные/дискретные,аналог в чрезвычайной этике
116,Моральное регулирование среды,Да,институты,создание этических условий,институциональные/необходимые/постепенные,аналог в биоэтике
117,Согласование внутреннего и внешнего,Да,идентичность/границы,этическая когерентность,индивидуальные/постепенные/неформальные,аналог в интегративной этике
118,Сакрализация действия,Да,поведение,обожествление поступка,индивидуальные/неформальные/дискретные,аналог в героической этике
119,Отклонение от предписанного,Нет,поведение,нарушение с сознанием,индивидуальные/дискретные/неформальные,аналог в индивидуальной этике
120,Формирование этической чувствительности,Да,состояние,распознавание тонкости,индивидуальные/постепенные/неформальные,аналог в эмпатической практике
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Этическое уравновешивание,Да,отношения,баланс между интересами,индивидуальные/неформальные/дискретные,аналог в этике справедливости
122,Распознавание морального зла,Да,значения,дефиниция недопустимого,индивидуальные/неформальные/дискретные,аналог в теоэтике
123,Деколонизация морали,Да,нормы,освобождение от внешнего доминирования,институциональные/постепенные/неформальные,аналог в критической этике
124,Нормативная диффузия,Да,нормы,распространение ценностей,институциональные/постепенные/каскадные,аналог в культурной этике
125,Формирование личного морального канона,Да,нормы,индивидуальная систематизация,индивидуальные/неформальные/дискретные,аналог в аксиосфере
126,Моральная модификация под влиянием технологий,Да,поведение,этический сдвиг из-за инструмента,индивидуальные/экзогенные/неформальные,аналог в техноэтике
127,Моральная отсрочка,Нет,поведение,временное отложенное реагирование,индивидуальные/латентные/дискретные,аналог в внутреннем сопротивлении
128,Этика грифа,Нет,институты,ограничение доступа к правде,институциональные/дискретные/неформальные,аналог в этике власти
129,Этическая имплозия,Нет,структура,коллапс моральной системы,индивидуальные/латентные/неформальные,аналог в социальном распаде
130,Отделение морали от закона,Да,институты,признание независимости этики,институциональные/неформальные/дискретные,аналог в философии права
131,Моральная автоактуализация,Да,поведение,раскрытие потенциала через добродетель,индивидуальные/постепенные/неформальные,аналог в этике добродетели
132,Выбор без внешней опоры,Нет,поведение,радикальная автономия,индивидуальные/экзогенные/мгновенные,аналог у Киркегора
133,Этическое выравнивание власти,Да,отношения,моральный контроль иерархий,институциональные/постепенные/неформальные,аналог в социальной этике
134,Инверсивная этика,Нет,поведение,добро через зло,индивидуальные/неформальные/дискретные,аналог в трагической морали
135,Создание новой системы добродетелей,Нет,нормы,этическое проектирование,индивидуальные/неформальные/дискретные,аналог в футуроэтике
136,Сокрытие мотива под нормой,Нет,поведение,этическое прикрытие,индивидуальные/латентные/неформальные,аналог в популизме
137,Трансценденция в милосердие,Да,поведение,выход за рамки справедливости,индивидуальные/постепенные/неформальные,аналог в религиозной этике
138,Моральная анархия,Нет,нормы,разрушение всех запретов,индивидуальные/дискретные/экзогенные,аналог в радикальной этике
139,Переход от морали к ритуалу,Да,поведение,формализация действия,индивидуальные/постепенные/неформальные,аналог в церемониальных практиках
140,Переход от ритуала к морали,Да,поведение,оживление смысла нормы,индивидуальные/неформальные/постепенные,аналог в моральной реформации
141,Установление этического маяка,Да,институты,создание морального ориентира,институциональные/дискретные/неформальные,аналог в лидерской этике
142,Моральная стыковка между системами,Да,отношения,интернормативная адаптация,институциональные/дискретные/неформальные,аналог в мультикультурной этике
143,Осознанная амбивалентность,Да,состояние,принятие внутреннего конфликта,индивидуальные/неформальные/дискретные,аналог в экзистенциальной этике
144,Переключение между этическими регистрами,Да,поведение,многоуровневая мораль,индивидуальные/дискретные/неформальные,аналог в прагматической этике
145,Формирование этического ландшафта,Да,структура,архитектура ценностей,индивидуальные/постепенные/неформальные,аналог в системной этике
146,Моральная перепрошивка,Нет,структура,радикальное обновление норм,индивидуальные/дискретные/неформальные,аналог в трансформационной этике
147,Моральное отвращение,Да,состояние,эмоциональный запрет,индивидуальные/неформальные/мгновенные,аналог в моральной психологии
148,Метаэтическое позиционирование,Да,нормы,осознание уровня анализа,индивидуальные/дискретные/неформальные,аналог в философии этики
149,Инфляция морали,Нет,дискурс,обесценивание из-за перенасыщения,индивидуальные/латентные/неформальные,аналог в масс-медиа этике
150,Моральное созвучие,Да,отношения,вибрация ценностей в резонансе,индивидуальные/постепенные/неформальные,уникален
