20,Прагматическая инструментализация,Да,функция,превращение концепта в инструмент,индивидуальные/неформальные/дискретные,аналог в прикладных науках
21,Прагматическая утилитаризация,Да,нормы,сведение к выгоде,индивидуальные/неформальные/дискретные,аналог в утилитаризме
22,Прагматическая релятивизация,Да,значения,оценка через контекст применения,индивидуальные/неформальные/дискретные,аналог у Джеймса
23,Прагматическая конкретизация,Да,значения,сведение абстрактного к действию,индивидуальные/неформальные/дискретные,аналог в прикладных практиках
24,Прагматическая универсализация,Да,значения,распространение практического подхода,коллективные/неформальные/постепенные,аналог в модерне
25,Прагматическая локализация,Да,значения,привязка смысла к ситуации,индивидуальные/неформальные/дискретные,аналог в ситуационной этике
26,Прагматическая символизация,Да,символы,создание знаков для пользы,индивидуальные/неформальные/дискретные,аналог в семиотике
27,Прагматическая десимволизация,Да,символы,снятие избыточного значения,индивидуальные/неформальные/дискретные,аналог в аналитике
28,Прагматическая коммуникация,Да,дискурс,обмен для пользы,индивидуальные/неформальные/дискретные,аналог у Мида
29,Прагматическая кооперация,Да,отношения,совместное действие,коллективные/неформальные/постепенные,аналог в социальной философии
30,Прагматическая конкуренция,Да,отношения,состязание ради пользы,коллективные/неформальные/дискретные,аналог в экономике
31,Прагматическая солидарность,Да,отношения,поддержка для результата,коллективные/неформальные/постепенные,аналог у Дьюи
32,Прагматическая изоляция,Нет,отношения,отказ от сотрудничества,индивидуальные/латентные/неформальные,аналог в политической философии
33,Прагматическая инновация,Да,структура,создание нового ради пользы,индивидуальные/неформальные/дискретные,аналог в инженерии
34,Прагматическая традиция,Да,память/наследие,удержание работающего,коллективные/неформальные/постепенные,аналог в консерватизме
35,Прагматический эксперимент,Да,функция,практическая проверка,индивидуальные/неформальные/дискретные,аналог у Джеймса
36,Прагматическая корреляция,Да,структура,связь идей и последствий,индивидуальные/неформальные/дискретные,аналог в философии науки
37,Прагматическая дедукция,Да,структура,вывод пользы из принципа,индивидуальные/неформальные/дискретные,аналог в логике
38,Прагматическая индукция,Да,структура,вывод общего из практики,индивидуальные/неформальные/дискретные,аналог у Пирса
39,Прагматическая абдукция,Да,структура,лучшее объяснение по полезности,индивидуальные/неформальные/дискретные,аналог у Пирса
40,Прагматическая конвенция,Да,нормы,договор о действии,коллективные/неформальные/дискретные,аналог в социологии
41,Прагматическая институционализация,Да,нормы,закрепление практики в организации,коллективные/институциональные/постепенные,аналог в социологии знания
42,Прагматическая деинституционализация,Нет,нормы,распад устоявшихся форм,коллективные/латентные/неформальные,аналог в кризисах
43,Прагматическая ценность,Да,значения,оценка по пользе,индивидуальные/неформальные/дискретные,аналог у Джеймса
44,Прагматическая переоценка,Да,значения,пересмотр пользы,индивидуальные/неформальные/дискретные,аналог у Дьюи
45,Прагматическая переориентация,Да,структура,смена направления ради пользы,индивидуальные/неформальные/дискретные,аналог в политике
46,Прагматическая интеграция,Да,структура,соединение ради результата,индивидуальные/неформальные/дискретные,аналог в междисциплинарности
47,Прагматическая фрагментация,Нет,структура,разделение на отдельные пользы,индивидуальные/латентные/неформальные,аналог в утилитаризме
48,Прагматическая конкретность,Да,значения,ориентация на фактическое,индивидуальные/неформальные/дискретные,аналог у Джеймса
49,Прагматическая абстрактность,Нет,значения,оторванность от последствий,индивидуальные/латентные/неформальные,аналог в критике прагматизма
50,Прагматическая гибкость,Да,структура,способность изменяться ради результата,индивидуальные/неформальные/постепенные,аналог у Дьюи
51,Прагматическая ригидность,Нет,структура,неспособность менять курс,индивидуальные/латентные/неформальные,аналог в догматизме
52,Прагматическая полезность,Да,значения,критерий истины через результат,индивидуальные/неформальные/дискретные,аналог у Джеймса
53,Прагматическая бесполезность,Нет,значения,утрата практического значения,индивидуальные/латентные/неформальные,аналог в критике идей
54,Прагматическая открытость,Да,структура,готовность к новым последствиям,индивидуальные/неформальные/дискретные,аналог в философии действия
55,Прагматическая закрытость,Нет,структура,отказ учитывать новое,индивидуальные/латентные/неформальные,аналог в догматике
56,Прагматическая коллективность,Да,отношения,создание пользы совместно,коллективные/неформальные/постепенные,аналог в демократии
57,Прагматическая индивидуализация,Да,отношения,сведение пользы к себе,индивидуальные/неформальные/дискретные,аналог в индивидуализме
58,Прагматическая критика,Да,дискурс,оценка через последствия,индивидуальные/неформальные/дискретные,аналог в философии науки
59,Прагматическая апология,Да,дискурс,защита идеи её пользой,индивидуальные/неформальные/дискретные,аналог в философии
60,Прагматическая перспектива,Да,структура,видение через последствия,индивидуальные/неформальные/дискретные,аналог у Джеймса
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
61,Прагматическая перспектива будущего,Да,время/ритм,оценка идей через ожидаемые эффекты,индивидуальные/неформальные/дискретные,аналог у Джеймса
62,Прагматическая ретроспектива,Да,память/наследие,оценка идей по прошлым результатам,индивидуальные/неформальные/дискретные,аналог в исторической философии
63,Прагматическая синхронизация,Да,структура,согласование действий ради пользы,коллективные/неформальные/дискретные,аналог в менеджменте
64,Прагматическая асинхронизация,Нет,структура,несогласованность действий,коллективные/латентные/неформальные,аналог в кризисах
65,Прагматическая эффективность,Да,функция,достижение максимума пользы,индивидуальные/неформальные/дискретные,аналог в инженерии
66,Прагматическая неэффективность,Нет,функция,утрата практической ценности,индивидуальные/латентные/неформальные,аналог в бюрократии
67,Прагматическая оптимизация,Да,функция,улучшение действия ради эффекта,индивидуальные/неформальные/дискретные,аналог в менеджменте
68,Прагматическая импровизация,Да,функция,создание пользы в неожиданных условиях,индивидуальные/неформальные/мгновенные,аналог у Джеймса
69,Прагматическая устойчивость,Да,структура,сохранение работающего,индивидуальные/неформальные/постепенные,аналог в философии науки
70,Прагматическая изменчивость,Да,структура,адаптация к новому,индивидуальные/неформальные/постепенные,аналог у Дьюи
71,Прагматическая надежность,Да,нормы,устойчивость пользы,индивидуальные/неформальные/постепенные,аналог в инженерии
72,Прагматическая ненадежность,Нет,нормы,нестабильность эффекта,индивидуальные/латентные/неформальные,аналог в критике прагматизма
73,Прагматическая проверяемость,Да,функция,возможность проверки действием,индивидуальные/неформальные/дискретные,аналог в науке
74,Прагматическая непроверяемость,Нет,функция,невозможность проверки,индивидуальные/латентные/неформальные,аналог в метафизике
75,Прагматическая полезность истины,Да,значения,оценка истины по выгоде,индивидуальные/неформальные/дискретные,аналог у Джеймса
76,Прагматическая относительность истины,Да,значения,истина зависит от применения,индивидуальные/неформальные/дискретные,аналог у Джеймса
77,Прагматическая абсолютность истины,Нет,значения,истина как неподвижная,индивидуальные/латентные/неформальные,аналог в догматике
78,Прагматическая вероятность,Да,значения,оценка идей через шансы на успех,индивидуальные/неформальные/дискретные,аналог в статистике
79,Прагматическая возможность,Да,структура,признание потенциала действия,индивидуальные/неформальные/дискретные,аналог у Джеймса
80,Прагматическая невозможность,Нет,структура,отрицание реализуемости,индивидуальные/латентные/неформальные,аналог в утопиях
81,Прагматическое ожидание,Да,состояние,готовность к будущим эффектам,индивидуальные/неформальные/дискретные,аналог в психологии
82,Прагматическое разочарование,Нет,состояние,неоправданность ожиданий,индивидуальные/латентные/неформальные,аналог в кризисах
83,Прагматическая проверка практикой,Да,функция,оценка идей через опыт,индивидуальные/неформальные/дискретные,аналог у Дьюи
84,Прагматическая ошибка,Нет,функция,провалившийся эксперимент,индивидуальные/латентные/неформальные,аналог в науке
85,Прагматическое обучение,Да,функция,извлечение пользы из ошибки,индивидуальные/неформальные/дискретные,аналог у Дьюи
86,Прагматическая инерция,Нет,структура,сохранение устаревшего,индивидуальные/латентные/неформальные,аналог в традициях
87,Прагматическая инновация смысла,Да,значения,создание новых значений ради пользы,индивидуальные/неформальные/дискретные,аналог у Дьюи
88,Прагматическая деградация смысла,Нет,значения,утрата практического содержания,индивидуальные/латентные/неформальные,аналог в критике
89,Прагматическая реконфигурация,Да,структура,перестройка ради пользы,индивидуальные/неформальные/дискретные,аналог в инженерии
90,Прагматическая стагнация,Нет,структура,остановка развития практики,индивидуальные/латентные/неформальные,аналог в бюрократии
91,Прагматическая гибридность,Да,структура,соединение разнородных подходов,индивидуальные/неформальные/дискретные,аналог в междисциплинарности
92,Прагматическая стандартизация,Да,нормы,закрепление эффективного,коллективные/институциональные/постепенные,аналог в инженерии
93,Прагматическая детрадиционализация,Да,нормы,снятие старых форм ради пользы,коллективные/неформальные/постепенные,аналог у Дьюи
94,Прагматическая ретрадиционализация,Нет,нормы,возврат к старым формам,коллективные/латентные/неформальные,аналог в консерватизме
95,Прагматическая коллективная память,Да,память/наследие,удержание полезных практик,коллективные/неформальные/постепенные,аналог в социологии знания
96,Прагматическая амнезия,Нет,память/наследие,утрата полезного опыта,коллективные/латентные/неформальные,аналог в кризисах
97,Прагматическая экспериментальность,Да,структура,ориентация на пробу и ошибку,индивидуальные/неформальные/дискретные,аналог у Джеймса
98,Прагматическая осторожность,Да,нормы,учёт последствий,индивидуальные/неформальные/дискретные,аналог в этике
99,Прагматическая дерзость,Да,нормы,риск ради результата,индивидуальные/неформальные/дискретные,аналог у Джеймса
100,Прагматическая рефлексия,Да,структура,оценка пользы опыта,индивидуальные/неформальные/дискретные,аналог у Дьюи
101,Прагматическая имплементация,Да,функция,воплощение идей в действии,индивидуальные/неформальные/дискретные,аналог в инженерии
102,Прагматическая деимплементация,Нет,функция,отмена действий,индивидуальные/латентные/неформальные,аналог в кризисах
103,Прагматическая социальность,Да,отношения,создание пользы через общение,коллективные/неформальные/постепенные,аналог у Мида
104,Прагматическая асоциальность,Нет,отношения,игнорирование других,индивидуальные/латентные/неформальные,аналог в индивидуализме
105,Прагматическая полезность в коммуникации,Да,дискурс,оценка речи по эффекту,индивидуальные/неформальные/дискретные,аналог в риторике
106,Прагматическая бесполезность речи,Нет,дискурс,слова без действия,индивидуальные/латентные/неформальные,аналог в критике болтовни
107,Прагматическая перспектива действия,Да,структура,связь мысли и поступка,индивидуальные/неформальные/дискретные,аналог у Дьюи
108,Прагматическая оторванность действия,Нет,структура,мысли без поступка,индивидуальные/латентные/неформальные,аналог в догматизме
109,Прагматическая инновация отношений,Да,отношения,создание новых способов кооперации,коллективные/неформальные/дискретные,аналог в социологии
110,Прагматическая деградация отношений,Нет,отношения,утрата сотрудничества,коллективные/латентные/неформальные,аналог в кризисах
111,Прагматическая креативность,Да,функция,создание неожиданных решений,индивидуальные/неформальные/мгновенные,аналог у Джеймса
112,Прагматическая рутинизация,Нет,структура,закрепление без переосмысления,индивидуальные/латентные/неформальные,аналог в бюрократии
113,Прагматическая революция,Нет,структура,радикальное изменение ради пользы,коллективные/каскадные/дискретные,аналог в социальной философии
114,Прагматическая эволюция отношений,Да,отношения,постепенное улучшение кооперации,коллективные/неформальные/постепенные,аналог у Дьюи
115,Прагматическая деградация памяти,Нет,память/наследие,утрата опыта,коллективные/латентные/неформальные,аналог в кризисах
116,Прагматическая инновация языка,Да,дискурс,создание новых форм речи,индивидуальные/неформальные/дискретные,аналог у Мида
117,Прагматическая эрозия языка,Нет,дискурс,утрата ясности речи,индивидуальные/латентные/неформальные,аналог в критике
118,Прагматическая метафора,Да,символы,создание образа ради пользы,индивидуальные/неформальные/дискретные,аналог у Джеймса
119,Прагматическая деметафоризация,Да,символы,снятие лишних образов ради действия,индивидуальные/неформальные/дискретные,аналог в аналитике
120,Прагматическая концептуализация,Да,структура,оформление идеи ради пользы,индивидуальные/неформальные/дискретные,аналог у Дьюи
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Прагматическая деконцептуализация,Нет,структура,разрушение идеи без пользы,индивидуальные/латентные/неформальные,аналог в критике прагматизма
122,Прагматическая реконтекстуализация,Да,значения,перенос идеи в новый контекст,индивидуальные/неформальные/дискретные,аналог у Дьюи
123,Прагматическая деконтекстуализация,Нет,значения,утрата связи с практикой,индивидуальные/латентные/неформальные,аналог в абстрактной философии
124,Прагматическая функционализация,Да,функция,придание действующей роли,индивидуальные/неформальные/дискретные,аналог в инженерии
125,Прагматическая дефункционализация,Нет,функция,утрата полезности,индивидуальные/латентные/неформальные,аналог в кризисах
126,Прагматическая институционализация языка,Да,дискурс,закрепление речевых практик,коллективные/институциональные/постепенные,аналог у Мида
127,Прагматическая деинституционализация языка,Нет,дискурс,распад закреплённых форм,коллективные/латентные/неформальные,аналог в кризисах
128,Прагматическая рационализация,Да,структура,упорядочивание ради пользы,индивидуальные/неформальные/дискретные,аналог в менеджменте
129,Прагматическая деррационализация,Нет,структура,утрата порядка,индивидуальные/латентные/неформальные,аналог в хаосе
130,Прагматическая соразмерность,Да,нормы,оценка адекватности пользы,индивидуальные/неформальные/дискретные,аналог в этике
131,Прагматическая несоразмерность,Нет,нормы,неадекватность результата,индивидуальные/латентные/неформальные,аналог в кризисах
132,Прагматическая креативная адаптация,Да,структура,гибкое изменение ради пользы,индивидуальные/неформальные/дискретные,аналог у Дьюи
133,Прагматическая догматизация,Нет,нормы,закрепление без проверки,коллективные/латентные/неформальные,аналог в критике прагматизма
134,Прагматическая демократизация,Да,отношения,включение многих в практику,коллективные/неформальные/постепенные,аналог у Дьюи
135,Прагматическая авторитаризация,Нет,отношения,монополизация пользы,коллективные/латентные/неформальные,аналог в критике политики
136,Прагматическая эгалитаризация,Да,отношения,уравнивание доступа к пользе,коллективные/неформальные/постепенные,аналог в социальной философии
137,Прагматическая стратификация,Нет,отношения,иерархизация пользы,коллективные/латентные/неформальные,аналог в социологии
138,Прагматическая универсализация пользы,Да,значения,распространение критериев выгоды,коллективные/неформальные/постепенные,аналог у Джеймса
139,Прагматическая партикуляризация пользы,Да,значения,ограничение к локальному,индивидуальные/неформальные/дискретные,аналог у Дьюи
140,Прагматическая нормализация,Да,нормы,установление рабочих стандартов,коллективные/институциональные/постепенные,аналог в практике
141,Прагматическая денормализация,Нет,нормы,снятие правил,коллективные/латентные/неформальные,аналог в кризисах
142,Прагматическая экспансия,Да,структура,распространение подхода,коллективные/неформальные/постепенные,аналог в философии модерна
143,Прагматическая редукция масштаба,Да,структура,ограничение ради пользы,индивидуальные/неформальные/дискретные,аналог в минимализме
144,Прагматическая переоценка последствий,Да,значения,новый взгляд на результат,индивидуальные/неформальные/дискретные,аналог в критической философии
145,Прагматическая игноризация последствий,Нет,значения,отказ учитывать эффект,индивидуальные/латентные/неформальные,аналог в догматике
146,Прагматическая операционализация,Да,функция,превращение идей в шаги,индивидуальные/неформальные/дискретные,аналог в науке
147,Прагматическая деоперационализация,Нет,функция,утрата операционности,индивидуальные/латентные/неформальные,аналог в кризисах
148,Прагматическая интеграция опыта,Да,структура,сборка из фрагментов ради пользы,индивидуальные/неформальные/дискретные,аналог у Дьюи
149,Прагматическая диссоциация опыта,Нет,структура,разрыв пользы и опыта,индивидуальные/латентные/неформальные,аналог в психопатологии
150,Прагматическая перспективизация,Да,структура,видение идей через последствия,индивидуальные/неформальные/дискретные,аналог у Джеймса
