24,Деавтоматизация,Да,функция,возврат действия в осознанность,индивидуальные/неформальные/дискретные,аналог в осознанности
25,Интериоризация,Да,структура,встраивание опыта внутрь,индивидуальные/неформальные/постепенные,аналог в культурно-исторической психологии
26,Экстериоризация,Да,структура,вынесение опыта вовне,индивидуальные/неформальные/дискретные,аналог в деятельностном подходе
27,Сенсорная перегрузка,Нет,состояние,избыточный поток стимулов,индивидуальные/латентные/неформальные,аналог в психологии восприятия
28,Эпифания,Да,состояние,внезапное прозрение,индивидуальные/мгновенные/неформальные,аналог в религиозной философии
29,Диссоциация,Да,структура,разрыв между уровнями опыта,индивидуальные/латентные/неформальные,аналог в клинической психологии
30,Интеграция,Да,структура,соединение частей опыта,индивидуальные/постепенные/неформальные,аналог в психотерапии
31,Сознательная абстракция,Да,структура,отделение общего от частного,индивидуальные/неформальные/дискретные,аналог в философии
32,Переживание «Я»,Да,идентичность/границы,ощущение субъекта,индивидуальные/неформальные/дискретные,аналог в экзистенциальной философии
33,Потеря «Я»,Нет,идентичность/границы,растворение субъекта,индивидуальные/латентные/неформальные,аналог в мистике
34,Созерцание,Да,состояние,бездейственное внимание,индивидуальные/неформальные/континуальные,аналог в восточных практиках
35,Мысленный эксперимент,Да,функция,симуляция опыта,индивидуальные/неформальные/дискретные,аналог в философии науки
36,Рекурсивное мышление,Да,структура,мысль о мысли,индивидуальные/неформальные/дискретные,аналог в метакогниции
37,Гиперосознанность,Нет,состояние,избыточный контроль за процессами,индивидуальные/латентные/неформальные,аналог в тревожных состояниях
38,Самозабвение,Да,состояние,утрата эго-контроля,индивидуальные/неформальные/континуальные,аналог в эстетике потока
39,Синестезия,Да,структура,переплетение модальностей,индивидуальные/неформальные/дискретные,аналог в когнитивной нейронауке
40,Галлюцинация,Нет,содержание,ложное восприятие,индивидуальные/латентные/неформальные,аналог в психиатрии
41,Интроспекция,Да,структура,наблюдение за внутренними процессами,индивидуальные/неформальные/дискретные,аналог в психологии
42,Воспоминание,Да,память/наследие,актуализация прошлого,индивидуальные/неформальные/дискретные,аналог в когнитивной науке
43,Забывание,Да,память/наследие,угасание следа,индивидуальные/постепенные/неформальные,аналог в психологии памяти
44,Подсознательное проявление,Нет,состояние,выход скрытых импульсов,индивидуальные/латентные/неформальные,аналог в психоанализе
45,Сублимация,Да,функция,перенос энергии в творчество,индивидуальные/неформальные/постепенные,аналог у Фрейда
46,Репрессия,Нет,структура,вытеснение в бессознательное,индивидуальные/латентные/неформальные,аналог в психоанализе
47,Эго-идентификация,Да,идентичность/границы,закрепление образа себя,индивидуальные/неформальные/постепенные,аналог в социальной психологии
48,Эго-расщепление,Нет,идентичность/границы,распад единства субъекта,индивидуальные/латентные/неформальные,аналог в клинической психиатрии
49,Трансцендентальный акт,Нет,структура,выход за пределы опыта,индивидуальные/экзогенные/неформальные,аналог у Канта
50,Сознательная реконфигурация,Да,структура,изменение когнитивных схем,индивидуальные/неформальные/дискретные,аналог в когнитивной психологии
51,Рефрейминг опыта,Да,значения,переосмысление события,индивидуальные/неформальные/дискретные,аналог в когнитивной терапии
52,Деконструкция смысла,Нет,значения,разбор опыта,индивидуальные/неформальные/дискретные,аналог у Деррида
53,Реинтеграция опыта,Да,структура,сборка из частей,индивидуальные/неформальные/постепенные,аналог в психотерапии
54,Сознательная иллюзия,Да,содержание,игра с обманом,индивидуальные/неформальные/дискретные,аналог в искусстве
55,Метафоризация опыта,Да,значения,перевод в символ,индивидуальные/неформальные/дискретные,аналог в поэтике
56,Переход к бессознательному,Нет,структура,сдвиг в латентный уровень,индивидуальные/латентные/неформальные,аналог в психоанализе
57,Рекурсия памяти,Да,память/наследие,воспоминание о воспоминании,индивидуальные/неформальные/дискретные,аналог в феноменологии
58,Самонаблюдение,Да,структура,фиксация на себе,индивидуальные/неформальные/дискретные,аналог в когнитивной терапии
59,Сознательная симуляция,Да,структура,мысленное проигрывание,индивидуальные/неформальные/дискретные,аналог в когнитивной науке
60,Эвристический инсайт,Да,состояние,озарение решения,индивидуальные/мгновенные/неформальные,аналог в психологии творчества
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
61,Погружение в поток,Да,состояние,синхронизация действий и внимания,индивидуальные/неформальные/континуальные,аналог в психологии Csikszentmihalyi
62,Выход из потока,Да,состояние,разрыв синхронизации,индивидуальные/неформальные/дискретные,аналог в когнитивной перегрузке
63,Самоотражение,Да,структура,увидеть себя как объект,индивидуальные/неформальные/дискретные,аналог в зеркальной нейронауке
64,Мета-переживание,Да,состояние,переживание факта переживания,индивидуальные/неформальные/дискретные,аналог в феноменологии
65,Осознанное дыхание,Да,тело/материя,регуляция состояния через физиологию,индивидуальные/неформальные/континуальные,аналог в медитативных техниках
66,Дефолтный режим мозга,Нет,структура,спонтанная активность сети,индивидуальные/латентные/континуальные,аналог в нейронауке
67,Фокус на внешнем объекте,Да,содержание,направление внимания вовне,индивидуальные/неформальные/дискретные,аналог в эмпиризме
68,Фокус на внутреннем объекте,Да,содержание,самонаблюдение,индивидуальные/неформальные/дискретные,аналог в интроспекции
69,Переход от ощущения к мысли,Да,структура,когнитивная трансляция,индивидуальные/неформальные/дискретные,аналог в когнитивной психологии
70,Переход от мысли к ощущению,Да,структура,соматизация концепта,индивидуальные/неформальные/дискретные,аналог в embodiment
71,Когнитивная слепота,Нет,структура,невидение очевидного,индивидуальные/латентные/неформальные,аналог в inattentional blindness
72,Эвристический проброс,Да,функция,скачкообразное решение,индивидуальные/мгновенные/неформальные,аналог в инсайте
73,Переживание времени,Да,время/ритм,субъективная темпоральность,индивидуальные/неформальные/континуальные,аналог в феноменологии времени
74,Искажение времени,Да,время/ритм,растяжение или сжатие,индивидуальные/неформальные/дискретные,аналог в изменённых состояниях
75,Множественная перспектива,Да,структура,одновременность точек зрения,индивидуальные/неформальные/дискретные,аналог в мультифокусном мышлении
76,Рефлексивная ошибка,Да,структура,сбой в самонаблюдении,индивидуальные/неформальные/дискретные,аналог в когнитивных искажениях
77,Состояние транса,Нет,состояние,сужение сознания,индивидуальные/неформальные/континуальные,аналог в шаманских практиках
78,Поглощение,Да,состояние,тотальное внимание к объекту,индивидуальные/неформальные/континуальные,аналог в гипнотическом опыте
79,Сознательное торможение,Да,функция,приостановка реакции,индивидуальные/неформальные/дискретные,аналог в когнитивном контроле
80,Интериоризация языка,Да,дискурс,усвоение символической системы,индивидуальные/постепенные/неформальные,аналог у Выготского
81,Экстериоризация языка,Да,дискурс,выражение мысли вовне,индивидуальные/неформальные/дискретные,аналог в речевой деятельности
82,Рефлексивное сомнение,Да,структура,критическая проверка опыта,индивидуальные/неформальные/дискретные,аналог у Декарта
83,Феноменальный редукционизм,Да,структура,сведение опыта к элементам,индивидуальные/неформальные/дискретные,аналог у Гуссерля
84,Феноменальная полнота,Да,структура,принятие опыта во всей целостности,индивидуальные/неформальные/дискретные,аналог в холистической психологии
85,Саморазотождествление,Да,идентичность/границы,разрыв с эго,индивидуальные/неформальные/дискретные,аналог в буддизме
86,Гиперсознание,Нет,состояние,сверхострое присутствие,индивидуальные/неформальные/экзогенные,аналог в психоделическом опыте
87,Пороговое переживание,Нет,состояние,граница между уровнями,индивидуальные/мгновенные/неформальные,аналог в переходных состояниях
88,Переход к символическому,Да,значения,кодирование опыта,индивидуальные/неформальные/дискретные,аналог в психоанализе
89,Переход к до-символическому,Да,значения,возврат к чувственному,индивидуальные/неформальные/дискретные,аналог в телесной терапии
90,Эстетизация сознания,Да,содержание,создание внутреннего стиля,индивидуальные/неформальные/дискретные,аналог в философии искусства
91,Ментальное моделирование,Да,структура,создание мысленных репрезентаций,индивидуальные/неформальные/дискретные,аналог в когнитивной психологии
92,Сенсорная депривация,Нет,тело/материя,искусственное ограничение стимулов,индивидуальные/экзогенные/неформальные,аналог в экспериментах
93,Сознательное переключение задач,Да,функция,гибкость внимания,индивидуальные/неформальные/дискретные,аналог в multitasking
94,Когнитивная ригидность,Нет,структура,неподвижность схем,индивидуальные/латентные/неформальные,аналог в патопсихологии
95,Разотождествление с мыслью,Да,структура,созерцание мысли как объекта,индивидуальные/неформальные/дискретные,аналог в mindfulness
96,Идентификация с мыслью,Да,структура,погружение в содержание,индивидуальные/неформальные/дискретные,аналог в когнитивных искажениях
97,Метафизическая саморефлексия,Да,структура,осмысление природы сознания,индивидуальные/неформальные/дискретные,аналог в философии сознания
98,Резонанс переживаний,Да,отношения,синхронизация внутреннего и внешнего,индивидуальные/неформальные/континуальные,аналог в эмпатии
99,Сознательная реконструкция памяти,Да,память/наследие,изменение воспоминаний,индивидуальные/неформальные/дискретные,аналог в когнитивной психологии
100,Псевдовоспоминание,Нет,память/наследие,ложная реконструкция,индивидуальные/латентные/неформальные,аналог в психологии памяти
101,Слияние с объектом,Нет,идентичность/границы,растворение границ,индивидуальные/неформальные/континуальные,аналог в мистике
102,Отстранение от объекта,Да,идентичность/границы,увеличение дистанции,индивидуальные/неформальные/дискретные,аналог в когнитивной терапии
103,Когнитивный скачок,Да,структура,качественный переход в мышлении,индивидуальные/мгновенные/неформальные,аналог в инсайте
104,Метамышление,Да,структура,мышление о мышлении,индивидуальные/неформальные/дискретные,аналог в метакогниции
105,Сознательный парадокс,Да,структура,удержание противоречий,индивидуальные/неформальные/дискретные,аналог в диалектике
106,Рефлексивная пауза,Да,время/ритм,остановка перед действием,индивидуальные/неформальные/мгновенные,аналог в практике осознанности
107,Гипнотическое погружение,Нет,состояние,вход в изменённое сознание,индивидуальные/неформальные/экзогенные,аналог в гипнозе
108,Формирование нарратива,Да,дискурс,организация опыта в рассказ,индивидуальные/неформальные/постепенные,аналог в когнитивной психологии
109,Реконструкция идентичности,Да,идентичность/границы,создание новой Я-концепции,индивидуальные/постепенные/неформальные,аналог в психотерапии
110,Смещение точки сознания,Да,структура,перенос фокуса восприятия,индивидуальные/неформальные/дискретные,аналог в трансперсональной практике
111,Включение бессознательного,Да,структура,активация скрытых пластов,индивидуальные/неформальные/латентные,аналог в психоанализе
112,Интуитивный проблеск,Да,состояние,внезапное знание без анализа,индивидуальные/мгновенные/неформальные,аналог в интуиции
113,Отражение другого в сознании,Да,отношения,интериоризация чужого опыта,индивидуальные/неформальные/дискретные,аналог в эмпатии
114,Множественная идентичность,Нет,идентичность/границы,наличие нескольких Я,индивидуальные/латентные/неформальные,аналог в клинической психиатрии
115,Утрата идентичности,Нет,идентичность/границы,растворение эго,индивидуальные/латентные/неформальные,аналог в мистическом опыте
116,Сознательный контроль эмоций,Да,функция,регуляция аффектов,индивидуальные/неформальные/дискретные,аналог в когнитивной терапии
117,Погружение в память,Да,память/наследие,сознательный возврат,индивидуальные/неформальные/дискретные,аналог в автобиографической памяти
118,Состояние осознанности,Да,состояние,неоценочное внимание,индивидуальные/неформальные/континуальные,аналог в mindfulness
119,Размывание сознания,Нет,состояние,утрата фокуса,индивидуальные/латентные/неформальные,аналог в изменённых состояниях
120,Этическая интерференция сознания,Да,структура,наложение моральных смыслов,индивидуальные/неформальные/дискретные,аналог в философии морали
№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
121,Сон наяву,Нет,состояние,наложение сна на бодрствование,индивидуальные/латентные/неформальные,аналог в гипнагогии
122,Самоотчуждение,Да,идентичность/границы,ощущение чуждости собственного Я,индивидуальные/неформальные/дискретные,аналог в экзистенциальной философии
123,Когнитивное эхо,Да,структура,отражение мысли в повторе,индивидуальные/неформальные/дискретные,аналог в внутреннем диалоге
124,Феноменальный коллапс,Нет,структура,распад целостности опыта,индивидуальные/латентные/неформальные,аналог в психозе
125,Сознательное удержание парадокса,Да,структура,принятие несовместимого,индивидуальные/неформальные/дискретные,аналог в диалектической логике
126,Искусственное расширение сознания,Нет,структура,индукция изменённых состояний,индивидуальные/экзогенные/неформальные,аналог в психоделическом опыте
127,Микропереживание,Да,состояние,осознание мельчайших импульсов,индивидуальные/неформальные/мгновенные,аналог в телесной терапии
128,Метаконцептуализация,Да,структура,создание концептов о концептах,индивидуальные/неформальные/дискретные,аналог в метатеории
129,Реконфигурация границ Я,Да,идентичность/границы,расширение или сужение,индивидуальные/неформальные/постепенные,аналог в трансперсональной психологии
130,Сознательная редукция,Да,структура,упрощение опыта,индивидуальные/неформальные/дискретные,аналог в минимализме мышления
131,Сверхвключённость,Нет,состояние,полное поглощение процессом,индивидуальные/латентные/неформальные,аналог в зависимости
132,Анабиоз сознания,Нет,состояние,замедление или приостановка,индивидуальные/латентные/неформальные,аналог в коме
133,Сверхпамять,Нет,память/наследие,тотальное воспроизведение,индивидуальные/латентные/неформальные,аналог в гипермнезии
134,Самотрансценденция,Да,идентичность/границы,выход за пределы Я,индивидуальные/неформальные/постепенные,аналог в мистических практиках
135,Интериоризация Другого,Да,отношения,встраивание чужого голоса,индивидуальные/неформальные/дискретные,аналог у Бахтина
136,Сознательное созидание иллюзий,Да,содержание,игровая симуляция,индивидуальные/неформальные/дискретные,аналог в искусстве
137,Самоусложнение,Да,структура,построение всё более сложных форм,индивидуальные/неформальные/постепенные,аналог в эволюционной психологии
138,Редукция Я до точки,Нет,идентичность/границы,экстремальная минимизация субъекта,индивидуальные/латентные/неформальные,аналог в мистическом опыте
139,Когнитивное зеркалирование,Да,структура,отражение чужих мыслей,индивидуальные/неформальные/дискретные,аналог в эмпатии
140,Сверхсознание,Нет,структура,объединение индивидуального и универсального,индивидуальные/экзогенные/неформальные,аналог в космическом сознании
141,Эмерджентность сознания,Да,структура,возникновение из взаимодействий,коллективные/неформальные/постепенные,аналог в философии систем
142,Множественное присутствие,Нет,состояние,одновременность в разных потоках,индивидуальные/латентные/неформальные,аналог в мультифокусе
143,Самообъективация,Да,структура,превращение себя в объект,индивидуальные/неформальные/дискретные,аналог в социальной психологии
144,Параллельное мышление,Да,структура,многопоточность когниций,индивидуальные/неформальные/дискретные,аналог в латеральном мышлении
145,Эго-диссонанс,Да,структура,конфликт образов Я,индивидуальные/неформальные/дискретные,аналог в психоанализе
146,Когнитивная самопетля,Да,структура,замыкание мысли на себя,индивидуальные/неформальные/дискретные,аналог у Хофштадтера
147,Преждевременное осознавание,Нет,состояние,досрочный доступ к бессознательному,индивидуальные/латентные/неформальные,аналог в психоанализе
148,Сознательная децентрация,Да,структура,перемещение центра восприятия,индивидуальные/неформальные/дискретные,аналог в mindfulness
149,Переход к коллективному сознанию,Нет,структура,сборка индивидуальных потоков в общее,коллективные/неформальные/постепенные,аналог у Дюркгейма
150,Феноменальная интеграция,Да,структура,объединение модальностей опыта,индивидуальные/неформальные/постепенные,аналог в теории интеграции информации
