№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
37,Выпечка с конвекцией,Нет,"структура; пространство","вентиляция распределяет тепло","необходимые; постепенно; коллективные","современная кухня"
38,Выпечка в микроволновке,Нет,"структура; пространство","диэлектрический нагрев","необходимые; мгновенные; коллективные","кулинария"
39,Предварительное поджаривание (toasting),Да,"структура; состояние","частичное обжаривание для текстуры","возможные; мгновенные; коллективные","кулинария"
40,Декоративное формование теста,Да,"структура; символы","узоры и плетения","возможные; мгновенные; коллективные","традиционная выпечка"
41,Использование разрыхлителя,Нет,"структура; состояние","химическая реакция выделяет CO₂","необходимые; мгновенные; коллективные","выпечка"
42,Использование соды и кислоты,Нет,"структура; состояние","реакция бикарбоната и кислоты","необходимые; мгновенные; коллективные","выпечка"
43,Использование аммония углекислого,Нет,"структура; состояние","термическое разложение выделяет CO₂","необходимые; мгновенные; коллективные","традиционная выпечка"
44,Добавление закваски,Нет,"структура; состояние","молочнокислое брожение в тесте","необходимые; постепенно; коллективные","хлебопечение"
45,Подкисление теста,Нет,"структура; состояние","кислота влияет на белки и вкус","необходимые; постепенно; коллективные","выпечка"
46,Подслащивание теста,Да,"содержание; структура","увеличение сахара меняет карамелизацию","возможные; мгновенные; коллективные","выпечка"
47,Подсоление теста,Да,"содержание; структура","соль регулирует ферментацию","возможные; мгновенные; коллективные","выпечка"
48,Ароматизация теста,Да,"содержание; символы","добавки специй/эссенций","возможные; мгновенные; коллективные","кулинария"
49,Добавление жиров,Да,"содержание; структура","жиры делают тесто пластичным","возможные; мгновенные; коллективные","выпечка"
50,Добавление молочных продуктов,Да,"содержание; структура","молоко/сливки меняют текстуру","возможные; мгновенные; коллективные","выпечка"
51,Добавление яиц,Да,"содержание; структура","яйца обеспечивают структуру и вкус","возможные; мгновенные; коллективные","выпечка"
52,Добавление шоколада,Да,"содержание; символы","шоколад усиливает вкус и текстуру","возможные; мгновенные; коллективные","кондитерское дело"
53,Добавление орехов,Да,"содержание; структура","орехи меняют текстуру и вкус","возможные; мгновенные; коллективные","выпечка"
54,Добавление сухофруктов,Да,"содержание; структура","сухофрукты влияют на влагу и сладость","возможные; мгновенные; коллективные","выпечка"
55,Добавление семян,Да,"содержание; структура","семена дают вкус и структуру","возможные; мгновенные; коллективные","выпечка"
56,Добавление зелени,Да,"содержание; символы","травы усиливают аромат","возможные; мгновенные; коллективные","выпечка"
57,Добавление специй,Да,"содержание; символы","специи усиливают вкус и аромат","возможные; мгновенные; коллективные","выпечка"
58,Добавление ликёров/алкоголя,Да,"содержание; структура","алкоголь меняет аромат и текстуру","возможные; мгновенные; коллективные","кондитерское дело"
59,Маринование начинки,Да,"содержание; структура","начинка подготавливается отдельно","возможные; постепенно; коллективные","кулинария"
60,Заливка начинкой (фрукты, крем),Да,"содержание; структура","введение начинки внутрь","возможные; мгновенные; коллективные","выпечка"
61,Слойка масляная,Нет,"структура; состояние","включение слоёв масла для текстуры","необходимые; постепенно; коллективные","кондитерское дело"
62,Слойка маргариновая,Нет,"структура; состояние","использование маргарина вместо масла","необходимые; постепенно; коллективные","выпечка"
63,Блистеринг корки,Нет,"структура; состояние","пузыри на поверхности из-за пара","необходимые; мгновенные; коллективные","хлебопечение"
64,Глазировка яйцом (egg wash),Да,"структура; символы","яичный белок/желток создаёт блеск","возможные; мгновенные; коллективные","выпечка"
65,Глазировка молоком,Да,"структура; символы","молоко даёт мягкий блеск","возможные; мгновенные; коллективные","выпечка"
66,Глазировка сиропом,Да,"структура; символы","сироп даёт карамельную поверхность","возможные; мгновенные; коллективные","кондитерское дело"
67,Посыпка сахаром,Да,"структура; символы","кристаллы сахара создают хруст","возможные; мгновенные; коллективные","выпечка"
68,Посыпка солью,Да,"структура; символы","соль акцентирует вкус","возможные; мгновенные; коллективные","выпечка"
69,Посыпка маком,Да,"структура; символы","мак добавляет вкус и вид","возможные; мгновенные; коллективные","выпечка"
70,Посыпка кунжутом,Да,"структура; символы","кунжут усиливает вкус и аромат","возможные; мгновенные; коллективные","выпечка"
71,Посыпка крупной солью,Да,"структура; символы","солёные кристаллы для акцента","возможные; мгновенные; коллективные","выпечка"
72,Посыпка орехами,Да,"структура; символы","дроблёные орехи добавляют текстуру","возможные; мгновенные; коллективные","выпечка"
73,Посыпка семенами подсолнечника,Да,"структура; символы","подсолнечник создаёт хруст","возможные; мгновенные; коллективные","выпечка"
74,Посыпка тыквенными семечками,Да,"структура; символы","тыквенные семена добавляют вкус","возможные; мгновенные; коллективные","выпечка"
75,Посыпка кокосовой стружкой,Да,"структура; символы","кокос добавляет аромат и текстуру","возможные; мгновенные; коллективные","кондитерское дело"
76,Посыпка корицей,Да,"структура; символы","корица даёт ароматный слой","возможные; мгновенные; коллективные","выпечка"
77,Посыпка какао-порошком,Да,"структура; символы","какао создаёт ароматную корку","возможные; мгновенные; коллективные","кондитерское дело"
78,Посыпка мукой (rustic look),Да,"структура; символы","поверхность присыпана мукой для деревенского вида","возможные; мгновенные; коллективные","хлебопечение"
79,Нанесение штампов,Да,"структура; символы","декоративные оттиски на тесте","возможные; мгновенные; индивидуальные","традиционная выпечка"
80,Нанесение узоров ножом,Да,"структура; символы","рисунки на тесте","возможные; мгновенные; индивидуальные","традиционная выпечка"
81,Слои с начинкой,Нет,"структура; состояние","начинка распределяется слоями","необходимые; постепенно; коллективные","выпечка"
82,Закрутка рулетом,Да,"структура; состояние","тесто сворачивается спиралью","возможные; мгновенные; коллективные","кондитерское дело"
83,Формование косы,Да,"структура; символы","плетение теста","возможные; мгновенные; коллективные","традиционная выпечка"
84,Формование кренделя,Да,"структура; символы","перекручивание в форму","возможные; мгновенные; коллективные","выпечка"
85,Формование багета,Да,"структура; символы","длинная заготовка с надрезами","возможные; мгновенные; коллективные","хлебопечение"
86,Формование булочек,Да,"структура; символы","индивидуальные порции шариками","возможные; мгновенные; коллективные","выпечка"
87,Формование батона,Да,"структура; символы","удлинённая форма без надрезов","возможные; мгновенные; коллективные","выпечка"
88,Формование чиабатты,Да,"структура; символы","небрежная форма с пузырчатой текстурой","возможные; мгновенные; коллективные","итальянская кухня"
89,Формование фокаччи,Да,"структура; символы","сплющенная заготовка с вмятинами","возможные; мгновенные; коллективные","итальянская кухня"
90,Формование питы,Да,"структура; символы","круглая лепёшка с полостью","возможные; мгновенные; коллективные","средиземноморская кухня"
91,Формование лаваша,Да,"структура; символы","тонкое раскатанное тесто","возможные; мгновенные; коллективные","кавказская кухня"
92,Формование торта,Да,"структура; символы","слоистая сборка","возможные; мгновенные; коллективные","кондитерское дело"
93,Формование печенья вырубкой,Да,"структура; символы","форма через выемку","возможные; мгновенные; коллективные","кондитерское дело"
94,Формование эклеров,Да,"структура; символы","отсадка продолговатой формы","возможные; мгновенные; коллективные","кондитерское дело"
95,Формование круассанов,Да,"структура; символы","сворачивание треугольников","возможные; мгновенные; коллективные","французская кухня"
96,Формование галет,Да,"структура; символы","плоская форма с загнутыми краями","возможные; мгновенные; коллективные","французская кухня"
97,Формование штоллена,Да,"структура; символы","сворачивание с начинкой внутрь","возможные; мгновенные; коллективные","немецкая кухня"
98,Формование панеттоне,Да,"структура; символы","высокая форма в бумажной гильзе","возможные; мгновенные; коллективные","итальянская кухня"
99,Формование кулича,Да,"структура; символы","высокая цилиндрическая форма","возможные; мгновенные; коллективные","славянская кухня"
100,Формование маффинов,Да,"структура; символы","разлив теста по формам","возможные; мгновенные; коллективные","выпечка"
101,Формование чизкейка,Да,"структура; символы","основание+заливка","возможные; мгновенные; коллективные","кондитерское дело"
102,Формование брауни,Да,"структура; символы","квадратные порции после выпечки","возможные; мгновенные; коллективные","современная кухня"
103,Формование пирога,Да,"структура; символы","основание+верхний слой","возможные; мгновенные; коллективные","традиционная кухня"
104,Формование тарталетки,Да,"структура; символы","малые корзиночки","возможные; мгновенные; коллективные","кондитерское дело"
105,Формование паштета в тесте,Да,"структура; символы","запекание начинки в оболочке","возможные; мгновенные; коллективные","французская кухня"
106,Формование штруделя,Да,"структура; символы","рулон с начинкой","возможные; мгновенные; коллективные","австрийская кухня"
107,Формование самсы,Да,"структура; символы","треугольная заготовка с начинкой","возможные; мгновенные; коллективные","среднеазиатская кухня"
108,Формование хачапури,Да,"структура; символы","лепёшка с сыром (разные формы)","возможные; мгновенные; коллективные","кавказская кухня"
109,Формование пиццы,Да,"структура; символы","круглая лепёшка с начинкой","возможные; мгновенные; коллективные","итальянская кухня"
110,Формование кальцоне,Да,"структура; символы","складывание пополам","возможные; мгновенные; коллективные","итальянская кухня"
111,Формование эмпанады,Да,"структура; символы","полукруг с защипом","возможные; мгновенные; коллективные","латиноамериканская кухня"
112,Формование самбусы,Да,"структура; символы","треугольник с начинкой","возможные; мгновенные; коллективные","центральноазиатская кухня"
113,Формование пирожков,Да,"структура; символы","малые порционные изделия","возможные; мгновенные; коллективные","выпечка"
114,Формование беляшей,Да,"структура; символы","открытая начинка сверху","возможные; мгновенные; коллективные","татарская кухня"
115,Формование расстегаев,Да,"структура; символы","продолговатая форма с прорезью","возможные; мгновенные; коллективные","русская кухня"
116,Формование кулебяки,Да,"структура; символы","длинный пирог с множеством слоёв","возможные; мгновенные; коллективные","русская кухня"
117,Формование пирожных,Да,"структура; символы","малые сладкие изделия","возможные; мгновенные; коллективные","кондитерское дело"
118,Формование безе,Да,"структура; символы","отсадка белковой массы","возможные; мгновенные; коллективные","кондитерское дело"
119,Формование меренги,Да,"структура; символы","выпечка взбитых белков","возможные; мгновенные; коллективные","кондитерское дело"
120,Формование профитролей,Да,"структура; символы","отсадка заготовок из заварного теста","возможные; мгновенные; коллективные","французская кухня"
121,Формование эклеров с кремом,Да,"структура; символы","наполнение заготовок после выпечки","возможные; мгновенные; коллективные","кондитерское дело"
122,Формование пончиков,Да,"структура; символы","круглая форма с отверстием или начинкой","возможные; мгновенные; коллективные","выпечка"
123,Формование калача,Да,"структура; символы","традиционная круглая форма с ручкой","возможные; мгновенные; коллективные","русская кухня"
124,Формование баранок,Да,"структура; символы","малые кольцевые изделия","возможные; мгновенные; коллективные","традиционная кухня"
125,Формование сушек,Да,"структура; символы","тонкие мини-кольца","возможные; мгновенные; коллективные","русская кухня"
126,Формование крекеров,Да,"структура; символы","плоские тонкие заготовки","возможные; мгновенные; коллективные","выпечка"
127,Формование хлебных палочек,Да,"структура; символы","тонкие вытянутые формы","возможные; мгновенные; коллективные","итальянская кухня"
128,Формование лаваша рулетного,Да,"структура; символы","рулон из тонкого теста","возможные; мгновенные; коллективные","кавказская кухня"
129,Формование пышек,Да,"структура; символы","воздушные небольшие изделия","возможные; мгновенные; коллективные","русская кухня"
130,Формование коржей,Да,"структура; символы","пласты для сборки торта","возможные; мгновенные; коллективные","кондитерское дело"
131,Формование вафель,Да,"структура; символы","тонкие пластины с рисунком","возможные; мгновенные; коллективные","кондитерское дело"
132,Формование оладий,Да,"структура; символы","круглые плоские лепёшки","возможные; мгновенные; коллективные","русская кухня"
133,Формование блинов,Да,"структура; символы","тонкие лепёшки из жидкого теста","возможные; мгновенные; коллективные","славянская кухня"
134,Формование панкейков,Да,"структура; символы","толстые лепёшки на сковороде","возможные; мгновенные; коллективные","американская кухня"
135,Формование тартов,Да,"структура; символы","корж с открытой начинкой","возможные; мгновенные; коллективные","французская кухня"
136,Формование киша,Да,"структура; символы","открытый пирог с заливкой","возможные; мгновенные; коллективные","французская кухня"
137,Формование брецелей,Да,"структура; символы","классическая перекрученная форма","возможные; мгновенные; коллективные","немецкая кухня"
138,Формование чуррос,Да,"структура; символы","жареные полоски теста","возможные; мгновенные; коллективные","испанская кухня"
139,Формование бейглов,Да,"структура; символы","плотное тесто с варкой перед выпечкой","возможные; мгновенные; коллективные","еврейская кухня"
140,Формование кранцев,Да,"структура; символы","слоёные изделия в виде кольца","возможные; мгновенные; коллективные","европейская кухня"
141,Формование пасты фило,Да,"структура; символы","очень тонкие листы теста","возможные; мгновенные; коллективные","средиземноморская кухня"
142,Формование пахлавы,Да,"структура; символы","многослойное изделие с орехами","возможные; мгновенные; коллективные","восточная кухня"
143,Формование штрейзеля,Да,"структура; символы","крошковый верхний слой","возможные; мгновенные; коллективные","немецкая кухня"
144,Формование песочного теста,Да,"структура; состояние","жир+мука создают рассыпчатость","возможные; мгновенные; коллективные","выпечка"
145,Формование заварного теста,Да,"структура; состояние","варка муки с маслом и яйцами","возможные; мгновенные; коллективные","кондитерское дело"
146,Формование слоёного теста,Да,"структура; состояние","многослойность через масло","возможные; постепенно; коллективные","выпечка"
147,Формование дрожжевого теста,Нет,"структура; состояние","ферментация дрожжами","необходимые; постепенно; коллективные","хлебопечение"
148,Формование бездрожжевого теста,Да,"структура; состояние","использование химических разрыхлителей","возможные; мгновенные; коллективные","выпечка"
149,Формование безглютенового теста,Да,"структура; состояние","замена глютена гидроколлоидами","возможные; постепенно; коллективные","современная кухня"
150,Формование диетического теста,Да,"структура; состояние","замена ингредиентов для диеты","возможные; постепенно; коллективные","современная кухня"
151,Формование веганского теста,Да,"структура; состояние","исключение яиц и молочных продуктов","возможные; постепенно; коллективные","современная кухня"
152,Формование кето-теста,Да,"структура; состояние","низкоуглеводные заменители муки","возможные; постепенно; коллективные","современная кухня"
153,Формование протеинового теста,Да,"структура; состояние","добавление белковых порошков","возможные; постепенно; коллективные","современная кухня"
154,Формование мультизернового теста,Да,"структура; состояние","смесь разных злаков","возможные; постепенно; коллективные","современная кухня"
155,Формование цельнозернового теста,Да,"структура; состояние","цельные злаки сохраняют оболочку","возможные; постепенно; коллективные","современная кухня"
156,Формование теста на закваске,Нет,"структура; состояние","закваска формирует структуру","необходимые; постепенно; коллективные","традиционная выпечка"
157,Формование теста с молочнокислой ферментацией,Нет,"структура; состояние","лактобактерии создают вкус","необходимые; постепенно; коллективные","традиционная выпечка"
158,Формование теста на сыворотке,Да,"структура; состояние","сыворотка регулирует кислотность","возможные; постепенно; коллективные","выпечка"
159,Формование теста с добавлением заквасочного концентрата,Да,"структура; состояние","готовые культуры ускоряют процесс","возможные; постепенно; коллективные","современная кухня"
160,Формование теста с добавлением улучшителей,Да,"структура; состояние","химические добавки улучшают структуру","возможные; постепенно; коллективные","современная кухня"
