№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
29,Соединение соуса на основе фруктов,Да,"структура; состояние","пюре из фруктов + кислота/сахар","возможные; мгновенные; коллективные","кулинария"
30,Соединение соуса на основе овощей,Да,"структура; состояние","пюре из овощей как база","возможные; мгновенные; коллективные","кулинария"
31,Соединение соуса на основе зелени,Да,"структура; состояние","петрушка, кинза, базилик","возможные; мгновенные; коллективные","кулинария"
32,Соединение соуса на основе грибов,Да,"структура; состояние","грибное пюре или отвар","возможные; мгновенные; коллективные","кулинария"
33,Соединение соуса на основе томатов,Да,"структура; состояние","томатная паста/пюре","возможные; мгновенные; коллективные","кулинария"
34,Соединение соуса на основе сливочного масла,Да,"структура; состояние","топлёное или холодное масло","возможные; мгновенные; коллективные","французская кухня"
35,Соединение соуса на основе жиров животных,Да,"структура; состояние","утиный, свиной жир","возможные; мгновенные; коллективные","традиционная кухня"
36,Соединение соуса на основе костного мозга,Да,"структура; состояние","расплавленный костный мозг","возможные; мгновенные; коллективные","французская кухня"
37,Соединение соуса на основе крови,Нет,"структура; состояние","свёртывание крови как загуститель","необходимые; мгновенные; коллективные","традиционная кухня"
38,Соединение соуса на основе сыра,Да,"структура; состояние","расплавленный или тёртый сыр","возможные; мгновенные; коллективные","кулинария"
39,Соединение соуса на основе йогурта,Да,"структура; состояние","кисломолочная текстура и вкус","возможные; мгновенные; коллективные","кулинария"
40,Соединение соуса на основе майонеза,Да,"структура; состояние","готовая эмульсия как база","возможные; мгновенные; коллективные","кулинария"
41,Соединение соуса на основе горчицы,Да,"структура; состояние","горчица как эмульгатор и аромат","возможные; мгновенные; коллективные","кулинария"
42,Соединение соуса на основе меда,Да,"структура; состояние","мёд как подсластитель и эмульгатор","возможные; мгновенные; коллективные","кулинария"
43,Соединение соуса на основе укропного масла,Да,"структура; состояние","ароматизация маслом зелени","возможные; мгновенные; коллективные","молекулярная кухня"
44,Соединение соуса на основе трюфельного масла,Да,"структура; символы","ароматизация синтетическим/натуральным трюфелем","возможные; мгновенные; коллективные","современная кухня"
45,Соединение соуса на основе цитрусов,Да,"структура; состояние","лимон, апельсин для кислотности и аромата","возможные; мгновенные; коллективные","кулинария"
46,Соединение соуса на основе ягод,Да,"структура; состояние","ягоды в пюре или соке","возможные; мгновенные; коллективные","кулинария"
47,Соединение соуса на основе шоколада,Да,"структура; состояние","растопленный шоколад","возможные; мгновенные; коллективные","десертная кухня"
48,Соединение соуса на основе карамели,Да,"структура; состояние","сахарная карамель + сливки","возможные; мгновенные; коллективные","десертная кухня"
49,Соединение соуса на основе алкоголя,Да,"структура; состояние","бренди, вино, ликёры в соусах","возможные; мгновенные; коллективные","кулинария"
50,Соединение соуса на основе уксусных редукций,Да,"структура; состояние","бальзамик редуцированный","возможные; постепенно; коллективные","современная кухня"
51,Соединение соуса на основе сидра,Да,"структура; состояние","редукция яблочного сидра","возможные; постепенно; коллективные","кулинария"
52,Соединение соуса на основе пива,Да,"структура; состояние","пивная редукция","возможные; постепенно; коллективные","европейская кухня"
53,Соединение соуса на основе чая,Да,"структура; состояние","чай как аромат и горечь","возможные; мгновенные; коллективные","современная кухня"
54,Соединение соуса на основе кофе,Да,"структура; состояние","кофейные ноты в десертных и мясных соусах","возможные; мгновенные; коллективные","современная кухня"
55,Соединение соуса на основе бобовых,Да,"структура; состояние","нут, чечевица, фасоль","возможные; мгновенные; коллективные","азиатская кухня"
56,Соединение соуса на основе тахини,Да,"структура; состояние","кунжутная паста + лимон","возможные; мгновенные; коллективные","ближневосточная кухня"
57,Соединение соуса на основе авокадо,Да,"структура; состояние","авокадо как эмульгатор","возможные; мгновенные; коллективные","современная кухня"
58,Соединение соуса на основе овощного пюре,Да,"структура; состояние","морковь, свекла, кабачки","возможные; мгновенные; коллективные","кулинария"
59,Соединение соуса на основе бобовой пасты,Нет,"структура; состояние","ферментированная паста (мисо, доенджан)","необходимые; постепенно; коллективные","азиатская кухня"
60,Соединение соуса на основе орехового масла,Да,"структура; состояние","арахисовое, миндальное масло","возможные; мгновенные; коллективные","кулинария"
61,Соединение соуса на основе семян,Да,"структура; состояние","тыквенные, подсолнечные, льняные семена","возможные; мгновенные; коллективные","кулинария"
62,Соединение соуса на основе пасты карри,Нет,"структура; состояние","смесь специй и масел в пюре","необходимые; постепенно; коллективные","азиатская кухня"
63,Соединение соуса на основе специй,Да,"структура; состояние","молотые специи как база","возможные; мгновенные; коллективные","кулинария"
64,Соединение соуса на основе трав,Да,"структура; состояние","свежие или сушёные травы","возможные; мгновенные; коллективные","кулинария"
65,Соединение соуса на основе пряных масел,Да,"структура; состояние","масла, настоянные на специях","возможные; мгновенные; коллективные","кулинария"
66,Соединение соуса на основе чеснока,Да,"структура; состояние","чеснок как ароматическая основа","возможные; мгновенные; коллективные","кулинария"
67,Соединение соуса на основе лука,Да,"структура; состояние","луковая база для соусов","возможные; мгновенные; коллективные","кулинария"
68,Соединение соуса на основе имбиря,Да,"структура; состояние","имбирное пюре или сок","возможные; мгновенные; коллективные","азиатская кухня"
69,Соединение соуса на основе перца чили,Да,"структура; состояние","чили как острая база","возможные; мгновенные; коллективные","латиноамериканская кухня"
70,Соединение соуса на основе перца сладкого,Да,"структура; состояние","болгарский перец для сладких соусов","возможные; мгновенные; коллективные","кулинария"
71,Соединение соуса на основе огурцов,Да,"структура; состояние","огуречное пюре (дзадзики)","возможные; мгновенные; коллективные","греческая кухня"
72,Соединение соуса на основе йогурта и огурцов,Да,"структура; состояние","основа для цацики","возможные; мгновенные; коллективные","средиземноморская кухня"
73,Соединение соуса на основе сыворотки,Да,"структура; состояние","использование молочной сыворотки","возможные; мгновенные; коллективные","экспериментальная кухня"
74,Соединение соуса на основе грибного отвара,Да,"структура; состояние","грибной бульон как база","возможные; мгновенные; коллективные","кулинария"
75,Соединение соуса на основе морских водорослей,Да,"структура; состояние","ламинария, нори, комбу","возможные; мгновенные; коллективные","азиатская кухня"
76,Соединение соуса на основе рыбного бульона,Да,"структура; состояние","даши, рыбные отвары","возможные; мгновенные; коллективные","японская кухня"
77,Соединение соуса на основе креветок,Нет,"структура; состояние","пасты и бульоны из креветок","необходимые; постепенно; коллективные","азиатская кухня"
78,Соединение соуса на основе крабов,Нет,"структура; состояние","крабовый экстракт","необходимые; постепенно; коллективные","азиатская кухня"
79,Соединение соуса на основе устриц,Нет,"структура; состояние","устрицы ферментированные или варёные","необходимые; постепенно; коллективные","азиатская кухня"
80,Соединение соуса на основе анчоусов,Нет,"структура; состояние","анчоусы как солёная база","необходимые; постепенно; коллективные","средиземноморская кухня"
81,Соединение соуса на основе сардин,Нет,"структура; состояние","пюре из сардин","необходимые; постепенно; коллективные","европейская кухня"
82,Соединение соуса на основе тунца,Да,"структура; состояние","пасты и пюре из тунца","возможные; мгновенные; коллективные","итальянская кухня"
83,Соединение соуса на основе мяса,Да,"структура; состояние","говяжий или куриный сок","возможные; мгновенные; коллективные","кулинария"
84,Соединение соуса на основе печени,Да,"структура; состояние","печёночное пюре","возможные; мгновенные; коллективные","французская кухня"
85,Соединение соуса на основе жира,Да,"структура; состояние","утиный, гусиный жир","возможные; мгновенные; коллективные","традиционная кухня"
86,Соединение соуса на основе смальца,Да,"структура; состояние","смалец как база","возможные; мгновенные; коллективные","европейская кухня"
87,Соединение соуса на основе костного бульона,Да,"структура; состояние","демиглас и производные","возможные; постепенно; коллективные","французская кухня"
88,Соединение соуса на основе желе из бульона,Да,"структура; состояние","студень/аспик","возможные; постепенно; коллективные","традиционная кухня"
89,Соединение соуса на основе ферментированных овощей,Нет,"структура; состояние","кимчи, кислая капуста","необходимые; постепенно; коллективные","азиатская кухня"
90,Соединение соуса на основе ферментированных фруктов,Нет,"структура; состояние","ферментированные соки","необходимые; постепенно; коллективные","экспериментальная кухня"
91,Соединение соуса на основе ферментированных соусов,Нет,"структура; состояние","соевый соус, мисо, доенджан","необходимые; постепенно; коллективные","азиатская кухня"
92,Соединение соуса на основе ферментированных морепродуктов,Нет,"структура; состояние","рыбные и креветочные пасты","необходимые; постепенно; коллективные","азиатская кухня"
93,Соединение соуса на основе маринадов,Да,"структура; состояние","остатки маринадов как база","возможные; мгновенные; коллективные","кулинария"
94,Соединение соуса на основе рассолов,Да,"структура; состояние","рассолы от солений","возможные; мгновенные; коллективные","традиционная кухня"
95,Соединение соуса на основе сиропов,Да,"структура; состояние","сахарные сиропы","возможные; мгновенные; коллективные","десертная кухня"
96,Соединение соуса на основе патоки,Да,"структура; состояние","тростниковая или свекольная патока","возможные; мгновенные; коллективные","традиционная кухня"
97,Соединение соуса на основе мёда и горчицы,Да,"структура; состояние","сладко-острая эмульсия","возможные; мгновенные; коллективные","современная кухня"
98,Соединение соуса на основе майонеза и кетчупа,Да,"структура; состояние","смешанный соус (thousand island)","возможные; мгновенные; коллективные","современная кухня"
99,Соединение соуса на основе сливочного масла и трав,Да,"структура; состояние","ароматизированное масло","возможные; мгновенные; коллективные","кулинария"
100,Соединение соуса на основе масла и чеснока,Да,"структура; состояние","масло + чеснок как база","возможные; мгновенные; коллективные","итальянская кухня"
101,Соединение соуса на основе масла и лимона,Да,"структура; состояние","лимонный сок + масло","возможные; мгновенные; коллективные","кулинария"
102,Соединение соуса на основе масла и зелени,Да,"структура; состояние","масляная основа + травы","возможные; мгновенные; коллективные","кулинария"
103,Соединение соуса на основе масла и перца,Да,"структура; состояние","масло + острый перец","возможные; мгновенные; коллективные","латиноамериканская кухня"
104,Соединение соуса на основе масла и грибов,Да,"структура; состояние","масло + грибы","возможные; мгновенные; коллективные","кулинария"
105,Соединение соуса на основе масла и орехов,Да,"структура; состояние","масло + орехи (песто)","возможные; мгновенные; коллективные","итальянская кухня"
106,Соединение соуса на основе масла и сыра,Да,"структура; состояние","масло + пармезан","возможные; мгновенные; коллективные","итальянская кухня"
107,Соединение соуса на основе масла и помидоров,Да,"структура; состояние","масло + томатное пюре","возможные; мгновенные; коллективные","кулинария"
108,Соединение соуса на основе масла и анчоусов,Нет,"структура; состояние","масло + солёная рыба","необходимые; постепенно; коллективные","средиземноморская кухня"
109,Соединение соуса на основе масла и уксуса,Да,"структура; состояние","винегретная база","возможные; мгновенные; коллективные","кулинария"
110,Соединение соуса на основе масла и горчицы,Да,"структура; состояние","масло + горчица","возможные; мгновенные; коллективные","кулинария"
111,Соединение соуса на основе масла и вина,Да,"структура; состояние","масло + белое/красное вино","возможные; мгновенные; коллективные","французская кухня"
112,Соединение соуса на основе масла и бульона,Да,"структура; состояние","масло + мясной сок","возможные; мгновенные; коллективные","кулинария"
113,Соединение соуса на основе масла и сливок,Да,"структура; состояние","масло + сливки","возможные; мгновенные; коллективные","кулинария"
114,Соединение соуса на основе масла и яиц,Да,"структура; состояние","масло + яйцо (голландский)","возможные; мгновенные; коллективные","французская кухня"
115,Соединение соуса на основе масла и бобовых,Да,"структура; состояние","масло + нут (хумус)","возможные; мгновенные; коллективные","ближневосточная кухня"
116,Соединение соуса на основе масла и фруктов,Да,"структура; состояние","масло + фруктовые пюре","возможные; мгновенные; коллективные","современная кухня"
117,Соединение соуса на основе масла и ягод,Да,"структура; состояние","масло + ягодные пюре","возможные; мгновенные; коллективные","десертная кухня"
118,Соединение соуса на основе масла и кофе,Да,"структура; состояние","масло + кофе","возможные; мгновенные; коллективные","экспериментальная кухня"
119,Соединение соуса на основе масла и шоколада,Да,"структура; состояние","масло + какао","возможные; мгновенные; коллективные","экспериментальная кухня"
120,Соединение соуса на основе масла и чая,Да,"структура; состояние","масло + чайные экстракты","возможные; мгновенные; коллективные","экспериментальная кухня"
121,Соединение соуса на основе масла и специй,Да,"структура; состояние","масло настоянное на специях","возможные; мгновенные; коллективные","кулинария"
122,Соединение соуса на основе масла и трав,Да,"структура; состояние","масло настоянное на зелени","возможные; мгновенные; коллективные","кулинария"
123,Соединение соуса на основе масла и цитрусов,Да,"структура; состояние","масло с лимоном/апельсином","возможные; мгновенные; коллективные","современная кухня"
124,Соединение соуса на основе масла и укропного сока,Да,"структура; состояние","масло с экстрактом укропа","возможные; мгновенные; коллективные","экспериментальная кухня"
125,Соединение соуса на основе масла и трюфеля,Да,"структура; символы","масло с трюфельным ароматом","возможные; мгновенные; коллективные","французская кухня"
126,Соединение соуса на основе масла и васаби,Да,"структура; состояние","масло с острой пастой","возможные; мгновенные; коллективные","японская кухня"
127,Соединение соуса на основе масла и имбиря,Да,"структура; состояние","масло с имбирём","возможные; мгновенные; коллективные","азиатская кухня"
128,Соединение соуса на основе масла и чеснока чёрного,Да,"структура; состояние","масло с ферментированным чесноком","возможные; мгновенные; коллективные","современная кухня"
129,Создание пенистой эмульсии,Да,"структура; состояние","взбитая пена с лецитином","возможные; мгновенные; коллективные","молекулярная кухня"
130,Создание аэрозоля (спрея),Да,"структура; состояние","распыление масла/соуса","возможные; мгновенные; индивидуальные","современная кухня"
131,Создание соуса-пены сифоном,Да,"структура; состояние","N₂O создаёт пенную текстуру","возможные; мгновенные; коллективные","молекулярная кухня"
132,Создание соуса-геля,Да,"структура; состояние","гидроколлоиды формируют гель","возможные; постепенно; коллективные","современная кухня"
133,Создание соуса-сферы (сферизация),Да,"структура; состояние","ионная реакция альгината и кальция","возможные; мгновенные; коллективные","молекулярная кухня"
134,Создание соуса-желе,Да,"структура; состояние","желатин или агар при охлаждении","возможные; постепенно; коллективные","кулинария"
135,Создание соуса-мусса,Да,"структура; состояние","взбитая структура с воздухом","возможные; мгновенные; коллективные","кондитерское дело"
136,Создание соуса-крема,Да,"структура; состояние","медленное загущение с жиром","возможные; постепенно; коллективные","кулинария"
137,Создание соуса-террина,Нет,"структура; состояние","соус в форме, застывший в гель","необходимые; постепенно; коллективные","французская кухня"
138,Создание соуса-пасты,Да,"структура; состояние","сильное уваривание до густой массы","возможные; постепенно; коллективные","кулинария"
139,Создание соуса-пюре,Да,"структура; состояние","измельчение ингредиентов в гладкую массу","возможные; мгновенные; коллективные","кулинария"
140,Создание соуса-бульона,Да,"структура; состояние","основа из прозрачного отвара","возможные; постепенно; коллективные","кулинария"
141,Создание соуса-консоме,Нет,"структура; состояние","осветление бульона белками","необходимые; постепенно; коллективные","французская кухня"
142,Создание соуса-редукции,Нет,"структура; состояние","уваривание жидкости до концентрата","необходимые; постепенно; коллективные","кулинария"
143,Создание соуса-винегрета,Да,"структура; состояние","масло+кислота+эмульгатор","возможные; мгновенные; коллективные","кулинария"
144,Создание соуса-маринада,Да,"структура; состояние","жидкость для маринования пищи","возможные; мгновенные; коллективные","кулинария"
145,Создание соуса-дрессинга,Да,"структура; состояние","легкий соус для салатов","возможные; мгновенные; коллективные","современная кухня"
146,Создание соуса-грави,Да,"структура; состояние","соки от мяса + загуститель","возможные; мгновенные; коллективные","английская кухня"
147,Создание соуса-бешамель,Да,"структура; состояние","ру + молоко","возможные; постепенно; коллективные","французская кухня"
148,Создание соуса-голландез,Да,"структура; состояние","эмульсия желтков и масла","возможные; мгновенные; коллективные","французская кухня"
149,Создание соуса-майонеза,Да,"структура; состояние","эмульсия масла и желтков","возможные; мгновенные; коллективные","кулинария"
150,Создание соуса-демиглас,Нет,"структура; состояние","длительная редукция костного бульона","необходимые; постепенно; коллективные","французская кухня"
151,Создание соуса-томатного,Да,"структура; состояние","томатная база + специи","возможные; постепенно; коллективные","кулинария"
152,Создание соуса-песто,Да,"структура; состояние","базилик + орехи + масло","возможные; мгновенные; коллективные","итальянская кухня"
153,Создание соуса-гуакомоле,Да,"структура; состояние","авокадо + лимон + специи","возможные; мгновенные; коллективные","мексиканская кухня"
154,Создание соуса-кимчи,Нет,"структура; состояние","ферментированная база овощей","необходимые; постепенно; коллективные","азиатская кухня"
155,Создание соуса-барбекю,Да,"структура; состояние","томат + специи + копчёность","возможные; постепенно; коллективные","американская кухня"
156,Создание соуса-терияки,Нет,"структура; состояние","соя + сахар + мирин","необходимые; постепенно; коллективные","японская кухня"
157,Создание соуса-чили,Да,"структура; состояние","острый перец + уксус + сахар","возможные; мгновенные; коллективные","азиатская кухня"
158,Создание соуса-сальсы,Да,"структура; состояние","томат + лук + чили","возможные; мгновенные; коллективные","латиноамериканская кухня"
159,Создание соуса-дзадзики,Да,"структура; состояние","йогурт + огурец + чеснок","возможные; мгновенные; коллективные","греческая кухня"
160,Создание соуса-хумуса,Да,"структура; состояние","нут + тахини + лимон","возможные; мгновенные; коллективные","ближневосточная кухня"

