№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,вертикальная коммуникация,Условно,структура/иерархия/власть,контроль/подчинение/управление,институциональные; стратегические; формальные,Аналоги: политология—власть; социология—иерархии; менеджмент—управление
37,уклонение,Условно,разногласия/конфликты/переговоры,регуляция/разрешение/интеграция,институциональные; межличностные; стратегические,Аналоги: право—арбитраж; психология—разрешение конфликтов; дипломатия—переговоры
38,агрессия,Условно,разногласия/конфликты/переговоры,регуляция/разрешение/интеграция,институциональные; межличностные; стратегические,Аналоги: право—арбитраж; психология—разрешение конфликтов; дипломатия—переговоры
39,коллективное обсуждение,Условно,разногласия/конфликты/переговоры,регуляция/разрешение/интеграция,институциональные; межличностные; стратегические,Аналоги: право—арбитраж; психология—разрешение конфликтов; дипломатия—переговоры
40,институционализация конфликта,Условно,разногласия/конфликты/переговоры,регуляция/разрешение/интеграция,институциональные; межличностные; стратегические,Аналоги: право—арбитраж; психология—разрешение конфликтов; дипломатия—переговоры
41,создание базы знаний,Условно,знания/информация/опыт,создание/хранение/распространение,институциональные; сетевые; стратегические,Аналоги: информатика—базы данных; социология—социальные сети; философия—эпистемология
42,распространение знаний,Условно,знания/информация/опыт,создание/хранение/распространение,институциональные; сетевые; стратегические,Аналоги: информатика—базы данных; социология—социальные сети; философия—эпистемология
43,обмен опытом,Условно,знания/информация/опыт,создание/хранение/распространение,институциональные; сетевые; стратегические,Аналоги: информатика—базы данных; социология—социальные сети; философия—эпистемология
44,обучение,Условно,знания/информация/опыт,создание/хранение/распространение,институциональные; сетевые; стратегические,Аналоги: информатика—базы данных; социология—социальные сети; философия—эпистемология
45,менторинг,Условно,знания/информация/опыт,создание/хранение/распространение,институциональные; сетевые; стратегические,Аналоги: информатика—базы данных; социология—социальные сети; философия—эпистемология
46,архивация информации,Условно,знания/информация/опыт,создание/хранение/распространение,институциональные; сетевые; стратегические,Аналоги: информатика—базы данных; социология—социальные сети; философия—эпистемология
47,институционализация знаний,Условно,знания/информация/опыт,создание/хранение/распространение,институциональные; сетевые; стратегические,Аналоги: информатика—базы данных; социология—социальные сети; философия—эпистемология
48,цифровизация знаний,Условно,знания/информация/опыт,создание/хранение/распространение,институциональные; сетевые; стратегические,Аналоги: информатика—базы данных; социология—социальные сети; философия—эпистемология
49,геймификация обучения,Условно,знания/информация/опыт,создание/хранение/распространение,институциональные; сетевые; стратегические,Аналоги: информатика—базы данных; социология—социальные сети; философия—эпистемология
50,обратная связь,Условно,знания/информация/опыт,создание/хранение/распространение,институциональные; сетевые; стратегические,Аналоги: информатика—базы данных; социология—социальные сети; философия—эпистемология
51,создание корпоративной культуры,Условно,культура организации/идентичность,интеграция/лояльность/разграничение,постепенные; институциональные; коллективные,Аналоги: антропология—культура; психология—идентичность; менеджмент—корпоративная культура
52,институционализация ценностей,Условно,культура организации/идентичность,интеграция/лояльность/разграничение,постепенные; институциональные; коллективные,Аналоги: антропология—культура; психология—идентичность; менеджмент—корпоративная культура
53,символическая идентификация,Условно,культура организации/идентичность,интеграция/лояльность/разграничение,постепенные; институциональные; коллективные,Аналоги: антропология—культура; психология—идентичность; менеджмент—корпоративная культура
54,ритуализация,Условно,культура организации/идентичность,интеграция/лояльность/разграничение,постепенные; институциональные; коллективные,Аналоги: антропология—культура; психология—идентичность; менеджмент—корпоративная культура
55,лоялизация,Условно,культура организации/идентичность,интеграция/лояльность/разграничение,постепенные; институциональные; коллективные,Аналоги: антропология—культура; психология—идентичность; менеджмент—корпоративная культура
56,ребрендинг организации,Условно,культура организации/идентичность,интеграция/лояльность/разграничение,постепенные; институциональные; коллективные,Аналоги: антропология—культура; психология—идентичность; менеджмент—корпоративная культура
57,интернационализация культуры,Условно,культура организации/идентичность,интеграция/лояльность/разграничение,постепенные; институциональные; коллективные,Аналоги: антропология—культура; психология—идентичность; менеджмент—корпоративная культура
58,гибридизация культуры,Условно,культура организации/идентичность,интеграция/лояльность/разграничение,постепенные; институциональные; коллективные,Аналоги: антропология—культура; психология—идентичность; менеджмент—корпоративная культура
59,маргинализация,Условно,культура организации/идентичность,интеграция/лояльность/разграничение,постепенные; институциональные; коллективные,Аналоги: антропология—культура; психология—идентичность; менеджмент—корпоративная культура
60,демаргинализация,Условно,культура организации/идентичность,интеграция/лояльность/разграничение,постепенные; институциональные; коллективные,Аналоги: антропология—культура; психология—идентичность; менеджмент—корпоративная культура
61,цифровая трансформация,Условно,цифровые инструменты/платформы,медиатизация/оптимизация/контроль,сетевые; институциональные; мгновенные,Аналоги: информатика—сети; социология—медиация; менеджмент—автоматизация
62,автоматизация,Условно,цифровые инструменты/платформы,медиатизация/оптимизация/контроль,сетевые; институциональные; мгновенные,Аналоги: информатика—сети; социология—медиация; менеджмент—автоматизация
63,роботизация,Условно,цифровые инструменты/платформы,медиатизация/оптимизация/контроль,сетевые; институциональные; мгновенные,Аналоги: информатика—сети; социология—медиация; менеджмент—автоматизация
64,алгоритмизация,Условно,цифровые инструменты/платформы,медиатизация/оптимизация/контроль,сетевые; институциональные; мгновенные,Аналоги: информатика—сети; социология—медиация; менеджмент—автоматизация
65,цифровое посредничество,Условно,цифровые инструменты/платформы,медиатизация/оптимизация/контроль,сетевые; институциональные; мгновенные,Аналоги: информатика—сети; социология—медиация; менеджмент—автоматизация
66,онлайн-коммуникация,Условно,цифровые инструменты/платформы,медиатизация/оптимизация/контроль,сетевые; институциональные; мгновенные,Аналоги: информатика—сети; социология—медиация; менеджмент—автоматизация
67,платформизация,Условно,цифровые инструменты/платформы,медиатизация/оптимизация/контроль,сетевые; институциональные; мгновенные,Аналоги: информатика—сети; социология—медиация; менеджмент—автоматизация
68,виртуализация,Условно,цифровые инструменты/платформы,медиатизация/оптимизация/контроль,сетевые; институциональные; мгновенные,Аналоги: информатика—сети; социология—медиация; менеджмент—автоматизация
69,гибридизация коммуникаций,Условно,цифровые инструменты/платформы,медиатизация/оптимизация/контроль,сетевые; институциональные; мгновенные,Аналоги: информатика—сети; социология—медиация; менеджмент—автоматизация
70,мобилизация через технологии,Условно,цифровые инструменты/платформы,медиатизация/оптимизация/контроль,сетевые; институциональные; мгновенные,Аналоги: информатика—сети; социология—медиация; менеджмент—автоматизация
71,инновация,Условно,процессы/структуры/культура,инновация/адаптация/устойчивость,постепенные; стратегические; институциональные,Аналоги: экономика—инновации; биология—адаптация; менеджмент—изменения
72,адаптация,Условно,процессы/структуры/культура,инновация/адаптация/устойчивость,постепенные; стратегические; институциональные,Аналоги: экономика—инновации; биология—адаптация; менеджмент—изменения
73,реорганизация,Условно,процессы/структуры/культура,инновация/адаптация/устойчивость,постепенные; стратегические; институциональные,Аналоги: экономика—инновации; биология—адаптация; менеджмент—изменения
74,реструктуризация,Условно,процессы/структуры/культура,инновация/адаптация/устойчивость,постепенные; стратегические; институциональные,Аналоги: экономика—инновации; биология—адаптация; менеджмент—изменения
75,гибридизация,Условно,процессы/структуры/культура,инновация/адаптация/устойчивость,постепенные; стратегические; институциональные,Аналоги: экономика—инновации; биология—адаптация; менеджмент—изменения
76,трансформация,Условно,процессы/структуры/культура,инновация/адаптация/устойчивость,постепенные; стратегические; институциональные,Аналоги: экономика—инновации; биология—адаптация; менеджмент—изменения
77,институционализация изменений,Условно,процессы/структуры/культура,инновация/адаптация/устойчивость,постепенные; стратегические; институциональные,Аналоги: экономика—инновации; биология—адаптация; менеджмент—изменения
78,сопротивление изменениям,Условно,процессы/структуры/культура,инновация/адаптация/устойчивость,постепенные; стратегические; институциональные,Аналоги: экономика—инновации; биология—адаптация; менеджмент—изменения
79,принятие изменений,Условно,процессы/структуры/культура,инновация/адаптация/устойчивость,постепенные; стратегические; институциональные,Аналоги: экономика—инновации; биология—адаптация; менеджмент—изменения
80,устойчивость к изменениям,Условно,процессы/структуры/культура,инновация/адаптация/устойчивость,постепенные; стратегические; институциональные,Аналоги: экономика—инновации; биология—адаптация; менеджмент—изменения
