№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,усиление угрозы,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
13,анализ трендов,Условно,сигналы/предупреждения,раннее выявление/превенция,превентивные; мгновенные; институциональные,Аналоги: медицина—диагностика; техника—сигнализация; безопасность—мониторинг
14,построение сценариев,Условно,сигналы/предупреждения,раннее выявление/превенция,превентивные; мгновенные; институциональные,Аналоги: медицина—диагностика; техника—сигнализация; безопасность—мониторинг
15,предупреждающая коммуникация,Условно,сигналы/предупреждения,раннее выявление/превенция,превентивные; мгновенные; институциональные,Аналоги: медицина—диагностика; техника—сигнализация; безопасность—мониторинг
16,алгоритмизация сигналов,Условно,сигналы/предупреждения,раннее выявление/превенция,превентивные; мгновенные; институциональные,Аналоги: медицина—диагностика; техника—сигнализация; безопасность—мониторинг
17,тревожные сообщения,Условно,сигналы/предупреждения,раннее выявление/превенция,превентивные; мгновенные; институциональные,Аналоги: медицина—диагностика; техника—сигнализация; безопасность—мониторинг
18,фильтрация сигналов,Условно,сигналы/предупреждения,раннее выявление/превенция,превентивные; мгновенные; институциональные,Аналоги: медицина—диагностика; техника—сигнализация; безопасность—мониторинг
19,симуляция угроз,Условно,сигналы/предупреждения,раннее выявление/превенция,превентивные; мгновенные; институциональные,Аналоги: медицина—диагностика; техника—сигнализация; безопасность—мониторинг
20,прогнозирование,Условно,сигналы/предупреждения,раннее выявление/превенция,превентивные; мгновенные; институциональные,Аналоги: медицина—диагностика; техника—сигнализация; безопасность—мониторинг
21,экстренные заявления,Условно,действия/коммуникации в кризисе,управление/снижение ущерба/поддержка,мгновенные; институциональные; стратегические,Аналоги: менеджмент—антикризисное управление; политика—кризисное лидерство; медицина—экстренная помощь
22,антикризисный план,Условно,действия/коммуникации в кризисе,управление/снижение ущерба/поддержка,мгновенные; институциональные; стратегические,Аналоги: менеджмент—антикризисное управление; политика—кризисное лидерство; медицина—экстренная помощь
23,кризисное лидерство,Условно,действия/коммуникации в кризисе,управление/снижение ущерба/поддержка,мгновенные; институциональные; стратегические,Аналоги: менеджмент—антикризисное управление; политика—кризисное лидерство; медицина—экстренная помощь
24,снижение ущерба,Условно,действия/коммуникации в кризисе,управление/снижение ущерба/поддержка,мгновенные; институциональные; стратегические,Аналоги: менеджмент—антикризисное управление; политика—кризисное лидерство; медицина—экстренная помощь
25,мобилизация ресурсов,Условно,действия/коммуникации в кризисе,управление/снижение ущерба/поддержка,мгновенные; институциональные; стратегические,Аналоги: менеджмент—антикризисное управление; политика—кризисное лидерство; медицина—экстренная помощь
26,публичные извинения,Условно,действия/коммуникации в кризисе,управление/снижение ущерба/поддержка,мгновенные; институциональные; стратегические,Аналоги: менеджмент—антикризисное управление; политика—кризисное лидерство; медицина—экстренная помощь
27,поддержка жертв,Условно,действия/коммуникации в кризисе,управление/снижение ущерба/поддержка,мгновенные; институциональные; стратегические,Аналоги: менеджмент—антикризисное управление; политика—кризисное лидерство; медицина—экстренная помощь
28,обещание реформ,Условно,действия/коммуникации в кризисе,управление/снижение ущерба/поддержка,мгновенные; институциональные; стратегические,Аналоги: менеджмент—антикризисное управление; политика—кризисное лидерство; медицина—экстренная помощь
29,эвакуация,Условно,действия/коммуникации в кризисе,управление/снижение ущерба/поддержка,мгновенные; институциональные; стратегические,Аналоги: менеджмент—антикризисное управление; политика—кризисное лидерство; медицина—экстренная помощь
30,гуманитарная помощь,Условно,действия/коммуникации в кризисе,управление/снижение ущерба/поддержка,мгновенные; институциональные; стратегические,Аналоги: менеджмент—антикризисное управление; политика—кризисное лидерство; медицина—экстренная помощь
31,брифинг,Условно,информация/медиа/репрезентации,контроль/рамки/достоверность,институциональные; публичные; сетевые,Аналоги: журналистика—новости; политика—пропаганда; маркетинг—PR
32,пресс-конференция,Условно,информация/медиа/репрезентации,контроль/рамки/достоверность,институциональные; публичные; сетевые,Аналоги: журналистика—новости; политика—пропаганда; маркетинг—PR
33,контроль повестки,Условно,информация/медиа/репрезентации,контроль/рамки/достоверность,институциональные; публичные; сетевые,Аналоги: журналистика—новости; политика—пропаганда; маркетинг—PR
34,фреймирование событий,Условно,информация/медиа/репрезентации,контроль/рамки/достоверность,институциональные; публичные; сетевые,Аналоги: журналистика—новости; политика—пропаганда; маркетинг—PR
35,прозрачность информации,Условно,информация/медиа/репрезентации,контроль/рамки/достоверность,институциональные; публичные; сетевые,Аналоги: журналистика—новости; политика—пропаганда; маркетинг—PR
36,скрытие информации,Условно,информация/медиа/репрезентации,контроль/рамки/достоверность,институциональные; публичные; сетевые,Аналоги: журналистика—новости; политика—пропаганда; маркетинг—PR
37,управление заголовками,Условно,информация/медиа/репрезентации,контроль/рамки/достоверность,институциональные; публичные; сетевые,Аналоги: журналистика—новости; политика—пропаганда; маркетинг—PR
38,выдача эксклюзива,Условно,информация/медиа/репрезентации,контроль/рамки/достоверность,институциональные; публичные; сетевые,Аналоги: журналистика—новости; политика—пропаганда; маркетинг—PR
39,дезинформация,Условно,информация/медиа/репрезентации,контроль/рамки/достоверность,институциональные; публичные; сетевые,Аналоги: журналистика—новости; политика—пропаганда; маркетинг—PR
40,контрдезинформация,Условно,информация/медиа/репрезентации,контроль/рамки/достоверность,институциональные; публичные; сетевые,Аналоги: журналистика—новости; политика—пропаганда; маркетинг—PR
41,поддержка сотрудников,Условно,отношения с заинтересованными сторонами,поддержка/лояльность/интеграция,институциональные; коллективные; ситуативные,Аналоги: менеджмент—stakeholder relations; политика—коалиции; психология—групповая динамика
42,успокоение акционеров,Условно,отношения с заинтересованными сторонами,поддержка/лояльность/интеграция,институциональные; коллективные; ситуативные,Аналоги: менеджмент—stakeholder relations; политика—коалиции; психология—групповая динамика
43,работа с государством,Условно,отношения с заинтересованными сторонами,поддержка/лояльность/интеграция,институциональные; коллективные; ситуативные,Аналоги: менеджмент—stakeholder relations; политика—коалиции; психология—групповая динамика
44,работа с НКО,Условно,отношения с заинтересованными сторонами,поддержка/лояльность/интеграция,институциональные; коллективные; ситуативные,Аналоги: менеджмент—stakeholder relations; политика—коалиции; психология—групповая динамика
45,коалиции,Условно,отношения с заинтересованными сторонами,поддержка/лояльность/интеграция,институциональные; коллективные; ситуативные,Аналоги: менеджмент—stakeholder relations; политика—коалиции; психология—групповая динамика
46,партнёрство,Условно,отношения с заинтересованными сторонами,поддержка/лояльность/интеграция,институциональные; коллективные; ситуативные,Аналоги: менеджмент—stakeholder relations; политика—коалиции; психология—групповая динамика
47,переговоры,Условно,отношения с заинтересованными сторонами,поддержка/лояльность/интеграция,институциональные; коллективные; ситуативные,Аналоги: менеджмент—stakeholder relations; политика—коалиции; психология—групповая динамика
48,обещания,Условно,отношения с заинтересованными сторонами,поддержка/лояльность/интеграция,институциональные; коллективные; ситуативные,Аналоги: менеджмент—stakeholder relations; политика—коалиции; психология—групповая динамика
49,совместные действия,Условно,отношения с заинтересованными сторонами,поддержка/лояльность/интеграция,институциональные; коллективные; ситуативные,Аналоги: менеджмент—stakeholder relations; политика—коалиции; психология—групповая динамика
50,публичные гарантии,Условно,отношения с заинтересованными сторонами,поддержка/лояльность/интеграция,институциональные; коллективные; ситуативные,Аналоги: менеджмент—stakeholder relations; политика—коалиции; психология—групповая динамика
51,защита бренда,Условно,имидж/репутация/доверие,восстановление/защита/поддержка,стратегические; публичные; институциональные,Аналоги: маркетинг—брендинг; психология—имидж; политика—легитимация
52,отстройка от кризиса,Условно,имидж/репутация/доверие,восстановление/защита/поддержка,стратегические; публичные; институциональные,Аналоги: маркетинг—брендинг; психология—имидж; политика—легитимация
53,обновление имиджа,Условно,имидж/репутация/доверие,восстановление/защита/поддержка,стратегические; публичные; институциональные,Аналоги: маркетинг—брендинг; психология—имидж; политика—легитимация
54,ребрендинг,Условно,имидж/репутация/доверие,восстановление/защита/поддержка,стратегические; публичные; институциональные,Аналоги: маркетинг—брендинг; психология—имидж; политика—легитимация
55,связь с CSR,Условно,имидж/репутация/доверие,восстановление/защита/поддержка,стратегические; публичные; институциональные,Аналоги: маркетинг—брендинг; психология—имидж; политика—легитимация
56,героизация лидеров,Условно,имидж/репутация/доверие,восстановление/защита/поддержка,стратегические; публичные; институциональные,Аналоги: маркетинг—брендинг; психология—имидж; политика—легитимация
57,эмоциональная мобилизация,Условно,имидж/репутация/доверие,восстановление/защита/поддержка,стратегические; публичные; институциональные,Аналоги: маркетинг—брендинг; психология—имидж; политика—легитимация
58,обвинение третьих лиц,Условно,имидж/репутация/доверие,восстановление/защита/поддержка,стратегические; публичные; институциональные,Аналоги: маркетинг—брендинг; психология—имидж; политика—легитимация
59,переключение внимания,Условно,имидж/репутация/доверие,восстановление/защита/поддержка,стратегические; публичные; институциональные,Аналоги: маркетинг—брендинг; психология—имидж; политика—легитимация
60,поддержка через символы,Условно,имидж/репутация/доверие,восстановление/защита/поддержка,стратегические; публичные; институциональные,Аналоги: маркетинг—брендинг; психология—имидж; политика—легитимация
61,распространение слухов,Условно,слухи/дезинформация/паника,распространение/контроль/опровержение,мгновенные; массовые; сетевые,Аналоги: социология—слухи; политика—фейк-ньюс; информатика—информационные атаки
62,распространение паники,Условно,слухи/дезинформация/паника,распространение/контроль/опровержение,мгновенные; массовые; сетевые,Аналоги: социология—слухи; политика—фейк-ньюс; информатика—информационные атаки
63,создание фейков,Условно,слухи/дезинформация/паника,распространение/контроль/опровержение,мгновенные; массовые; сетевые,Аналоги: социология—слухи; политика—фейк-ньюс; информатика—информационные атаки
64,опровержение слухов,Условно,слухи/дезинформация/паника,распространение/контроль/опровержение,мгновенные; массовые; сетевые,Аналоги: социология—слухи; политика—фейк-ньюс; информатика—информационные атаки
65,фактчекинг,Условно,слухи/дезинформация/паника,распространение/контроль/опровержение,мгновенные; массовые; сетевые,Аналоги: социология—слухи; политика—фейк-ньюс; информатика—информационные атаки
66,контрфактчекинг,Условно,слухи/дезинформация/паника,распространение/контроль/опровержение,мгновенные; массовые; сетевые,Аналоги: социология—слухи; политика—фейк-ньюс; информатика—информационные атаки
67,нейтрализация паники,Условно,слухи/дезинформация/паника,распространение/контроль/опровержение,мгновенные; массовые; сетевые,Аналоги: социология—слухи; политика—фейк-ньюс; информатика—информационные атаки
68,игнорирование слухов,Условно,слухи/дезинформация/паника,распространение/контроль/опровержение,мгновенные; массовые; сетевые,Аналоги: социология—слухи; политика—фейк-ньюс; информатика—информационные атаки
69,репутационная атака,Условно,слухи/дезинформация/паника,распространение/контроль/опровержение,мгновенные; массовые; сетевые,Аналоги: социология—слухи; политика—фейк-ньюс; информатика—информационные атаки
70,репутационная защита,Условно,слухи/дезинформация/паника,распространение/контроль/опровержение,мгновенные; массовые; сетевые,Аналоги: социология—слухи; политика—фейк-ньюс; информатика—информационные атаки
71,анализ кейсов,Условно,опыт/знания/институции,анализ/обучение/реформирование,постепенные; институциональные; стратегические,Аналоги: менеджмент—обучение на опыте; психология—рефлексия; социология—институциональные изменения
72,обучение персонала,Условно,опыт/знания/институции,анализ/обучение/реформирование,постепенные; институциональные; стратегические,Аналоги: менеджмент—обучение на опыте; психология—рефлексия; социология—институциональные изменения
73,разработка новых протоколов,Условно,опыт/знания/институции,анализ/обучение/реформирование,постепенные; институциональные; стратегические,Аналоги: менеджмент—обучение на опыте; психология—рефлексия; социология—институциональные изменения
74,институционализация опыта,Условно,опыт/знания/институции,анализ/обучение/реформирование,постепенные; институциональные; стратегические,Аналоги: менеджмент—обучение на опыте; психология—рефлексия; социология—институциональные изменения
75,реформирование систем,Условно,опыт/знания/институции,анализ/обучение/реформирование,постепенные; институциональные; стратегические,Аналоги: менеджмент—обучение на опыте; психология—рефлексия; социология—институциональные изменения
76,создание архивов,Условно,опыт/знания/институции,анализ/обучение/реформирование,постепенные; институциональные; стратегические,Аналоги: менеджмент—обучение на опыте; психология—рефлексия; социология—институциональные изменения
77,симуляции,Условно,опыт/знания/институции,анализ/обучение/реформирование,постепенные; институциональные; стратегические,Аналоги: менеджмент—обучение на опыте; психология—рефлексия; социология—институциональные изменения
78,тренировки,Условно,опыт/знания/институции,анализ/обучение/реформирование,постепенные; институциональные; стратегические,Аналоги: менеджмент—обучение на опыте; психология—рефлексия; социология—институциональные изменения
79,обратная связь,Условно,опыт/знания/институции,анализ/обучение/реформирование,постепенные; институциональные; стратегические,Аналоги: менеджмент—обучение на опыте; психология—рефлексия; социология—институциональные изменения
80,репрезентация опыта,Условно,опыт/знания/институции,анализ/обучение/реформирование,постепенные; институциональные; стратегические,Аналоги: менеджмент—обучение на опыте; психология—рефлексия; социология—институциональные изменения
