№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,создание новостей,Условно,производство контента/медиа-продукты,создание/репрезентация/стандартизация,институциональные; массовые; сетевые,Аналоги: экономика—производство; искусство—создание; информатика—генерация контента
15,интернет,Условно,каналы/распространение/медиа,передача/доставка/усиление,массовые; институциональные; сетевые,Аналоги: логистика—распределение; информатика—сети; экономика—рынки
16,социальные сети,Условно,каналы/распространение/медиа,передача/доставка/усиление,массовые; институциональные; сетевые,Аналоги: логистика—распределение; информатика—сети; экономика—рынки
17,трансмедийность,Условно,каналы/распространение/медиа,передача/доставка/усиление,массовые; институциональные; сетевые,Аналоги: логистика—распределение; информатика—сети; экономика—рынки
18,кроссмедийность,Условно,каналы/распространение/медиа,передача/доставка/усиление,массовые; институциональные; сетевые,Аналоги: логистика—распределение; информатика—сети; экономика—рынки
19,стриминг,Условно,каналы/распространение/медиа,передача/доставка/усиление,массовые; институциональные; сетевые,Аналоги: логистика—распределение; информатика—сети; экономика—рынки
20,подкастинг,Условно,каналы/распространение/медиа,передача/доставка/усиление,массовые; институциональные; сетевые,Аналоги: логистика—распределение; информатика—сети; экономика—рынки
21,перцепция,Условно,аудитория/восприятие/интерпретация,перцепция/активность/интерпретация,массовые; индивидуальные; ситуативные,Аналоги: психология—перцепция; культурология—интерпретация; маркетинг—потребление
22,интерпретация,Условно,аудитория/восприятие/интерпретация,перцепция/активность/интерпретация,массовые; индивидуальные; ситуативные,Аналоги: психология—перцепция; культурология—интерпретация; маркетинг—потребление
23,селективное восприятие,Условно,аудитория/восприятие/интерпретация,перцепция/активность/интерпретация,массовые; индивидуальные; ситуативные,Аналоги: психология—перцепция; культурология—интерпретация; маркетинг—потребление
24,критическое восприятие,Условно,аудитория/восприятие/интерпретация,перцепция/активность/интерпретация,массовые; индивидуальные; ситуативные,Аналоги: психология—перцепция; культурология—интерпретация; маркетинг—потребление
25,эмоциональное заражение,Условно,аудитория/восприятие/интерпретация,перцепция/активность/интерпретация,массовые; индивидуальные; ситуативные,Аналоги: психология—перцепция; культурология—интерпретация; маркетинг—потребление
26,идентификация с героями,Условно,аудитория/восприятие/интерпретация,перцепция/активность/интерпретация,массовые; индивидуальные; ситуативные,Аналоги: психология—перцепция; культурология—интерпретация; маркетинг—потребление
27,проективная интерпретация,Условно,аудитория/восприятие/интерпретация,перцепция/активность/интерпретация,массовые; индивидуальные; ситуативные,Аналоги: психология—перцепция; культурология—интерпретация; маркетинг—потребление
28,коллективная реакция,Условно,аудитория/восприятие/интерпретация,перцепция/активность/интерпретация,массовые; индивидуальные; ситуативные,Аналоги: психология—перцепция; культурология—интерпретация; маркетинг—потребление
29,пассивное потребление,Условно,аудитория/восприятие/интерпретация,перцепция/активность/интерпретация,массовые; индивидуальные; ситуативные,Аналоги: психология—перцепция; культурология—интерпретация; маркетинг—потребление
30,активное сопротивление,Условно,аудитория/восприятие/интерпретация,перцепция/активность/интерпретация,массовые; индивидуальные; ситуативные,Аналоги: психология—перцепция; культурология—интерпретация; маркетинг—потребление
31,пропаганда,Условно,убеждения/поведение/массовое сознание,убеждение/манипуляция/влияние,массовые; стратегические; политические,Аналоги: политика—пропаганда; маркетинг—реклама; психология—влияние
32,контрпропаганда,Условно,убеждения/поведение/массовое сознание,убеждение/манипуляция/влияние,массовые; стратегические; политические,Аналоги: политика—пропаганда; маркетинг—реклама; психология—влияние
33,манипуляция,Условно,убеждения/поведение/массовое сознание,убеждение/манипуляция/влияние,массовые; стратегические; политические,Аналоги: политика—пропаганда; маркетинг—реклама; психология—влияние
34,убеждение,Условно,убеждения/поведение/массовое сознание,убеждение/манипуляция/влияние,массовые; стратегические; политические,Аналоги: политика—пропаганда; маркетинг—реклама; психология—влияние
35,фреймирование,Условно,убеждения/поведение/массовое сознание,убеждение/манипуляция/влияние,массовые; стратегические; политические,Аналоги: политика—пропаганда; маркетинг—реклама; психология—влияние
36,повторение,Условно,убеждения/поведение/массовое сознание,убеждение/манипуляция/влияние,массовые; стратегические; политические,Аналоги: политика—пропаганда; маркетинг—реклама; психология—влияние
37,дезинформация,Условно,убеждения/поведение/массовое сознание,убеждение/манипуляция/влияние,массовые; стратегические; политические,Аналоги: политика—пропаганда; маркетинг—реклама; психология—влияние
38,контрдезинформация,Условно,убеждения/поведение/массовое сознание,убеждение/манипуляция/влияние,массовые; стратегические; политические,Аналоги: политика—пропаганда; маркетинг—реклама; психология—влияние
39,эмоциональная апелляция,Условно,убеждения/поведение/массовое сознание,убеждение/манипуляция/влияние,массовые; стратегические; политические,Аналоги: политика—пропаганда; маркетинг—реклама; психология—влияние
40,символическая мобилизация,Условно,убеждения/поведение/массовое сознание,убеждение/манипуляция/влияние,массовые; стратегические; политические,Аналоги: политика—пропаганда; маркетинг—реклама; психология—влияние
41,формирование общественного мнения,Условно,общественное мнение/коллективное сознание,формирование/поляризация/регуляция,массовые; институциональные; ситуативные,Аналоги: социология—общественное мнение; политика—легитимация; маркетинг—исследование аудитории
42,поляризация,Условно,общественное мнение/коллективное сознание,формирование/поляризация/регуляция,массовые; институциональные; ситуативные,Аналоги: социология—общественное мнение; политика—легитимация; маркетинг—исследование аудитории
43,фрагментация,Условно,общественное мнение/коллективное сознание,формирование/поляризация/регуляция,массовые; институциональные; ситуативные,Аналоги: социология—общественное мнение; политика—легитимация; маркетинг—исследование аудитории
44,легитимация,Условно,общественное мнение/коллективное сознание,формирование/поляризация/регуляция,массовые; институциональные; ситуативные,Аналоги: социология—общественное мнение; политика—легитимация; маркетинг—исследование аудитории
45,делегитимация,Условно,общественное мнение/коллективное сознание,формирование/поляризация/регуляция,массовые; институциональные; ситуативные,Аналоги: социология—общественное мнение; политика—легитимация; маркетинг—исследование аудитории
46,медиатизация общественного мнения,Условно,общественное мнение/коллективное сознание,формирование/поляризация/регуляция,массовые; институциональные; ситуативные,Аналоги: социология—общественное мнение; политика—легитимация; маркетинг—исследование аудитории
47,исследование общественного мнения,Условно,общественное мнение/коллективное сознание,формирование/поляризация/регуляция,массовые; институциональные; ситуативные,Аналоги: социология—общественное мнение; политика—легитимация; маркетинг—исследование аудитории
48,репрезентация большинства,Условно,общественное мнение/коллективное сознание,формирование/поляризация/регуляция,массовые; институциональные; ситуативные,Аналоги: социология—общественное мнение; политика—легитимация; маркетинг—исследование аудитории
49,стигматизация,Условно,общественное мнение/коллективное сознание,формирование/поляризация/регуляция,массовые; институциональные; ситуативные,Аналоги: социология—общественное мнение; политика—легитимация; маркетинг—исследование аудитории
50,дестигматизация,Условно,общественное мнение/коллективное сознание,формирование/поляризация/регуляция,массовые; институциональные; ситуативные,Аналоги: социология—общественное мнение; политика—легитимация; маркетинг—исследование аудитории
51,цензура,Условно,информация/новости/контент,цензура/регуляция/селекция,институциональные; политические; стратегические,Аналоги: политика—контроль; информатика—фильтрация; право—регулирование
52,контрцензура,Условно,информация/новости/контент,цензура/регуляция/селекция,институциональные; политические; стратегические,Аналоги: политика—контроль; информатика—фильтрация; право—регулирование
53,фильтрация,Условно,информация/новости/контент,цензура/регуляция/селекция,институциональные; политические; стратегические,Аналоги: политика—контроль; информатика—фильтрация; право—регулирование
54,регуляция,Условно,информация/новости/контент,цензура/регуляция/селекция,институциональные; политические; стратегические,Аналоги: политика—контроль; информатика—фильтрация; право—регулирование
55,утечка информации,Условно,информация/новости/контент,цензура/регуляция/селекция,институциональные; политические; стратегические,Аналоги: политика—контроль; информатика—фильтрация; право—регулирование
56,секретизация,Условно,информация/новости/контент,цензура/регуляция/селекция,институциональные; политические; стратегические,Аналоги: политика—контроль; информатика—фильтрация; право—регулирование
57,открытость информации,Условно,информация/новости/контент,цензура/регуляция/селекция,институциональные; политические; стратегические,Аналоги: политика—контроль; информатика—фильтрация; право—регулирование
58,алгоритмическая модерация,Условно,информация/новости/контент,цензура/регуляция/селекция,институциональные; политические; стратегические,Аналоги: политика—контроль; информатика—фильтрация; право—регулирование
59,фейкчек,Условно,информация/новости/контент,цензура/регуляция/селекция,институциональные; политические; стратегические,Аналоги: политика—контроль; информатика—фильтрация; право—регулирование
60,манипуляция нарративами,Условно,информация/новости/контент,цензура/регуляция/селекция,институциональные; политические; стратегические,Аналоги: политика—контроль; информатика—фильтрация; право—регулирование
61,геймификация,Условно,развлечения/массовая культура,эстетизация/геймификация/коммодификация,массовые; рыночные; культурные,Аналоги: культура—развлечения; экономика—товаризация; психология—развлекательное поведение
62,эстетизация,Условно,развлечения/массовая культура,эстетизация/геймификация/коммодификация,массовые; рыночные; культурные,Аналоги: культура—развлечения; экономика—товаризация; психология—развлекательное поведение
63,масс-культурализация,Условно,развлечения/массовая культура,эстетизация/геймификация/коммодификация,массовые; рыночные; культурные,Аналоги: культура—развлечения; экономика—товаризация; психология—развлекательное поведение
64,серийность,Условно,развлечения/массовая культура,эстетизация/геймификация/коммодификация,массовые; рыночные; культурные,Аналоги: культура—развлечения; экономика—товаризация; психология—развлекательное поведение
65,франшизация,Условно,развлечения/массовая культура,эстетизация/геймификация/коммодификация,массовые; рыночные; культурные,Аналоги: культура—развлечения; экономика—товаризация; психология—развлекательное поведение
66,мерчендайзинг,Условно,развлечения/массовая культура,эстетизация/геймификация/коммодификация,массовые; рыночные; культурные,Аналоги: культура—развлечения; экономика—товаризация; психология—развлекательное поведение
67,звездизация,Условно,развлечения/массовая культура,эстетизация/геймификация/коммодификация,массовые; рыночные; культурные,Аналоги: культура—развлечения; экономика—товаризация; психология—развлекательное поведение
68,фандомизация,Условно,развлечения/массовая культура,эстетизация/геймификация/коммодификация,массовые; рыночные; культурные,Аналоги: культура—развлечения; экономика—товаризация; психология—развлекательное поведение
69,кросс-медийные развлечения,Условно,развлечения/массовая культура,эстетизация/геймификация/коммодификация,массовые; рыночные; культурные,Аналоги: культура—развлечения; экономика—товаризация; психология—развлекательное поведение
70,стриминг-развлечений,Условно,развлечения/массовая культура,эстетизация/геймификация/коммодификация,массовые; рыночные; культурные,Аналоги: культура—развлечения; экономика—товаризация; психология—развлекательное поведение
71,вирализация,Условно,онлайн-медиа/цифровые платформы,виральность/алгоритмизация/сетевая динамика,мгновенные; сетевые; массовые,Аналоги: информатика—сети; маркетинг—виральность; биология—эпидемии
72,мемификация,Условно,онлайн-медиа/цифровые платформы,виральность/алгоритмизация/сетевая динамика,мгновенные; сетевые; массовые,Аналоги: информатика—сети; маркетинг—виральность; биология—эпидемии
73,трендинг,Условно,онлайн-медиа/цифровые платформы,виральность/алгоритмизация/сетевая динамика,мгновенные; сетевые; массовые,Аналоги: информатика—сети; маркетинг—виральность; биология—эпидемии
74,хэштегизация,Условно,онлайн-медиа/цифровые платформы,виральность/алгоритмизация/сетевая динамика,мгновенные; сетевые; массовые,Аналоги: информатика—сети; маркетинг—виральность; биология—эпидемии
75,флешмобы,Условно,онлайн-медиа/цифровые платформы,виральность/алгоритмизация/сетевая динамика,мгновенные; сетевые; массовые,Аналоги: информатика—сети; маркетинг—виральность; биология—эпидемии
76,инфлюенсеризация,Условно,онлайн-медиа/цифровые платформы,виральность/алгоритмизация/сетевая динамика,мгновенные; сетевые; массовые,Аналоги: информатика—сети; маркетинг—виральность; биология—эпидемии
77,ботификация,Условно,онлайн-медиа/цифровые платформы,виральность/алгоритмизация/сетевая динамика,мгновенные; сетевые; массовые,Аналоги: информатика—сети; маркетинг—виральность; биология—эпидемии
78,алгоритмизация,Условно,онлайн-медиа/цифровые платформы,виральность/алгоритмизация/сетевая динамика,мгновенные; сетевые; массовые,Аналоги: информатика—сети; маркетинг—виральность; биология—эпидемии
79,сетевой активизм,Условно,онлайн-медиа/цифровые платформы,виральность/алгоритмизация/сетевая динамика,мгновенные; сетевые; массовые,Аналоги: информатика—сети; маркетинг—виральность; биология—эпидемии
80,цифровая мобилизация,Условно,онлайн-медиа/цифровые платформы,виральность/алгоритмизация/сетевая динамика,мгновенные; сетевые; массовые,Аналоги: информатика—сети; маркетинг—виральность; биология—эпидемии
